# Timestamp: 2014-10-08 10:01:00
# Operator: h.griffin
# Comments:
# Sample: 14-JS-1
# Layout: inm standard
# Irradiation: AM1.5
# Temperature: 23.5
# Positions: 4 7 9 10 11 12 13 16 17 18 21 22 23 24 26 31 33 35 36
# Areas: 1.0 0.5 0.1 0.1 0.1 0.1 0.5 1.0 1.0 1.0 0.1 0.1 0.1 0.1 0.5 1.0 0.5 1.0 0.5
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
0.03000 -0.00458 -0.00113 -0.00086 -0.00054 -0.00066 -0.00101 -0.00283 -0.01481 -0.01047 -0.01155 -0.00128 -0.00113 -0.00094 -0.00099 -0.00645 -0.00708 -0.00430 -0.00619 -0.00321
0.04000 -0.00578 -0.00096 -0.00082 -0.00067 -0.00084 -0.00096 -0.00335 -0.01448 -0.00835 -0.01135 -0.00110 -0.00092 -0.00100 -0.00087 -0.00655 -0.00775 -0.00458 -0.00693 -0.00308
0.05000 -0.00442 -0.00102 -0.00085 -0.00060 -0.00079 -0.00113 -0.00317 -0.01447 -0.01023 -0.01147 -0.00139 -0.00112 -0.00095 -0.00084 -0.00550 -0.00650 -0.00460 -0.00751 -0.00309
0.06000 -0.00426 -0.00122 -0.00084 -0.00060 -0.00077 -0.00117 -0.00303 -0.01568 -0.00963 -0.01246 -0.00144 -0.00098 -0.00102 -0.00099 -0.00538 -0.00687 -0.00468 -0.00701 -0.00334
0.07000 -0.00478 -0.00091 -0.00065 -0.00072 -0.00086 -0.00106 -0.00351 -0.01631 -0.00977 -0.01168 -0.00137 -0.00100 -0.00093 -0.00083 -0.00563 -0.00620 -0.00423 -0.00753 -0.00297
0.08000 -0.00547 -0.00094 -0.00070 -0.00057 -0.00066 -0.00116 -0.00333 -0.01470 -0.00953 -0.01063 -0.00114 -0.00092 -0.00092 -0.00096 -0.00523 -0.00584 -0.00469 -0.00758 -0.00349
0.09000 -0.00442 -0.00117 -0.00069 -0.00072 -0.00068 -0.00111 -0.00277 -0.01681 -0.00996 -0.01103 -0.00133 -0.00118 -0.00097 -0.00085 -0.00560 -0.00592 -0.00350 -0.00737 -0.00291
0.10000 -0.00452 -0.00110 -0.00076 -0.00055 -0.00072 -0.00104 -0.00281 -0.01683 -0.00823 -0.01226 -0.00133 -0.00107 -0.00111 -0.00096 -0.00593 -0.00654 -0.00434 -0.00593 -0.00338
0.11000 -0.00521 -0.00121 -0.00066 -0.00067 -0.00077 -0.00119 -0.00360 -0.01638 -0.00909 -0.01116 -0.00145 -0.00089 -0.00116 -0.00077 -0.00601 -0.00714 -0.00347 -0.00621 -0.00318
0.12000 -0.00498 -0.00119 -0.00072 -0.00072 -0.00077 -0.00110 -0.00364 -0.01463 -0.00858 -0.01198 -0.00146 -0.00090 -0.00101 -0.00086 -0.00560 -0.00746 -0.00396 -0.00623 -0.00320
0.13000 -0.00509 -0.00109 -0.00074 -0.00057 -0.00068 -0.00099 -0.00286 -0.01648 -0.01026 -0.01192 -0.00132 -0.00102 -0.00094 -0.00081 -0.00573 -0.00707 -0.00439 -0.00749 -0.00301
0.14000 -0.00554 -0.00092 -0.00082 -0.00069 -0.00072 -0.00116 -0.00303 -0.01413 -0.00798 -0.01136 -0.00118 -0.00113 -0.00095 -0.00090 -0.00631 -0.00670 -0.00468 -0.00751 -0.00319
0.15000 -0.00445 -0.00089 -0.00086 -0.00055 -0.00082 -0.00111 -0.00285 -0.01733 -0.00876 -0.01171 -0.00142 -0.00095 -0.00108 -0.00080 -0.00571 -0.00623 -0.00354 -0.00730 -0.00318
0.16000 -0.00505 -0.00110 -0.00066 -0.00068 -0.00078 -0.00091 -0.00298 -0.01708 -0.00948 -0.01046 -0.00131 -0.00100 -0.00089 -0.00085 -0.00601 -0.00751 -0.00464 -0.00708 -0.00314
0.17000 -0.00424 -0.00112 -0.00087 -0.00057 -0.00080 -0.00093 -0.00326 -0.01822 -0.00929 -0.00984 -0.00148 -0.00113 -0.00105 -0.00074 -0.00591 -0.00624 -0.00428 -0.00624 -0.00322
0.18000 -0.00479 -0.00091 -0.00069 -0.00067 -0.00078 -0.00113 -0.00346 -0.01544 -0.00909 -0.00946 -0.00133 -0.00102 -0.00112 -0.00090 -0.00665 -0.00677 -0.00359 -0.00756 -0.00281
0.19000 -0.00437 -0.00097 -0.00076 -0.00064 -0.00067 -0.00119 -0.00306 -0.01567 -0.01046 -0.00981 -0.00142 -0.00105 -0.00102 -0.00095 -0.00633 -0.00747 -0.00381 -0.00691 -0.00276
0.20000 -0.00496 -0.00101 -0.00069 -0.00063 -0.00071 -0.00103 -0.00284 -0.01556 -0.00934 -0.01013 -0.00125 -0.00117 -0.00113 -0.00076 -0.00579 -0.00582 -0.00440 -0.00753 -0.00346
0.21000 -0.00450 -0.00095 -0.00080 -0.00071 -0.00076 -0.00116 -0.00363 -0.01673 -0.00882 -0.01079 -0.00115 -0.00118 -0.00103 -0.00083 -0.00666 -0.00632 -0.00410 -0.00728 -0.00333
0.22000 -0.00454 -0.00081 -0.00087 -0.00063 -0.00079 -0.00107 -0.00315 -0.01639 -0.00850 -0.00972 -0.00114 -0.00111 -0.00092 -0.00086 -0.00630 -0.00625 -0.00465 -0.00703 -0.00281
0.23000 -0.00546 -0.00081 -0.00082 -0.00070 -0.00068 -0.00112 -0.00369 -0.01568 -0.00881 -0.01012 -0.00113 -0.00092 -0.00103 -0.00098 -0.00585 -0.00708 -0.00397 -0.00739 -0.00357
0.24000 -0.00492 -0.00078 -0.00085 -0.00066 -0.00074 -0.00105 -0.00323 -0.01439 -0.00948 -0.01244 -0.00146 -0.00093 -0.00111 -0.00092 -0.00556 -0.00592 -0.00445 -0.00608 -0.00276
0.25000 -0.00412 -0.00084 -0.00070 -0.00068 -0.00074 -0.00115 -0.00318 -0.01672 -0.00879 -0.01032 -0.00134 -0.00104 -0.00116 -0.00084 -0.00624 -0.00717 -0.00382 -0.00761 -0.00345
0.26000 -0.00470 -0.00099 -0.00068 -0.00066 -0.00073 -0.00103 -0.00310 -0.01432 -0.00854 -0.01011 -0.00131 -0.00119 -0.00096 -0.00075 -0.00516 -0.00595 -0.00444 -0.00663 -0.00318
0.27000 -0.00464 -0.00074 -0.00077 -0.00054 -0.00085 -0.00098 -0.00278 -0.01631 -0.01049 -0.01041 -0.00131 -0.00108 -0.00088 -0.00078 -0.00620 -0.00700 -0.00353 -0.00725 -0.00361
0.28000 -0.00482 -0.00110 -0.00086 -0.00068 -0.00065 -0.00108 -0.00351 -0.01536 -0.00820 -0.00996 -0.00129 -0.00094 -0.00092 -0.00086 -0.00523 -0.00694 -0.00451 -0.00698 -0.00293
0.29000 -0.00436 -0.00105 -0.00072 -0.00067 -0.00077 -0.00116 -0.00285 -0.01877 -0.01018 -0.00953 -0.00144 -0.00117 -0.00116 -0.00090 -0.00635 -0.00698 -0.00363 -0.00630 -0.00316
0.30000 -0.00427 -0.00109 -0.00073 -0.00069 -0.00074 -0.00101 -0.00333 -0.01435 -0.00805 -0.01203 -0.00145 -0.00091 -0.00098 -0.00091 -0.00578 -0.00587 -0.00401 -0.00762 -0.00350
0.31000 -0.00406 -0.00092 -0.00084 -0.00063 -0.00084 -0.00114 -0.00307 -0.01742 -0.00934 -0.00954 -0.00119 -0.00094 -0.00107 -0.00084 -0.00536 -0.00693 -0.00425 -0.00621 -0.00357
0.32000 -0.00506 -0.00072 -0.00086 -0.00060 -0.00086 -0.00109 -0.00363 -0.01839 -0.00907 -0.00902 -0.00117 -0.00092 -0.00100 -0.00074 -0.00512 -0.00663 -0.00386 -0.00600 -0.00285
0.33000 -0.00462 -0.00087 -0.00073 -0.00058 -0.00072 -0.00104 -0.00338 -0.01472 -0.00903 -0.01150 -0.00122 -0.00116 -0.00089 -0.00099 -0.00612 -0.00675 -0.00396 -0.00701 -0.00357
0.34000 -0.00475 -0.00076 -0.00084 -0.00058 -0.00074 -0.00120 -0.00290 -0.01893 -0.00944 -0.01198 -0.00123 -0.00116 -0.00111 -0.00091 -0.00600 -0.00712 -0.00429 -0.00726 -0.00329
0.35000 -0.00529 -0.00077 -0.00087 -0.00061 -0.00069 -0.00100 -0.00318 -0.01610 -0.00842 -0.01155 -0.00120 -0.00094 -0.00089 -0.00085 -0.00610 -0.00709 -0.00356 -0.00656 -0.00316
0.36000 -0.00456 -0.00090 -0.00075 -0.00051 -0.00073 -0.00106 -0.00335 -0.01663 -0.00863 -0.00906 -0.00142 -0.00107 -0.00097 -0.00095 -0.00587 -0.00567 -0.00439 -0.00626 -0.00291
0.37000 -0.00428 -0.00095 -0.00075 -0.00052 -0.00068 -0.00105 -0.00297 -0.01861 -0.00895 -0.00882 -0.00113 -0.00111 -0.00091 -0.00099 -0.00518 -0.00620 -0.00382 -0.00634 -0.00334
0.38000 -0.00518 -0.00065 -0.00065 -0.00065 -0.00074 -0.00104 -0.00338 -0.01780 -0.01020 -0.01080 -0.00115 -0.00097 -0.00106 -0.00090 -0.00510 -0.00748 -0.00426 -0.00713 -0.00327
0.39000 -0.00476 -0.00082 -0.00087 -0.00049 -0.00083 -0.00092 -0.00290 -0.01711 -0.00793 -0.01190 -0.00119 -0.00114 -0.00100 -0.00086 -0.00636 -0.00674 -0.00447 -0.00609 -0.00318
0.40000 -0.00384 -0.00091 -0.00078 -0.00060 -0.00086 -0.00117 -0.00315 -0.01882 -0.00961 -0.01094 -0.00115 -0.00088 -0.00105 -0.00079 -0.00596 -0.00569 -0.00418 -0.00698 -0.00321
0.41000 -0.00372 -0.00076 -0.00075 -0.00063 -0.00086 -0.00114 -0.00353 -0.01845 -0.00781 -0.01052 -0.00143 -0.00108 -0.00094 -0.00088 -0.00571 -0.00594 -0.00379 -0.00762 -0.00325
0.42000 -0.00503 -0.00057 -0.00076 -0.00065 -0.00074 -0.00105 -0.00332 -0.01644 -0.01005 -0.01041 -0.00117 -0.00092 -0.00114 -0.00094 -0.00623 -0.00623 -0.00368 -0.00677 -0.00295
0.43000 -0.00402 -0.00074 -0.00081 -0.00059 -0.00082 -0.00112 -0.00293 -0.01443 -0.00896 -0.00865 -0.00116 -0.00117 -0.00099 -0.00096 -0.00666 -0.00595 -0.00338 -0.00617 -0.00295
0.44000 -0.00478 -0.00064 -0.00077 -0.00057 -0.00064 -0.00113 -0.00281 -0.01418 -0.00986 -0.00858 -0.00130 -0.00094 -0.00108 -0.00084 -0.00536 -0.00673 -0.00421 -0.00708 -0.00257
0.45000 -0.00466 -0.00086 -0.00077 -0.00048 -0.00076 -0.00107 -0.00323 -0.01536 -0.00972 -0.00941 -0.00112 -0.00095 -0.00106 -0.00094 -0.00620 -0.00551 -0.00421 -0.00717 -0.00268
0.46000 -0.00455 -0.00078 -0.00074 -0.00052 -0.00077 -0.00109 -0.00305 -0.01478 -0.01015 -0.00932 -0.00113 -0.00116 -0.00101 -0.00085 -0.00518 -0.00679 -0.00388 -0.00556 -0.00302
0.47000 -0.00442 -0.00065 -0.00076 -0.00059 -0.00085 -0.00096 -0.00347 -0.01803 -0.00837 -0.00851 -0.00119 -0.00116 -0.00112 -0.00075 -0.00611 -0.00652 -0.00377 -0.00701 -0.00337
0.48000 -0.00399 -0.00080 -0.00076 -0.00056 -0.00082 -0.00086 -0.00334 -0.01793 -0.00778 -0.00986 -0.00139 -0.00103 -0.00094 -0.00093 -0.00532 -0.00522 -0.00436 -0.00645 -0.00293
0.49000 -0.00432 -0.00086 -0.00065 -0.00055 -0.00082 -0.00089 -0.00270 -0.01718 -0.00884 -0.00953 -0.00112 -0.00087 -0.00107 -0.00084 -0.00519 -0.00622 -0.00379 -0.00694 -0.00246
0.50000 -0.00429 -0.00050 -0.00084 -0.00053 -0.00069 -0.00105 -0.00306 -0.01503 -0.00785 -0.01040 -0.00140 -0.00102 -0.00097 -0.00077 -0.00640 -0.00617 -0.00332 -0.00670 -0.00258
0.51000 -0.00413 -0.00081 -0.00073 -0.00044 -0.00081 -0.00089 -0.00276 -0.01764 -0.00791 -0.00966 -0.00116 -0.00094 -0.00090 -0.00082 -0.00541 -0.00657 -0.00361 -0.00652 -0.00320
0.52000 -0.00329 -0.00046 -0.00078 -0.00051 -0.00084 -0.00096 -0.00270 -0.01869 -0.00971 -0.00909 -0.00112 -0.00088 -0.00099 -0.00084 -0.00515 -0.00521 -0.00335 -0.00571 -0.00308
0.53000 -0.00398 -0.00053 -0.00073 -0.00045 -0.00073 -0.00089 -0.00328 -0.01705 -0.00988 -0.00922 -0.00109 -0.00109 -0.00086 -0.00075 -0.00639 -0.00667 -0.00431 -0.00724 -0.00252
0.54000 -0.00314 -0.00063 -0.00074 -0.00055 -0.00077 -0.00105 -0.00279 -0.01787 -0.00758 -0.00802 -0.00128 -0.00111 -0.00089 -0.00077 -0.00497 -0.00595 -0.00388 -0.00559 -0.00277
0.55000 -0.00437 -0.00050 -0.00075 -0.00057 -0.00062 -0.00107 -0.00331 -0.01625 -0.00946 -0.00861 -0.00139 -0.00088 -0.00103 -0.00090 -0.00593 -0.00635 -0.00397 -0.00667 -0.00233
0.56000 -0.00284 -0.00063 -0.00081 -0.00056 -0.00080 -0.00099 -0.00291 -0.01514 -0.00913 -0.00838 -0.00132 -0.00085 -0.00099 -0.00087 -0.00550 -0.00491 -0.00381 -0.00685 -0.00277
0.57000 -0.00305 -0.00034 -0.00069 -0.00048 -0.00075 -0.00093 -0.00305 -0.01766 -0.00715 -0.00918 -0.00113 -0.00088 -0.00086 -0.00094 -0.00540 -0.00524 -0.00371 -0.00535 -0.00294
0.58000 -0.00387 -0.00042 -0.00077 -0.00038 -0.00065 -0.00102 -0.00261 -0.01576 -0.00964 -0.00912 -0.00118 -0.00082 -0.00091 -0.00075 -0.00634 -0.00573 -0.00386 -0.00559 -0.00259
0.59000 -0.00281 -0.00045 -0.00080 -0.00045 -0.00071 -0.00093 -0.00289 -0.01397 -0.00770 -0.00807 -0.00116 -0.00094 -0.00096 -0.00082 -0.00614 -0.00440 -0.00336 -0.00603 -0.00280
0.60000 -0.00313 -0.00042 -0.00069 -0.00050 -0.00079 -0.00088 -0.00285 -0.01566 -0.00696 -0.00683 -0.00108 -0.00083 -0.00094 -0.00089 -0.00563 -0.00461 -0.00361 -0.00548 -0.00258
0.61000 -0.00251 -0.00027 -0.00069 -0.00034 -0.00066 -0.00089 -0.00324 -0.01362 -0.00765 -0.00766 -0.00111 -0.00084 -0.00102 -0.00069 -0.00620 -0.00592 -0.00332 -0.00669 -0.00210
0.62000 -0.00339 -0.00029 -0.00070 -0.00033 -0.00075 -0.00091 -0.00276 -0.01449 -0.00884 -0.00739 -0.00120 -0.00073 -0.00089 -0.00074 -0.00617 -0.00602 -0.00396 -0.00629 -0.00230
0.63000 -0.00260 -0.00030 -0.00078 -0.00031 -0.00068 -0.00080 -0.00293 -0.01633 -0.00765 -0.00735 -0.00101 -0.00087 -0.00091 -0.00076 -0.00475 -0.00590 -0.00287 -0.00484 -0.00193
0.64000 -0.00285 -0.00053 -0.00067 -0.00042 -0.00067 -0.00092 -0.00218 -0.01514 -0.00818 -0.00781 -0.00114 -0.00078 -0.00085 -0.00072 -0.00529 -0.00432 -0.00286 -0.00443 -0.00179
0.65000 -0.00236 -0.00031 -0.00055 -0.00038 -0.00072 -0.00074 -0.00256 -0.01518 -0.00794 -0.00661 -0.00101 -0.00097 -0.00097 -0.00068 -0.00485 -0.00426 -0.00332 -0.00553 -0.00250
0.66000 -0.00221 -0.00037 -0.00055 -0.00038 -0.00066 -0.00088 -0.00248 -0.01383 -0.00711 -0.00614 -0.00105 -0.00088 -0.00093 -0.00080 -0.00558 -0.00424 -0.00253 -0.00500 -0.00230
0.67000 -0.00226 -0.00026 -0.00067 -0.00029 -0.00064 -0.00068 -0.00254 -0.01336 -0.00732 -0.00613 -0.00099 -0.00079 -0.00073 -0.00068 -0.00534 -0.00465 -0.00250 -0.00534 -0.00237
0.68000 -0.00275 -0.00052 -0.00053 -0.00026 -0.00066 -0.00066 -0.00208 -0.01338 -0.00698 -0.00582 -0.00091 -0.00078 -0.00071 -0.00067 -0.00468 -0.00465 -0.00324 -0.00570 -0.00183
0.69000 -0.00205 -0.00044 -0.00065 -0.00022 -0.00062 -0.00078 -0.00185 -0.01473 -0.00660 -0.00641 -0.00084 -0.00067 -0.00064 -0.00073 -0.00451 -0.00308 -0.00299 -0.00545 -0.00160
0.70000 -0.00190 -0.00025 -0.00052 -0.00029 -0.00050 -0.00069 -0.00220 -0.01141 -0.00601 -0.00491 -0.00084 -0.00072 -0.00089 -0.00077 -0.00398 -0.00289 -0.00232 -0.00356 -0.00210
0.71000 -0.00127 -0.00024 -0.00042 -0.00023 -0.00047 -0.00062 -0.00232 -0.01229 -0.00633 -0.00624 -0.00074 -0.00068 -0.00061 -0.00054 -0.00454 -0.00270 -0.00246 -0.00309 -0.00132
0.72000 -0.00232 -0.00017 -0.00042 -0.00015 -0.00042 -0.00069 -0.00192 -0.01106 -0.00553 -0.00350 -0.00078 -0.00072 -0.00075 -0.00056 -0.00446 -0.00306 -0.00205 -0.00372 -0.00111
0.73000 -0.00187 -0.00039 -0.00046 -0.00022 -0.00045 -0.00062 -0.00186 -0.00807 -0.00472 -0.00387 -0.00096 -0.00050 -0.00072 -0.00061 -0.00416 -0.00347 -0.00185 -0.00427 -0.00113
0.74000 -0.00202 -0.00028 -0.00032 -0.00014 -0.00031 -0.00039 -0.00177 -0.00918 -0.00528 -0.00482 -0.00067 -0.00055 -0.00052 -0.00048 -0.00355 -0.00253 -0.00176 -0.00402 -0.00150
0.75000 -0.00054 -0.00001 -0.00040 -0.00023 -0.00033 -0.00035 -0.00141 -0.00890 -0.00426 -0.00371 -0.00067 -0.00038 -0.00047 -0.00033 -0.00259 -0.00169 -0.00134 -0.00296 -0.00076
0.76000 -0.00149 -0.00009 -0.00025 -0.00008 -0.00036 -0.00019 -0.00093 -0.00550 -0.00346 -0.00199 -0.00049 -0.00038 -0.00029 -0.00028 -0.00299 -0.00133 -0.00120 -0.00185 -0.00120
0.77000 -0.00010 -0.00005 -0.00030 -0.00003 -0.00015 -0.00041 -0.00046 -0.00656 -0.00323 -0.00085 -0.00050 -0.00030 -0.00042 -0.00022 -0.00279 -0.00144 -0.00080 -0.00262 -0.00046
0.78000 0.00021 -0.00015 -0.00010 -0.00000 -0.00018 -0.00026 -0.00021 -0.00584 -0.00116 -0.00007 -0.00035 -0.00021 -0.00015 -0.00014 -0.00157 -0.00194 -0.00100 -0.00210 -0.00023
0.79000 0.00035 -0.00008 -0.00000 -0.00008 -0.00007 -0.00011 -0.00078 0.00021 -0.00204 -0.00079 -0.00006 -0.00008 -0.00003 -0.00010 -0.00086 -0.00044 -0.00034 -0.00057 -0.00051
0.80000 -0.00035 -0.00008 -0.00010 -0.00005 -0.00001 0.00010 0.00036 0.00226 -0.00109 0.00107 -0.00009 0.00002 -0.00002 -0.00006 0.00071 -0.00052 0.00046 -0.00055 -0.00036
0.81000 0.00094 0.00017 0.00017 0.00003 0.00007 0.00022 0.00060 0.00309 0.00192 -0.00101 0.00018 0.00014 0.00017 0.00022 0.00106 0.00146 0.00030 0.00049 -0.00003
0.82000 0.00093 -0.00001 0.00023 0.00000 0.00010 0.00016 0.00085 0.00578 0.00100 0.00199 0.00042 0.00032 0.00032 0.00024 0.00210 0.00139 0.00038 0.00227 0.00024
0.83000 0.00012 -0.00007 0.00042 0.00006 0.00044 0.00029 0.00141 0.00927 0.00329 0.00040 0.00054 0.00042 0.00045 0.00046 0.00439 0.00072 0.00093 0.00282 0.00063
0.84000 0.00057 -0.00005 0.00054 0.00020 0.00056 0.00046 0.00154 0.01420 0.00454 0.00114 0.00100 0.00040 0.00074 0.00066 0.00560 0.00189 0.00217 0.00408 0.00132
0.85000 0.00110 0.00004 0.00074 0.00028 0.00076 0.00055 0.00186 0.01805 0.00658 0.00375 0.00130 0.00077 0.00085 0.00085 0.00704 0.00381 0.00224 0.00490 0.00182
0.86000 0.00143 0.00018 0.00095 0.00024 0.00094 0.00086 0.00319 0.01908 0.00903 0.00377 0.00168 0.00090 0.00139 0.00109 0.01045 0.00342 0.00328 0.00608 0.00218
0.87000 0.00256 0.00036 0.00105 0.00027 0.00103 0.00109 0.00376 0.02592 0.00912 0.00458 0.00187 0.00113 0.00152 0.00139 0.01238 0.00508 0.00414 0.00577 0.00183
0.88000 0.00256 0.00011 0.00138 0.00042 0.00132 0.00136 0.00436 0.03459 0.01201 0.00727 0.00266 0.00146 0.00195 0.00184 0.01548 0.00467 0.00479 0.00898 0.00231
0.89000 0.00272 0.00038 0.00169 0.00043 0.00153 0.00140 0.00500 0.03992 0.01398 0.00898 0.00297 0.00165 0.00230 0.00207 0.02020 0.00746 0.00674 0.00965 0.00349
0.90000 0.00284 0.00024 0.00214 0.00053 0.00182 0.00179 0.00566 0.04831 0.01734 0.00744 0.00371 0.00204 0.00298 0.00269 0.02479 0.00671 0.00750 0.01066 0.00411
0.91000 0.00363 0.00040 0.00236 0.00062 0.00225 0.00198 0.00704 0.05719 0.01955 0.01039 0.00432 0.00236 0.00343 0.00316 0.02915 0.00839 0.00836 0.01434 0.00449
0.92000 0.00462 0.00056 0.00295 0.00050 0.00258 0.00241 0.00836 0.07127 0.02361 0.01078 0.00531 0.00269 0.00414 0.00367 0.03571 0.01055 0.00971 0.01560 0.00487
0.93000 0.00488 0.00026 0.00345 0.00069 0.00319 0.00265 0.00908 0.08150 0.02697 0.01450 0.00599 0.00314 0.00467 0.00442 0.04244 0.01173 0.01189 0.01739 0.00540
0.94000 0.00471 0.00031 0.00398 0.00071 0.00360 0.00320 0.01142 0.09765 0.03125 0.01442 0.00699 0.00364 0.00556 0.00522 0.05078 0.01258 0.01265 0.02070 0.00656
0.95000 0.00504 0.00059 0.00464 0.00083 0.00419 0.00355 0.01288 0.11316 0.03778 0.01463 0.00857 0.00416 0.00643 0.00598 0.06121 0.01374 0.01503 0.02273 0.00669
0.96000 0.00648 0.00045 0.00542 0.00095 0.00478 0.00409 0.01477 0.13341 0.04189 0.01924 0.00972 0.00470 0.00745 0.00699 0.07269 0.01627 0.01739 0.02671 0.00741
0.97000 0.00643 0.00062 0.00627 0.00097 0.00552 0.00435 0.01635 0.15295 0.04814 0.01981 0.01130 0.00512 0.00892 0.00815 0.08779 0.01660 0.01943 0.02945 0.00893
0.98000 0.00748 0.00071 0.00736 0.00104 0.00656 0.00516 0.01830 0.17663 0.05416 0.02294 0.01333 0.00595 0.01035 0.00966 0.10443 0.01998 0.02172 0.03347 0.00904
0.99000 0.00799 0.00084 0.00850 0.00122 0.00747 0.00575 0.02056 0.20726 0.06001 0.02490 0.01536 0.00653 0.01170 0.01124 0.12390 0.02207 0.02409 0.03834 0.00999
1.00000 0.00893 0.00065 0.00988 0.00131 0.00861 0.00637 0.02318 0.24031 0.06757 0.02680 0.01752 0.00753 0.01352 0.01285 0.14598 0.02308 0.02764 0.04263 0.01143
