# Timestamp: 2014-10-08 10:07:00
# Operator: h.griffin
# Comments:
# Sample: 14-JS-4
# Layout: inm standard
# Irradiation: BG7
# Temperature: 23.5
# Positions: 1 6 8 10 11 12 16 19 20 21 22 23 25 27 31 32 35 36
# Areas: 1.0 1.0 1.0 0.1 0.1 0.1 1.0 1.0 0.5 0.1 0.1 0.1 1.0 1.0 1.0 1.0 1.0 0.5
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
-0.00000 -0.00131 -0.00191 -0.00253 -0.00037 -0.00025 -0.00019 -0.00326 -0.00038 -0.00104 -0.00031 -0.00020 -0.00016 -0.00258 -0.00260 -0.00245 -0.00282 -0.00145 -0.00125
0.01000 -0.00135 -0.00195 -0.00230 -0.00030 -0.00026 -0.00018 -0.00294 -0.00042 -0.00108 -0.00035 -0.00022 -0.00014 -0.00200 -0.00233 -0.00233 -0.00330 -0.00179 -0.00118
0.02000 -0.00136 -0.00168 -0.00199 -0.00038 -0.00026 -0.00018 -0.00322 -0.00041 -0.00108 -0.00032 -0.00024 -0.00012 -0.00293 -0.00199 -0.00230 -0.00271 -0.00124 -0.00116
0.03000 -0.00173 -0.00216 -0.00200 -0.00031 -0.00029 -0.00018 -0.00289 -0.00037 -0.00108 -0.00033 -0.00019 -0.00015 -0.00272 -0.00214 -0.00259 -0.00291 -0.00150 -0.00119
0.04000 -0.00158 -0.00199 -0.00189 -0.00033 -0.00029 -0.00024 -0.00340 -0.00053 -0.00117 -0.00026 -0.00019 -0.00012 -0.00226 -0.00229 -0.00284 -0.00306 -0.00186 -0.00134
0.05000 -0.00171 -0.00162 -0.00240 -0.00030 -0.00025 -0.00019 -0.00302 -0.00037 -0.00113 -0.00025 -0.00025 -0.00014 -0.00236 -0.00232 -0.00232 -0.00316 -0.00155 -0.00096
0.06000 -0.00152 -0.00244 -0.00210 -0.00028 -0.00029 -0.00024 -0.00343 -0.00041 -0.00112 -0.00024 -0.00018 -0.00014 -0.00250 -0.00254 -0.00214 -0.00288 -0.00161 -0.00104
0.07000 -0.00162 -0.00219 -0.00231 -0.00030 -0.00032 -0.00016 -0.00307 -0.00046 -0.00093 -0.00035 -0.00021 -0.00014 -0.00269 -0.00234 -0.00257 -0.00317 -0.00159 -0.00118
0.08000 -0.00142 -0.00220 -0.00199 -0.00027 -0.00024 -0.00021 -0.00375 -0.00043 -0.00122 -0.00029 -0.00018 -0.00015 -0.00229 -0.00225 -0.00303 -0.00226 -0.00187 -0.00111
0.09000 -0.00145 -0.00222 -0.00223 -0.00033 -0.00028 -0.00017 -0.00376 -0.00049 -0.00111 -0.00035 -0.00022 -0.00012 -0.00210 -0.00204 -0.00206 -0.00231 -0.00175 -0.00120
0.10000 -0.00171 -0.00179 -0.00232 -0.00034 -0.00024 -0.00021 -0.00320 -0.00045 -0.00118 -0.00027 -0.00024 -0.00016 -0.00236 -0.00235 -0.00261 -0.00275 -0.00160 -0.00105
0.11000 -0.00140 -0.00191 -0.00235 -0.00029 -0.00027 -0.00019 -0.00276 -0.00039 -0.00128 -0.00030 -0.00018 -0.00013 -0.00256 -0.00241 -0.00295 -0.00294 -0.00140 -0.00095
0.12000 -0.00166 -0.00192 -0.00218 -0.00039 -0.00024 -0.00023 -0.00330 -0.00043 -0.00118 -0.00024 -0.00023 -0.00013 -0.00242 -0.00180 -0.00277 -0.00289 -0.00165 -0.00134
0.13000 -0.00172 -0.00229 -0.00263 -0.00031 -0.00027 -0.00018 -0.00279 -0.00047 -0.00110 -0.00034 -0.00022 -0.00016 -0.00216 -0.00221 -0.00280 -0.00275 -0.00131 -0.00106
0.14000 -0.00148 -0.00232 -0.00225 -0.00035 -0.00029 -0.00017 -0.00304 -0.00036 -0.00123 -0.00035 -0.00021 -0.00014 -0.00282 -0.00240 -0.00260 -0.00240 -0.00156 -0.00100
0.15000 -0.00125 -0.00202 -0.00200 -0.00034 -0.00023 -0.00021 -0.00332 -0.00036 -0.00108 -0.00035 -0.00022 -0.00014 -0.00257 -0.00172 -0.00289 -0.00223 -0.00162 -0.00118
0.16000 -0.00159 -0.00187 -0.00209 -0.00035 -0.00021 -0.00019 -0.00287 -0.00045 -0.00128 -0.00031 -0.00022 -0.00015 -0.00275 -0.00249 -0.00220 -0.00244 -0.00172 -0.00107
0.17000 -0.00133 -0.00188 -0.00222 -0.00030 -0.00030 -0.00025 -0.00339 -0.00041 -0.00124 -0.00028 -0.00025 -0.00016 -0.00270 -0.00186 -0.00286 -0.00289 -0.00143 -0.00129
0.18000 -0.00153 -0.00178 -0.00220 -0.00030 -0.00029 -0.00022 -0.00304 -0.00036 -0.00124 -0.00028 -0.00022 -0.00015 -0.00271 -0.00247 -0.00209 -0.00250 -0.00167 -0.00104
0.19000 -0.00168 -0.00172 -0.00251 -0.00038 -0.00031 -0.00023 -0.00376 -0.00042 -0.00100 -0.00037 -0.00017 -0.00016 -0.00256 -0.00211 -0.00239 -0.00242 -0.00150 -0.00106
0.20000 -0.00133 -0.00208 -0.00235 -0.00031 -0.00029 -0.00016 -0.00325 -0.00035 -0.00103 -0.00032 -0.00023 -0.00014 -0.00282 -0.00191 -0.00216 -0.00291 -0.00132 -0.00127
0.21000 -0.00146 -0.00211 -0.00234 -0.00036 -0.00026 -0.00022 -0.00362 -0.00047 -0.00117 -0.00033 -0.00021 -0.00013 -0.00229 -0.00220 -0.00288 -0.00263 -0.00145 -0.00121
0.22000 -0.00150 -0.00234 -0.00228 -0.00028 -0.00025 -0.00018 -0.00261 -0.00042 -0.00105 -0.00026 -0.00018 -0.00017 -0.00268 -0.00198 -0.00220 -0.00236 -0.00155 -0.00119
0.23000 -0.00144 -0.00191 -0.00206 -0.00031 -0.00028 -0.00019 -0.00264 -0.00034 -0.00105 -0.00028 -0.00022 -0.00014 -0.00243 -0.00232 -0.00254 -0.00303 -0.00172 -0.00111
0.24000 -0.00137 -0.00216 -0.00231 -0.00030 -0.00026 -0.00019 -0.00294 -0.00045 -0.00130 -0.00030 -0.00021 -0.00014 -0.00230 -0.00205 -0.00251 -0.00286 -0.00164 -0.00125
0.25000 -0.00132 -0.00189 -0.00236 -0.00029 -0.00029 -0.00024 -0.00268 -0.00043 -0.00121 -0.00032 -0.00016 -0.00015 -0.00284 -0.00233 -0.00228 -0.00253 -0.00165 -0.00106
0.26000 -0.00173 -0.00195 -0.00210 -0.00031 -0.00029 -0.00018 -0.00318 -0.00045 -0.00120 -0.00028 -0.00019 -0.00014 -0.00223 -0.00217 -0.00227 -0.00286 -0.00150 -0.00126
0.27000 -0.00128 -0.00244 -0.00210 -0.00032 -0.00028 -0.00025 -0.00251 -0.00043 -0.00098 -0.00027 -0.00021 -0.00015 -0.00234 -0.00225 -0.00233 -0.00276 -0.00172 -0.00116
0.28000 -0.00138 -0.00191 -0.00249 -0.00029 -0.00026 -0.00021 -0.00341 -0.00041 -0.00118 -0.00030 -0.00023 -0.00013 -0.00268 -0.00244 -0.00262 -0.00256 -0.00146 -0.00114
0.29000 -0.00149 -0.00166 -0.00200 -0.00026 -0.00031 -0.00018 -0.00277 -0.00046 -0.00093 -0.00033 -0.00022 -0.00017 -0.00214 -0.00200 -0.00213 -0.00298 -0.00157 -0.00108
0.30000 -0.00169 -0.00195 -0.00231 -0.00032 -0.00030 -0.00020 -0.00330 -0.00047 -0.00107 -0.00031 -0.00022 -0.00015 -0.00253 -0.00201 -0.00243 -0.00303 -0.00186 -0.00119
0.31000 -0.00127 -0.00220 -0.00207 -0.00028 -0.00024 -0.00021 -0.00257 -0.00045 -0.00098 -0.00033 -0.00020 -0.00012 -0.00273 -0.00238 -0.00260 -0.00290 -0.00175 -0.00122
0.32000 -0.00174 -0.00247 -0.00189 -0.00030 -0.00025 -0.00021 -0.00320 -0.00039 -0.00101 -0.00027 -0.00022 -0.00013 -0.00220 -0.00177 -0.00268 -0.00294 -0.00135 -0.00103
0.33000 -0.00153 -0.00172 -0.00269 -0.00030 -0.00028 -0.00023 -0.00324 -0.00040 -0.00116 -0.00033 -0.00020 -0.00014 -0.00289 -0.00221 -0.00290 -0.00206 -0.00164 -0.00119
0.34000 -0.00127 -0.00192 -0.00236 -0.00028 -0.00027 -0.00025 -0.00254 -0.00037 -0.00101 -0.00030 -0.00022 -0.00012 -0.00210 -0.00243 -0.00255 -0.00259 -0.00166 -0.00125
0.35000 -0.00140 -0.00225 -0.00216 -0.00034 -0.00026 -0.00019 -0.00347 -0.00034 -0.00104 -0.00033 -0.00026 -0.00012 -0.00218 -0.00207 -0.00217 -0.00276 -0.00173 -0.00093
0.36000 -0.00132 -0.00179 -0.00196 -0.00027 -0.00027 -0.00020 -0.00310 -0.00049 -0.00111 -0.00029 -0.00018 -0.00014 -0.00216 -0.00185 -0.00226 -0.00230 -0.00160 -0.00104
0.37000 -0.00133 -0.00205 -0.00279 -0.00026 -0.00026 -0.00017 -0.00346 -0.00042 -0.00093 -0.00026 -0.00020 -0.00011 -0.00296 -0.00236 -0.00223 -0.00325 -0.00174 -0.00108
0.38000 -0.00124 -0.00197 -0.00220 -0.00030 -0.00024 -0.00023 -0.00289 -0.00035 -0.00111 -0.00030 -0.00022 -0.00013 -0.00277 -0.00200 -0.00216 -0.00202 -0.00166 -0.00105
0.39000 -0.00125 -0.00165 -0.00186 -0.00023 -0.00024 -0.00017 -0.00283 -0.00036 -0.00132 -0.00033 -0.00016 -0.00014 -0.00255 -0.00228 -0.00247 -0.00203 -0.00179 -0.00112
0.40000 -0.00153 -0.00199 -0.00275 -0.00028 -0.00024 -0.00021 -0.00345 -0.00042 -0.00103 -0.00036 -0.00021 -0.00016 -0.00283 -0.00201 -0.00196 -0.00276 -0.00182 -0.00086
0.41000 -0.00161 -0.00198 -0.00210 -0.00024 -0.00026 -0.00017 -0.00294 -0.00040 -0.00101 -0.00026 -0.00019 -0.00013 -0.00219 -0.00207 -0.00256 -0.00243 -0.00159 -0.00099
0.42000 -0.00131 -0.00195 -0.00217 -0.00025 -0.00022 -0.00020 -0.00340 -0.00038 -0.00110 -0.00032 -0.00021 -0.00012 -0.00251 -0.00214 -0.00207 -0.00225 -0.00160 -0.00130
0.43000 -0.00175 -0.00184 -0.00247 -0.00034 -0.00027 -0.00019 -0.00277 -0.00046 -0.00112 -0.00029 -0.00019 -0.00014 -0.00265 -0.00179 -0.00224 -0.00290 -0.00124 -0.00101
0.44000 -0.00128 -0.00199 -0.00230 -0.00026 -0.00025 -0.00017 -0.00350 -0.00042 -0.00096 -0.00030 -0.00023 -0.00015 -0.00274 -0.00182 -0.00242 -0.00199 -0.00158 -0.00106
0.45000 -0.00117 -0.00218 -0.00291 -0.00025 -0.00024 -0.00021 -0.00339 -0.00042 -0.00119 -0.00031 -0.00024 -0.00012 -0.00263 -0.00179 -0.00214 -0.00266 -0.00150 -0.00093
0.46000 -0.00148 -0.00218 -0.00209 -0.00024 -0.00028 -0.00016 -0.00336 -0.00040 -0.00124 -0.00028 -0.00018 -0.00014 -0.00223 -0.00214 -0.00222 -0.00214 -0.00193 -0.00117
0.47000 -0.00157 -0.00212 -0.00246 -0.00029 -0.00022 -0.00024 -0.00247 -0.00045 -0.00112 -0.00028 -0.00020 -0.00015 -0.00261 -0.00173 -0.00233 -0.00241 -0.00166 -0.00113
0.48000 -0.00138 -0.00226 -0.00241 -0.00032 -0.00024 -0.00020 -0.00294 -0.00037 -0.00109 -0.00034 -0.00017 -0.00015 -0.00251 -0.00179 -0.00272 -0.00241 -0.00174 -0.00099
0.49000 -0.00147 -0.00178 -0.00280 -0.00028 -0.00021 -0.00018 -0.00311 -0.00038 -0.00117 -0.00028 -0.00023 -0.00013 -0.00255 -0.00208 -0.00193 -0.00192 -0.00124 -0.00116
0.50000 -0.00129 -0.00188 -0.00183 -0.00024 -0.00022 -0.00022 -0.00289 -0.00043 -0.00084 -0.00030 -0.00019 -0.00012 -0.00212 -0.00179 -0.00237 -0.00265 -0.00150 -0.00124
0.51000 -0.00157 -0.00219 -0.00194 -0.00020 -0.00025 -0.00020 -0.00268 -0.00042 -0.00105 -0.00028 -0.00025 -0.00015 -0.00228 -0.00234 -0.00243 -0.00245 -0.00154 -0.00085
0.52000 -0.00133 -0.00214 -0.00255 -0.00021 -0.00022 -0.00018 -0.00261 -0.00037 -0.00105 -0.00028 -0.00020 -0.00013 -0.00280 -0.00184 -0.00245 -0.00214 -0.00148 -0.00108
0.53000 -0.00154 -0.00172 -0.00252 -0.00023 -0.00024 -0.00023 -0.00307 -0.00041 -0.00103 -0.00037 -0.00019 -0.00015 -0.00238 -0.00181 -0.00204 -0.00181 -0.00152 -0.00077
0.54000 -0.00127 -0.00228 -0.00263 -0.00025 -0.00025 -0.00016 -0.00228 -0.00040 -0.00112 -0.00029 -0.00019 -0.00011 -0.00208 -0.00205 -0.00165 -0.00219 -0.00125 -0.00095
0.55000 -0.00119 -0.00221 -0.00230 -0.00018 -0.00027 -0.00017 -0.00254 -0.00040 -0.00091 -0.00026 -0.00017 -0.00011 -0.00243 -0.00217 -0.00178 -0.00224 -0.00173 -0.00081
0.56000 -0.00116 -0.00161 -0.00258 -0.00024 -0.00023 -0.00016 -0.00297 -0.00040 -0.00097 -0.00025 -0.00017 -0.00012 -0.00212 -0.00156 -0.00191 -0.00215 -0.00139 -0.00113
0.57000 -0.00124 -0.00197 -0.00199 -0.00018 -0.00021 -0.00018 -0.00305 -0.00043 -0.00079 -0.00026 -0.00019 -0.00014 -0.00213 -0.00144 -0.00218 -0.00203 -0.00130 -0.00082
0.58000 -0.00105 -0.00167 -0.00218 -0.00020 -0.00028 -0.00023 -0.00350 -0.00042 -0.00120 -0.00034 -0.00021 -0.00010 -0.00217 -0.00203 -0.00198 -0.00178 -0.00165 -0.00090
0.59000 -0.00102 -0.00218 -0.00267 -0.00023 -0.00023 -0.00021 -0.00228 -0.00043 -0.00110 -0.00030 -0.00021 -0.00012 -0.00221 -0.00145 -0.00179 -0.00218 -0.00125 -0.00102
0.60000 -0.00109 -0.00199 -0.00212 -0.00020 -0.00027 -0.00017 -0.00349 -0.00028 -0.00103 -0.00030 -0.00020 -0.00009 -0.00244 -0.00188 -0.00165 -0.00157 -0.00135 -0.00086
0.61000 -0.00110 -0.00210 -0.00227 -0.00023 -0.00024 -0.00019 -0.00248 -0.00040 -0.00081 -0.00023 -0.00022 -0.00011 -0.00214 -0.00195 -0.00179 -0.00144 -0.00167 -0.00105
0.62000 -0.00091 -0.00191 -0.00264 -0.00026 -0.00021 -0.00016 -0.00276 -0.00036 -0.00094 -0.00031 -0.00018 -0.00009 -0.00221 -0.00155 -0.00139 -0.00209 -0.00158 -0.00104
0.63000 -0.00116 -0.00156 -0.00166 -0.00022 -0.00016 -0.00016 -0.00307 -0.00036 -0.00074 -0.00030 -0.00018 -0.00011 -0.00250 -0.00200 -0.00184 -0.00163 -0.00122 -0.00096
0.64000 -0.00088 -0.00192 -0.00188 -0.00023 -0.00020 -0.00018 -0.00218 -0.00032 -0.00063 -0.00022 -0.00016 -0.00011 -0.00222 -0.00132 -0.00186 -0.00164 -0.00127 -0.00079
0.65000 -0.00085 -0.00168 -0.00200 -0.00013 -0.00020 -0.00013 -0.00288 -0.00033 -0.00092 -0.00030 -0.00015 -0.00011 -0.00257 -0.00161 -0.00125 -0.00126 -0.00123 -0.00073
0.66000 -0.00085 -0.00172 -0.00220 -0.00018 -0.00020 -0.00013 -0.00204 -0.00030 -0.00066 -0.00031 -0.00019 -0.00010 -0.00199 -0.00147 -0.00124 -0.00124 -0.00158 -0.00061
0.67000 -0.00084 -0.00182 -0.00167 -0.00015 -0.00019 -0.00015 -0.00260 -0.00034 -0.00080 -0.00021 -0.00018 -0.00008 -0.00187 -0.00117 -0.00129 -0.00162 -0.00128 -0.00057
0.68000 -0.00076 -0.00184 -0.00231 -0.00017 -0.00020 -0.00014 -0.00193 -0.00028 -0.00077 -0.00021 -0.00015 -0.00008 -0.00145 -0.00120 -0.00140 -0.00178 -0.00110 -0.00091
0.69000 -0.00074 -0.00144 -0.00143 -0.00011 -0.00018 -0.00014 -0.00197 -0.00030 -0.00075 -0.00026 -0.00016 -0.00009 -0.00143 -0.00110 -0.00168 -0.00101 -0.00122 -0.00067
0.70000 -0.00086 -0.00128 -0.00176 -0.00014 -0.00017 -0.00014 -0.00158 -0.00034 -0.00067 -0.00024 -0.00016 -0.00008 -0.00212 -0.00105 -0.00131 -0.00159 -0.00087 -0.00058
0.71000 -0.00076 -0.00149 -0.00124 -0.00012 -0.00016 -0.00017 -0.00156 -0.00020 -0.00053 -0.00021 -0.00012 -0.00006 -0.00140 -0.00113 -0.00147 -0.00103 -0.00073 -0.00051
0.72000 -0.00047 -0.00109 -0.00155 -0.00013 -0.00012 -0.00013 -0.00227 -0.00024 -0.00067 -0.00025 -0.00015 -0.00006 -0.00139 -0.00091 -0.00093 -0.00103 -0.00101 -0.00049
0.73000 -0.00056 -0.00160 -0.00131 -0.00009 -0.00009 -0.00009 -0.00133 -0.00021 -0.00055 -0.00023 -0.00014 -0.00007 -0.00152 -0.00085 -0.00096 -0.00081 -0.00092 -0.00054
0.74000 -0.00040 -0.00093 -0.00094 -0.00013 -0.00007 -0.00012 -0.00104 -0.00021 -0.00041 -0.00014 -0.00008 -0.00006 -0.00103 -0.00059 -0.00047 -0.00101 -0.00057 -0.00034
0.75000 -0.00030 -0.00133 -0.00126 -0.00010 -0.00009 -0.00008 -0.00136 -0.00016 -0.00034 -0.00012 -0.00010 -0.00003 -0.00131 -0.00048 -0.00057 -0.00077 -0.00041 -0.00034
0.76000 -0.00047 -0.00096 -0.00089 -0.00008 -0.00011 -0.00005 -0.00060 -0.00021 -0.00044 -0.00012 -0.00011 -0.00002 -0.00120 -0.00076 -0.00076 -0.00025 -0.00036 -0.00041
0.77000 -0.00048 -0.00080 -0.00070 -0.00002 -0.00009 -0.00003 -0.00053 -0.00014 -0.00030 -0.00010 -0.00006 -0.00001 -0.00048 -0.00032 -0.00044 -0.00026 -0.00042 -0.00030
0.78000 -0.00030 -0.00048 -0.00085 -0.00000 -0.00008 -0.00006 -0.00035 -0.00003 -0.00030 -0.00008 -0.00004 -0.00001 -0.00040 -0.00052 -0.00028 -0.00063 -0.00050 -0.00032
0.79000 0.00011 0.00004 -0.00002 0.00001 -0.00004 -0.00001 -0.00063 -0.00006 -0.00003 -0.00005 -0.00003 -0.00001 -0.00024 -0.00035 -0.00006 -0.00013 -0.00029 -0.00027
0.80000 -0.00020 0.00018 0.00018 -0.00001 0.00002 0.00003 0.00019 0.00004 0.00014 0.00002 -0.00001 0.00001 -0.00006 -0.00006 -0.00004 -0.00026 -0.00001 0.00015
0.81000 0.00015 0.00007 0.00007 -0.00003 0.00002 0.00001 -0.00003 0.00006 0.00009 0.00009 0.00006 0.00001 0.00088 0.00045 0.00010 0.00026 0.00001 -0.00001
0.82000 0.00009 0.00034 0.00095 -0.00001 0.00002 0.00005 0.00107 0.00003 0.00027 0.00008 0.00005 0.00001 0.00084 0.00032 0.00047 0.00047 0.00032 0.00020
0.83000 0.00036 0.00107 0.00137 0.00003 0.00010 0.00005 0.00104 0.00008 0.00039 0.00019 0.00012 0.00005 0.00087 0.00073 0.00033 0.00029 0.00075 0.00035
0.84000 0.00028 0.00139 0.00178 0.00006 0.00008 0.00009 0.00212 0.00023 0.00059 0.00024 0.00017 0.00004 0.00190 0.00063 0.00051 0.00031 0.00071 0.00034
0.85000 0.00086 0.00157 0.00195 0.00006 0.00018 0.00013 0.00202 0.00031 0.00076 0.00029 0.00019 0.00007 0.00270 0.00114 0.00107 0.00109 0.00133 0.00058
0.86000 0.00093 0.00205 0.00249 0.00017 0.00020 0.00020 0.00280 0.00034 0.00068 0.00044 0.00022 0.00007 0.00299 0.00107 0.00110 0.00115 0.00122 0.00064
0.87000 0.00088 0.00257 0.00322 0.00019 0.00020 0.00023 0.00276 0.00045 0.00105 0.00054 0.00027 0.00012 0.00394 0.00133 0.00159 0.00103 0.00167 0.00113
0.88000 0.00135 0.00340 0.00447 0.00018 0.00031 0.00030 0.00373 0.00049 0.00124 0.00060 0.00036 0.00012 0.00470 0.00156 0.00205 0.00150 0.00214 0.00102
0.89000 0.00144 0.00425 0.00562 0.00014 0.00031 0.00037 0.00451 0.00060 0.00141 0.00090 0.00037 0.00017 0.00573 0.00177 0.00213 0.00185 0.00246 0.00116
0.90000 0.00162 0.00506 0.00698 0.00027 0.00038 0.00042 0.00494 0.00072 0.00169 0.00098 0.00048 0.00014 0.00695 0.00231 0.00202 0.00226 0.00306 0.00164
0.91000 0.00157 0.00684 0.00722 0.00027 0.00046 0.00043 0.00594 0.00072 0.00195 0.00120 0.00067 0.00021 0.00834 0.00229 0.00286 0.00247 0.00322 0.00170
0.92000 0.00191 0.00682 0.00951 0.00026 0.00050 0.00057 0.00665 0.00084 0.00244 0.00137 0.00071 0.00024 0.01015 0.00294 0.00321 0.00208 0.00390 0.00199
0.93000 0.00201 0.00801 0.00963 0.00035 0.00067 0.00068 0.00706 0.00118 0.00288 0.00182 0.00092 0.00027 0.01164 0.00331 0.00425 0.00292 0.00477 0.00214
0.94000 0.00261 0.01076 0.01231 0.00036 0.00068 0.00067 0.00959 0.00114 0.00296 0.00216 0.00105 0.00029 0.01387 0.00429 0.00431 0.00366 0.00514 0.00263
0.95000 0.00296 0.01232 0.01287 0.00037 0.00068 0.00075 0.01114 0.00139 0.00352 0.00217 0.00106 0.00035 0.01705 0.00380 0.00403 0.00380 0.00543 0.00276
0.96000 0.00267 0.01288 0.01464 0.00049 0.00086 0.00097 0.01099 0.00155 0.00362 0.00251 0.00133 0.00039 0.01800 0.00550 0.00472 0.00422 0.00629 0.00282
0.97000 0.00382 0.01753 0.02076 0.00042 0.00104 0.00100 0.01261 0.00197 0.00423 0.00279 0.00149 0.00036 0.02192 0.00601 0.00488 0.00435 0.00814 0.00380
0.98000 0.00395 0.01915 0.02262 0.00055 0.00113 0.00120 0.01613 0.00214 0.00484 0.00409 0.00179 0.00045 0.02543 0.00622 0.00675 0.00459 0.00818 0.00384
0.99000 0.00401 0.02055 0.02280 0.00057 0.00122 0.00136 0.01568 0.00217 0.00525 0.00402 0.00189 0.00053 0.02804 0.00670 0.00631 0.00525 0.01007 0.00417
1.00000 0.00476 0.02436 0.02873 0.00055 0.00141 0.00166 0.01768 0.00263 0.00624 0.00533 0.00201 0.00054 0.03518 0.00673 0.00795 0.00511 0.01172 0.00437
