# Timestamp: 2014-10-08 10:03:00
# Operator: h.griffin
# Comments:
# Sample: 14-JS-2
# Layout: inm standard
# Irradiation: BG7
# Temperature: 23.5
# Positions: 1 2 3 9 13 15 21 22 24 26 27 29 34 35
# Areas: 1.0 1.0 1.0 0.1 0.5 1.0 0.1 0.1 0.1 0.5 1.0 1.0 1.0 1.0
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
0.37000 -0.00278 -0.00067 -0.00218 -0.00017 -0.00070 -0.00225 -0.00014 -0.00013 -0.00028 -0.00096 -0.00194 -0.00199 -0.00181 -0.00199
0.38000 -0.00240 -0.00086 -0.00196 -0.00020 -0.00052 -0.00252 -0.00013 -0.00013 -0.00033 -0.00082 -0.00203 -0.00216 -0.00151 -0.00202
0.39000 -0.00258 -0.00072 -0.00174 -0.00017 -0.00046 -0.00232 -0.00017 -0.00015 -0.00035 -0.00077 -0.00250 -0.00179 -0.00167 -0.00191
0.40000 -0.00276 -0.00079 -0.00193 -0.00016 -0.00058 -0.00236 -0.00016 -0.00012 -0.00026 -0.00076 -0.00238 -0.00200 -0.00144 -0.00167
0.41000 -0.00255 -0.00075 -0.00174 -0.00017 -0.00068 -0.00264 -0.00017 -0.00012 -0.00027 -0.00073 -0.00180 -0.00176 -0.00163 -0.00193
0.42000 -0.00311 -0.00082 -0.00211 -0.00018 -0.00066 -0.00238 -0.00015 -0.00013 -0.00026 -0.00089 -0.00238 -0.00197 -0.00144 -0.00174
0.43000 -0.00226 -0.00075 -0.00210 -0.00019 -0.00057 -0.00203 -0.00013 -0.00013 -0.00033 -0.00075 -0.00236 -0.00176 -0.00192 -0.00192
0.44000 -0.00318 -0.00077 -0.00211 -0.00014 -0.00063 -0.00244 -0.00013 -0.00013 -0.00031 -0.00067 -0.00232 -0.00186 -0.00182 -0.00200
0.45000 -0.00253 -0.00092 -0.00245 -0.00020 -0.00055 -0.00278 -0.00018 -0.00012 -0.00031 -0.00086 -0.00224 -0.00200 -0.00156 -0.00205
0.46000 -0.00227 -0.00084 -0.00203 -0.00017 -0.00054 -0.00230 -0.00013 -0.00009 -0.00029 -0.00074 -0.00177 -0.00174 -0.00195 -0.00189
0.47000 -0.00251 -0.00092 -0.00162 -0.00020 -0.00053 -0.00225 -0.00015 -0.00010 -0.00030 -0.00077 -0.00241 -0.00232 -0.00168 -0.00185
0.48000 -0.00291 -0.00073 -0.00178 -0.00016 -0.00054 -0.00202 -0.00017 -0.00010 -0.00024 -0.00090 -0.00185 -0.00168 -0.00165 -0.00228
0.49000 -0.00264 -0.00070 -0.00164 -0.00015 -0.00063 -0.00187 -0.00014 -0.00011 -0.00028 -0.00077 -0.00213 -0.00213 -0.00187 -0.00159
0.50000 -0.00225 -0.00080 -0.00169 -0.00017 -0.00051 -0.00185 -0.00015 -0.00012 -0.00030 -0.00088 -0.00252 -0.00190 -0.00152 -0.00243
0.51000 -0.00250 -0.00080 -0.00182 -0.00020 -0.00062 -0.00182 -0.00013 -0.00014 -0.00023 -0.00064 -0.00235 -0.00183 -0.00136 -0.00213
0.52000 -0.00253 -0.00073 -0.00169 -0.00016 -0.00052 -0.00290 -0.00013 -0.00011 -0.00035 -0.00076 -0.00220 -0.00173 -0.00158 -0.00225
0.53000 -0.00316 -0.00078 -0.00187 -0.00021 -0.00053 -0.00222 -0.00012 -0.00009 -0.00024 -0.00071 -0.00191 -0.00158 -0.00173 -0.00210
0.54000 -0.00281 -0.00068 -0.00153 -0.00016 -0.00053 -0.00279 -0.00011 -0.00012 -0.00021 -0.00075 -0.00193 -0.00152 -0.00189 -0.00214
0.55000 -0.00263 -0.00064 -0.00181 -0.00019 -0.00063 -0.00187 -0.00014 -0.00012 -0.00023 -0.00068 -0.00213 -0.00212 -0.00140 -0.00183
0.56000 -0.00303 -0.00079 -0.00185 -0.00021 -0.00059 -0.00188 -0.00013 -0.00011 -0.00030 -0.00058 -0.00230 -0.00156 -0.00144 -0.00172
0.57000 -0.00247 -0.00064 -0.00150 -0.00017 -0.00052 -0.00245 -0.00015 -0.00010 -0.00032 -0.00080 -0.00217 -0.00194 -0.00167 -0.00172
0.58000 -0.00247 -0.00064 -0.00157 -0.00016 -0.00062 -0.00228 -0.00013 -0.00012 -0.00021 -0.00074 -0.00165 -0.00178 -0.00161 -0.00157
0.59000 -0.00265 -0.00064 -0.00132 -0.00014 -0.00060 -0.00205 -0.00012 -0.00011 -0.00027 -0.00071 -0.00196 -0.00205 -0.00173 -0.00163
0.60000 -0.00238 -0.00089 -0.00176 -0.00013 -0.00053 -0.00166 -0.00013 -0.00011 -0.00019 -0.00077 -0.00219 -0.00175 -0.00153 -0.00177
0.61000 -0.00243 -0.00069 -0.00178 -0.00015 -0.00054 -0.00190 -0.00011 -0.00011 -0.00024 -0.00079 -0.00229 -0.00182 -0.00134 -0.00200
0.62000 -0.00195 -0.00073 -0.00132 -0.00019 -0.00054 -0.00221 -0.00011 -0.00010 -0.00025 -0.00065 -0.00190 -0.00190 -0.00141 -0.00122
0.63000 -0.00242 -0.00071 -0.00139 -0.00015 -0.00055 -0.00199 -0.00011 -0.00010 -0.00019 -0.00071 -0.00192 -0.00184 -0.00136 -0.00142
0.64000 -0.00204 -0.00057 -0.00155 -0.00015 -0.00047 -0.00230 -0.00012 -0.00008 -0.00024 -0.00057 -0.00182 -0.00174 -0.00167 -0.00135
0.65000 -0.00209 -0.00061 -0.00181 -0.00017 -0.00049 -0.00205 -0.00012 -0.00010 -0.00022 -0.00057 -0.00134 -0.00156 -0.00133 -0.00123
0.66000 -0.00226 -0.00068 -0.00102 -0.00013 -0.00052 -0.00179 -0.00010 -0.00008 -0.00021 -0.00067 -0.00138 -0.00133 -0.00159 -0.00151
0.67000 -0.00267 -0.00050 -0.00121 -0.00013 -0.00040 -0.00200 -0.00013 -0.00009 -0.00023 -0.00075 -0.00118 -0.00160 -0.00164 -0.00159
0.68000 -0.00200 -0.00052 -0.00130 -0.00015 -0.00048 -0.00183 -0.00012 -0.00010 -0.00023 -0.00068 -0.00151 -0.00122 -0.00112 -0.00144
0.69000 -0.00179 -0.00060 -0.00098 -0.00010 -0.00041 -0.00160 -0.00009 -0.00009 -0.00020 -0.00064 -0.00156 -0.00143 -0.00128 -0.00136
0.70000 -0.00156 -0.00061 -0.00108 -0.00010 -0.00038 -0.00093 -0.00007 -0.00009 -0.00014 -0.00039 -0.00091 -0.00083 -0.00089 -0.00112
0.71000 -0.00143 -0.00039 -0.00123 -0.00009 -0.00047 -0.00106 -0.00009 -0.00008 -0.00017 -0.00061 -0.00084 -0.00085 -0.00087 -0.00103
0.72000 -0.00182 -0.00056 -0.00137 -0.00010 -0.00047 -0.00081 -0.00008 -0.00007 -0.00016 -0.00057 -0.00104 -0.00101 -0.00084 -0.00066
0.73000 -0.00137 -0.00035 -0.00104 -0.00007 -0.00034 -0.00156 -0.00006 -0.00004 -0.00016 -0.00044 -0.00110 -0.00067 -0.00068 -0.00113
0.74000 -0.00145 -0.00052 -0.00046 -0.00008 -0.00030 -0.00069 -0.00004 -0.00005 -0.00015 -0.00026 -0.00086 -0.00118 -0.00062 -0.00050
0.75000 -0.00108 -0.00031 -0.00041 -0.00009 -0.00031 -0.00111 -0.00003 -0.00005 -0.00009 -0.00019 -0.00056 -0.00088 -0.00082 -0.00062
0.76000 -0.00096 -0.00016 -0.00060 -0.00008 -0.00024 -0.00049 -0.00004 -0.00004 -0.00004 -0.00023 -0.00029 -0.00049 -0.00038 -0.00031
0.77000 -0.00106 -0.00017 -0.00062 -0.00003 -0.00015 -0.00035 -0.00002 -0.00004 -0.00009 -0.00029 -0.00045 -0.00057 -0.00033 -0.00015
0.78000 -0.00023 -0.00026 -0.00029 -0.00001 -0.00018 -0.00072 -0.00004 -0.00003 -0.00002 -0.00001 -0.00014 -0.00066 -0.00031 -0.00006
0.79000 -0.00025 -0.00008 0.00010 -0.00004 -0.00001 0.00025 -0.00003 0.00000 -0.00006 0.00004 0.00012 -0.00013 -0.00001 0.00014
0.80000 0.00034 -0.00006 -0.00024 0.00001 0.00007 0.00023 -0.00002 -0.00002 -0.00004 -0.00000 -0.00027 0.00019 0.00009 0.00007
0.81000 0.00042 0.00008 0.00038 0.00003 0.00013 0.00049 -0.00000 0.00003 0.00003 0.00004 0.00019 0.00034 0.00039 0.00029
0.82000 0.00100 0.00028 0.00065 0.00002 0.00020 0.00037 0.00003 0.00005 0.00005 0.00009 0.00017 0.00050 0.00047 0.00013
0.83000 0.00098 0.00030 0.00022 0.00006 0.00029 0.00055 0.00003 0.00004 0.00012 0.00012 0.00053 0.00059 0.00069 0.00056
0.84000 0.00111 0.00037 0.00058 0.00007 0.00037 0.00131 0.00004 0.00007 0.00019 0.00045 0.00113 0.00068 0.00090 0.00084
0.85000 0.00209 0.00064 0.00070 0.00009 0.00054 0.00138 0.00010 0.00009 0.00018 0.00039 0.00089 0.00123 0.00126 0.00100
0.86000 0.00265 0.00081 0.00146 0.00019 0.00071 0.00174 0.00009 0.00009 0.00022 0.00053 0.00157 0.00130 0.00146 0.00121
0.87000 0.00276 0.00098 0.00143 0.00021 0.00090 0.00227 0.00010 0.00011 0.00022 0.00063 0.00209 0.00221 0.00186 0.00171
0.88000 0.00377 0.00135 0.00152 0.00022 0.00106 0.00215 0.00014 0.00018 0.00031 0.00085 0.00262 0.00186 0.00239 0.00154
0.89000 0.00430 0.00142 0.00145 0.00025 0.00128 0.00232 0.00016 0.00017 0.00042 0.00109 0.00263 0.00283 0.00277 0.00191
0.90000 0.00504 0.00162 0.00217 0.00030 0.00167 0.00276 0.00021 0.00019 0.00042 0.00097 0.00287 0.00303 0.00325 0.00204
0.91000 0.00620 0.00219 0.00232 0.00040 0.00188 0.00382 0.00024 0.00026 0.00042 0.00130 0.00301 0.00336 0.00396 0.00297
0.92000 0.00676 0.00228 0.00285 0.00040 0.00220 0.00371 0.00023 0.00032 0.00057 0.00136 0.00415 0.00425 0.00488 0.00340
0.93000 0.00891 0.00291 0.00348 0.00046 0.00226 0.00478 0.00029 0.00034 0.00060 0.00156 0.00515 0.00461 0.00584 0.00392
0.94000 0.01078 0.00313 0.00332 0.00056 0.00265 0.00504 0.00036 0.00043 0.00084 0.00161 0.00500 0.00541 0.00578 0.00378
0.95000 0.01144 0.00336 0.00426 0.00061 0.00337 0.00601 0.00036 0.00039 0.00086 0.00201 0.00568 0.00635 0.00690 0.00487
0.96000 0.01421 0.00442 0.00514 0.00063 0.00391 0.00683 0.00045 0.00046 0.00100 0.00226 0.00681 0.00662 0.00760 0.00436
0.97000 0.01597 0.00459 0.00508 0.00075 0.00473 0.00764 0.00052 0.00059 0.00099 0.00250 0.00718 0.00739 0.00981 0.00578
0.98000 0.01594 0.00625 0.00481 0.00084 0.00568 0.00813 0.00053 0.00060 0.00110 0.00313 0.00900 0.00881 0.01086 0.00603
0.99000 0.02146 0.00607 0.00552 0.00096 0.00576 0.00873 0.00055 0.00069 0.00136 0.00305 0.00910 0.00848 0.01196 0.00650
1.00000 0.02470 0.00683 0.00739 0.00103 0.00768 0.00877 0.00066 0.00077 0.00126 0.00374 0.01133 0.00980 0.01482 0.00804
