# Timestamp: 2014-10-08 10:14:00
# Operator: r.calvert
# Comments: Click on cells to change data.
# Sample: 14S-003
# Layout: acme1
# Irradiation: AM1.5
# Temperature: 23.5
# Positions: 1A 1B 1C 1D 2B 2C 2D 3A 3B 3C 3D 4A 4B 4D
# Areas: 0.06760000000000001 0.06760000000000001 0.06760000000000001 0.06760000000000001 0.15209999999999999 0.15209999999999999 0.15209999999999999 0.06760000000000001 0.06760000000000001 0.06760000000000001 0.06760000000000001 0.15209999999999999 0.15209999999999999 0.15209999999999999
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
0.36000 -0.00105 -0.00115 -0.00069 -0.00095 -0.00118 -0.00042 -0.00159 -0.00092 -0.00058 -0.00075 -0.00064 -0.00084 -0.00167 -0.00119
0.37000 -0.00122 -0.00118 -0.00071 -0.00086 -0.00120 -0.00051 -0.00131 -0.00082 -0.00063 -0.00084 -0.00080 -0.00112 -0.00172 -0.00142
0.38000 -0.00135 -0.00129 -0.00065 -0.00089 -0.00117 -0.00051 -0.00124 -0.00088 -0.00058 -0.00076 -0.00061 -0.00101 -0.00178 -0.00134
0.39000 -0.00116 -0.00117 -0.00074 -0.00082 -0.00103 -0.00048 -0.00147 -0.00094 -0.00063 -0.00098 -0.00061 -0.00102 -0.00169 -0.00143
0.40000 -0.00109 -0.00115 -0.00073 -0.00086 -0.00106 -0.00048 -0.00146 -0.00083 -0.00065 -0.00093 -0.00078 -0.00111 -0.00136 -0.00160
0.41000 -0.00136 -0.00133 -0.00064 -0.00083 -0.00106 -0.00039 -0.00158 -0.00090 -0.00060 -0.00085 -0.00070 -0.00090 -0.00131 -0.00137
0.42000 -0.00102 -0.00126 -0.00058 -0.00088 -0.00112 -0.00047 -0.00148 -0.00101 -0.00056 -0.00088 -0.00077 -0.00103 -0.00177 -0.00141
0.43000 -0.00132 -0.00114 -0.00074 -0.00091 -0.00097 -0.00047 -0.00140 -0.00093 -0.00070 -0.00091 -0.00061 -0.00085 -0.00114 -0.00119
0.44000 -0.00108 -0.00127 -0.00071 -0.00097 -0.00125 -0.00048 -0.00160 -0.00100 -0.00053 -0.00094 -0.00061 -0.00103 -0.00157 -0.00132
0.45000 -0.00108 -0.00128 -0.00060 -0.00097 -0.00110 -0.00045 -0.00151 -0.00081 -0.00057 -0.00082 -0.00062 -0.00099 -0.00134 -0.00144
0.46000 -0.00124 -0.00098 -0.00068 -0.00080 -0.00107 -0.00044 -0.00126 -0.00091 -0.00063 -0.00090 -0.00071 -0.00108 -0.00119 -0.00132
0.47000 -0.00125 -0.00121 -0.00075 -0.00087 -0.00108 -0.00045 -0.00137 -0.00101 -0.00053 -0.00088 -0.00061 -0.00101 -0.00164 -0.00131
0.48000 -0.00127 -0.00105 -0.00062 -0.00074 -0.00126 -0.00042 -0.00148 -0.00092 -0.00065 -0.00088 -0.00064 -0.00093 -0.00118 -0.00114
0.49000 -0.00107 -0.00104 -0.00075 -0.00073 -0.00099 -0.00043 -0.00127 -0.00098 -0.00068 -0.00081 -0.00072 -0.00100 -0.00113 -0.00149
0.50000 -0.00117 -0.00111 -0.00070 -0.00090 -0.00124 -0.00052 -0.00113 -0.00088 -0.00052 -0.00085 -0.00061 -0.00083 -0.00143 -0.00145
0.51000 -0.00132 -0.00111 -0.00075 -0.00087 -0.00095 -0.00052 -0.00148 -0.00085 -0.00056 -0.00075 -0.00065 -0.00093 -0.00140 -0.00138
0.52000 -0.00121 -0.00100 -0.00059 -0.00077 -0.00124 -0.00041 -0.00123 -0.00099 -0.00062 -0.00073 -0.00070 -0.00096 -0.00101 -0.00127
0.53000 -0.00101 -0.00104 -0.00072 -0.00079 -0.00115 -0.00047 -0.00148 -0.00098 -0.00063 -0.00075 -0.00075 -0.00081 -0.00125 -0.00150
0.54000 -0.00100 -0.00115 -0.00071 -0.00082 -0.00101 -0.00042 -0.00136 -0.00084 -0.00053 -0.00090 -0.00065 -0.00083 -0.00133 -0.00120
0.55000 -0.00109 -0.00119 -0.00065 -0.00079 -0.00095 -0.00046 -0.00134 -0.00080 -0.00050 -0.00089 -0.00071 -0.00079 -0.00115 -0.00148
0.56000 -0.00118 -0.00121 -0.00055 -0.00073 -0.00108 -0.00038 -0.00142 -0.00101 -0.00061 -0.00079 -0.00075 -0.00093 -0.00128 -0.00121
0.57000 -0.00118 -0.00106 -0.00062 -0.00082 -0.00099 -0.00038 -0.00112 -0.00079 -0.00051 -0.00072 -0.00064 -0.00103 -0.00118 -0.00128
0.58000 -0.00103 -0.00121 -0.00060 -0.00081 -0.00108 -0.00046 -0.00106 -0.00097 -0.00060 -0.00071 -0.00077 -0.00102 -0.00130 -0.00130
0.59000 -0.00112 -0.00122 -0.00058 -0.00083 -0.00115 -0.00042 -0.00133 -0.00086 -0.00058 -0.00071 -0.00067 -0.00103 -0.00132 -0.00116
0.60000 -0.00097 -0.00110 -0.00070 -0.00083 -0.00117 -0.00039 -0.00114 -0.00096 -0.00061 -0.00087 -0.00063 -0.00098 -0.00110 -0.00128
0.61000 -0.00106 -0.00102 -0.00061 -0.00081 -0.00100 -0.00046 -0.00126 -0.00079 -0.00060 -0.00066 -0.00069 -0.00098 -0.00114 -0.00125
0.62000 -0.00096 -0.00124 -0.00051 -0.00085 -0.00116 -0.00049 -0.00090 -0.00084 -0.00046 -0.00072 -0.00060 -0.00097 -0.00120 -0.00135
0.63000 -0.00096 -0.00089 -0.00061 -0.00086 -0.00107 -0.00046 -0.00097 -0.00094 -0.00053 -0.00085 -0.00069 -0.00081 -0.00071 -0.00100
0.64000 -0.00113 -0.00111 -0.00052 -0.00066 -0.00103 -0.00037 -0.00106 -0.00094 -0.00054 -0.00087 -0.00072 -0.00079 -0.00113 -0.00110
0.65000 -0.00091 -0.00097 -0.00054 -0.00071 -0.00104 -0.00048 -0.00110 -0.00090 -0.00042 -0.00059 -0.00072 -0.00084 -0.00101 -0.00087
0.66000 -0.00104 -0.00086 -0.00064 -0.00074 -0.00101 -0.00043 -0.00095 -0.00074 -0.00048 -0.00061 -0.00065 -0.00075 -0.00101 -0.00101
0.67000 -0.00102 -0.00086 -0.00052 -0.00080 -0.00084 -0.00038 -0.00078 -0.00089 -0.00040 -0.00058 -0.00051 -0.00069 -0.00082 -0.00091
0.68000 -0.00093 -0.00103 -0.00052 -0.00078 -0.00093 -0.00038 -0.00073 -0.00066 -0.00043 -0.00074 -0.00067 -0.00077 -0.00094 -0.00085
0.69000 -0.00102 -0.00084 -0.00052 -0.00073 -0.00080 -0.00031 -0.00071 -0.00078 -0.00045 -0.00053 -0.00055 -0.00080 -0.00084 -0.00084
0.70000 -0.00074 -0.00096 -0.00041 -0.00075 -0.00068 -0.00032 -0.00100 -0.00074 -0.00044 -0.00049 -0.00052 -0.00073 -0.00074 -0.00081
0.71000 -0.00070 -0.00097 -0.00040 -0.00064 -0.00083 -0.00037 -0.00080 -0.00070 -0.00049 -0.00068 -0.00058 -0.00067 -0.00044 -0.00089
0.72000 -0.00054 -0.00068 -0.00041 -0.00051 -0.00091 -0.00029 -0.00077 -0.00063 -0.00031 -0.00044 -0.00052 -0.00049 -0.00060 -0.00075
0.73000 -0.00075 -0.00070 -0.00036 -0.00061 -0.00085 -0.00035 -0.00054 -0.00055 -0.00033 -0.00056 -0.00051 -0.00066 -0.00049 -0.00046
0.74000 -0.00062 -0.00063 -0.00028 -0.00041 -0.00059 -0.00027 -0.00038 -0.00053 -0.00032 -0.00033 -0.00038 -0.00036 -0.00006 -0.00063
0.75000 -0.00039 -0.00072 -0.00025 -0.00055 -0.00051 -0.00023 -0.00048 -0.00062 -0.00019 -0.00047 -0.00029 -0.00043 -0.00036 -0.00061
0.76000 -0.00026 -0.00062 -0.00028 -0.00029 -0.00048 -0.00024 -0.00049 -0.00032 -0.00017 -0.00026 -0.00038 -0.00026 -0.00039 -0.00051
0.77000 -0.00051 -0.00039 -0.00015 -0.00037 -0.00037 -0.00018 -0.00030 -0.00024 -0.00021 -0.00022 -0.00021 -0.00018 0.00004 -0.00052
0.78000 -0.00040 -0.00013 -0.00007 -0.00024 -0.00041 -0.00016 -0.00034 -0.00015 -0.00011 -0.00031 -0.00020 -0.00006 -0.00019 -0.00010
0.79000 -0.00001 -0.00013 -0.00007 -0.00010 -0.00024 -0.00010 -0.00032 -0.00024 0.00002 -0.00016 -0.00005 -0.00023 0.00015 -0.00012
0.80000 -0.00004 0.00018 0.00010 -0.00007 0.00003 -0.00007 0.00016 0.00008 -0.00006 0.00006 0.00009 0.00003 0.00022 0.00002
0.81000 0.00008 0.00035 0.00013 0.00024 0.00016 0.00000 0.00012 0.00021 0.00005 0.00022 0.00015 0.00024 -0.00012 -0.00005
0.82000 0.00025 0.00039 0.00026 0.00021 0.00019 0.00010 0.00015 0.00018 0.00013 0.00029 0.00028 0.00033 0.00013 0.00043
0.83000 0.00029 0.00067 0.00033 0.00047 0.00055 0.00018 0.00054 0.00058 0.00032 0.00029 0.00045 0.00040 0.00046 0.00033
0.84000 0.00046 0.00093 0.00041 0.00065 0.00073 0.00033 0.00051 0.00077 0.00042 0.00057 0.00045 0.00061 0.00062 0.00045
0.85000 0.00096 0.00106 0.00056 0.00078 0.00108 0.00045 0.00060 0.00087 0.00049 0.00069 0.00077 0.00078 0.00058 0.00062
0.86000 0.00094 0.00160 0.00060 0.00107 0.00129 0.00058 0.00091 0.00130 0.00061 0.00095 0.00089 0.00104 0.00050 0.00113
0.87000 0.00147 0.00189 0.00074 0.00129 0.00173 0.00082 0.00092 0.00156 0.00073 0.00119 0.00127 0.00128 0.00085 0.00114
0.88000 0.00163 0.00231 0.00095 0.00162 0.00225 0.00095 0.00125 0.00194 0.00083 0.00142 0.00144 0.00148 0.00067 0.00153
0.89000 0.00180 0.00289 0.00122 0.00211 0.00270 0.00129 0.00134 0.00250 0.00109 0.00168 0.00171 0.00172 0.00053 0.00191
0.90000 0.00241 0.00370 0.00145 0.00246 0.00338 0.00146 0.00168 0.00312 0.00123 0.00197 0.00217 0.00189 0.00061 0.00196
0.91000 0.00260 0.00417 0.00167 0.00288 0.00389 0.00190 0.00185 0.00365 0.00159 0.00244 0.00260 0.00224 0.00080 0.00246
0.92000 0.00315 0.00513 0.00198 0.00344 0.00478 0.00226 0.00220 0.00441 0.00186 0.00277 0.00298 0.00275 0.00110 0.00276
0.93000 0.00372 0.00614 0.00219 0.00414 0.00550 0.00268 0.00239 0.00542 0.00205 0.00308 0.00360 0.00321 0.00087 0.00302
0.94000 0.00425 0.00716 0.00262 0.00501 0.00661 0.00306 0.00279 0.00634 0.00235 0.00371 0.00430 0.00351 0.00128 0.00374
0.95000 0.00488 0.00825 0.00301 0.00588 0.00773 0.00374 0.00302 0.00765 0.00281 0.00425 0.00506 0.00425 0.00113 0.00415
0.96000 0.00559 0.00973 0.00333 0.00676 0.00917 0.00434 0.00347 0.00885 0.00326 0.00481 0.00593 0.00468 0.00157 0.00451
0.97000 0.00641 0.01127 0.00388 0.00773 0.01073 0.00516 0.00371 0.01040 0.00369 0.00559 0.00700 0.00548 0.00146 0.00535
0.98000 0.00703 0.01337 0.00447 0.00916 0.01235 0.00597 0.00412 0.01236 0.00419 0.00643 0.00796 0.00619 0.00144 0.00577
0.99000 0.00798 0.01533 0.00503 0.01067 0.01425 0.00705 0.00477 0.01444 0.00470 0.00729 0.00933 0.00695 0.00190 0.00664
1.00000 0.00897 0.01796 0.00566 0.01230 0.01672 0.00828 0.00517 0.01679 0.00535 0.00821 0.01085 0.00811 0.00202 0.00726
