# Timestamp: 2014-10-08 10:17:00
# Operator: r.calvert
# Comments: There was a *small* crack in the filter.  Note that $I_{\mathrm{sc}}$ is actually$J_{\mathrm{sc}} = \frac{I_{\mathrm{sc}}}{A}$.
# Sample: 14S-004
# Layout: acme1
# Irradiation: BG7
# Temperature: 23.5
# Positions: 1B 1C 2A 2C 2D 3A 3C 3D 4A 4B 4D
# Areas: 0.06760000000000001 0.06760000000000001 0.15209999999999999 0.15209999999999999 0.15209999999999999 0.06760000000000001 0.06760000000000001 0.06760000000000001 0.15209999999999999 0.15209999999999999 0.15209999999999999
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
0.64000 -0.00015 -0.00007 -0.00023 -0.00025 -0.00034 -0.00007 -0.00016 -0.00010 -0.00020 -0.00028 -0.00019
0.65000 -0.00014 -0.00008 -0.00019 -0.00019 -0.00035 -0.00008 -0.00014 -0.00014 -0.00023 -0.00020 -0.00018
0.66000 -0.00016 -0.00010 -0.00017 -0.00028 -0.00027 -0.00007 -0.00014 -0.00008 -0.00012 -0.00022 -0.00024
0.67000 -0.00013 -0.00007 -0.00021 -0.00020 -0.00032 -0.00008 -0.00012 -0.00008 -0.00019 -0.00028 -0.00020
0.68000 -0.00011 -0.00009 -0.00018 -0.00020 -0.00036 -0.00006 -0.00014 -0.00007 -0.00016 -0.00019 -0.00023
0.69000 -0.00012 -0.00008 -0.00018 -0.00013 -0.00023 -0.00006 -0.00013 -0.00007 -0.00009 -0.00017 -0.00013
0.70000 -0.00010 -0.00007 -0.00015 -0.00023 -0.00020 -0.00006 -0.00013 -0.00011 -0.00014 -0.00016 -0.00018
0.71000 -0.00013 -0.00007 -0.00016 -0.00022 -0.00026 -0.00007 -0.00011 -0.00007 -0.00010 -0.00022 -0.00012
0.72000 -0.00011 -0.00007 -0.00014 -0.00017 -0.00021 -0.00004 -0.00010 -0.00006 -0.00012 -0.00019 -0.00011
0.73000 -0.00010 -0.00007 -0.00013 -0.00014 -0.00016 -0.00006 -0.00008 -0.00004 -0.00008 -0.00017 -0.00015
0.74000 -0.00006 -0.00007 -0.00015 -0.00011 -0.00022 -0.00004 -0.00007 -0.00004 -0.00007 -0.00010 -0.00014
0.75000 -0.00009 -0.00006 -0.00014 -0.00008 -0.00012 -0.00004 -0.00006 -0.00005 -0.00011 -0.00012 -0.00010
0.76000 -0.00005 -0.00004 -0.00010 -0.00012 -0.00019 -0.00002 -0.00008 -0.00003 -0.00008 -0.00007 -0.00005
0.77000 -0.00008 -0.00002 -0.00009 -0.00003 -0.00014 -0.00002 -0.00005 -0.00005 -0.00007 -0.00006 -0.00008
0.78000 -0.00004 -0.00003 -0.00005 -0.00008 -0.00007 -0.00001 -0.00001 -0.00002 -0.00002 -0.00007 -0.00004
0.79000 -0.00001 -0.00002 -0.00003 0.00001 -0.00001 -0.00002 -0.00000 0.00001 -0.00002 -0.00007 -0.00003
0.80000 0.00002 0.00001 0.00001 0.00004 -0.00001 0.00001 0.00002 -0.00002 0.00000 -0.00003 0.00003
0.81000 0.00004 0.00002 -0.00000 0.00005 0.00006 -0.00000 0.00004 -0.00001 -0.00002 0.00008 0.00000
0.82000 0.00007 0.00003 0.00006 0.00007 0.00008 0.00002 0.00002 0.00004 0.00003 0.00005 0.00001
0.83000 0.00005 0.00004 0.00013 0.00008 0.00018 0.00003 0.00007 0.00004 0.00003 0.00006 0.00005
0.84000 0.00007 0.00005 0.00018 0.00016 0.00032 0.00005 0.00008 0.00005 0.00014 0.00009 0.00009
0.85000 0.00011 0.00009 0.00018 0.00014 0.00034 0.00007 0.00012 0.00006 0.00016 0.00012 0.00017
0.86000 0.00015 0.00013 0.00025 0.00023 0.00045 0.00008 0.00014 0.00010 0.00009 0.00012 0.00011
0.87000 0.00022 0.00015 0.00030 0.00029 0.00062 0.00008 0.00019 0.00013 0.00012 0.00023 0.00018
0.88000 0.00022 0.00018 0.00039 0.00031 0.00059 0.00011 0.00027 0.00010 0.00017 0.00024 0.00021
0.89000 0.00034 0.00021 0.00043 0.00037 0.00081 0.00010 0.00033 0.00015 0.00016 0.00026 0.00031
0.90000 0.00036 0.00027 0.00057 0.00043 0.00105 0.00011 0.00035 0.00022 0.00019 0.00032 0.00029
0.91000 0.00040 0.00028 0.00066 0.00051 0.00111 0.00014 0.00044 0.00023 0.00033 0.00039 0.00039
0.92000 0.00042 0.00036 0.00076 0.00062 0.00156 0.00016 0.00050 0.00025 0.00033 0.00041 0.00041
0.93000 0.00058 0.00042 0.00100 0.00077 0.00188 0.00021 0.00053 0.00028 0.00040 0.00045 0.00046
0.94000 0.00065 0.00055 0.00106 0.00070 0.00206 0.00026 0.00066 0.00029 0.00036 0.00047 0.00062
0.95000 0.00070 0.00060 0.00122 0.00089 0.00237 0.00027 0.00085 0.00030 0.00041 0.00067 0.00056
0.96000 0.00089 0.00073 0.00158 0.00097 0.00301 0.00029 0.00085 0.00034 0.00043 0.00069 0.00068
0.97000 0.00099 0.00082 0.00177 0.00111 0.00340 0.00030 0.00106 0.00042 0.00053 0.00066 0.00077
0.98000 0.00101 0.00087 0.00201 0.00125 0.00390 0.00031 0.00121 0.00050 0.00048 0.00089 0.00085
0.99000 0.00129 0.00107 0.00228 0.00154 0.00383 0.00036 0.00141 0.00046 0.00055 0.00081 0.00091
1.00000 0.00135 0.00131 0.00264 0.00160 0.00539 0.00045 0.00142 0.00058 0.00065 0.00097 0.00091
