# Timestamp: 2014-10-08 10:18:00
# Operator: r.calvert
# Comments: Click on cells to change data.
# Sample: 14S-005
# Layout: acme1
# Irradiation: AM1.5
# Temperature: 23.5
# Positions: 1A 1B 1D 2B 2D 3A 3B 3C 4A 4B 4C 4D
# Areas: 0.06760000000000001 0.06760000000000001 0.06760000000000001 0.15209999999999999 0.15209999999999999 0.06760000000000001 0.06760000000000001 0.06760000000000001 0.15209999999999999 0.15209999999999999 0.15209999999999999 0.15209999999999999
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
0.27000 -0.00078 -0.00043 -0.00066 -0.00081 -0.00069 -0.00086 -0.00072 -0.00055 -0.00098 -0.00210 -0.00216 -0.00183
0.28000 -0.00072 -0.00041 -0.00078 -0.00077 -0.00077 -0.00082 -0.00069 -0.00060 -0.00102 -0.00186 -0.00229 -0.00187
0.29000 -0.00079 -0.00038 -0.00071 -0.00093 -0.00068 -0.00107 -0.00081 -0.00048 -0.00101 -0.00194 -0.00244 -0.00180
0.30000 -0.00077 -0.00037 -0.00080 -0.00094 -0.00067 -0.00104 -0.00076 -0.00048 -0.00081 -0.00179 -0.00249 -0.00177
0.31000 -0.00068 -0.00037 -0.00082 -0.00089 -0.00072 -0.00089 -0.00072 -0.00057 -0.00093 -0.00225 -0.00252 -0.00130
0.32000 -0.00069 -0.00046 -0.00063 -0.00085 -0.00072 -0.00086 -0.00063 -0.00051 -0.00090 -0.00174 -0.00201 -0.00170
0.33000 -0.00066 -0.00039 -0.00062 -0.00100 -0.00070 -0.00094 -0.00069 -0.00058 -0.00086 -0.00170 -0.00197 -0.00162
0.34000 -0.00064 -0.00047 -0.00072 -0.00091 -0.00065 -0.00104 -0.00074 -0.00056 -0.00088 -0.00180 -0.00247 -0.00137
0.35000 -0.00070 -0.00039 -0.00083 -0.00082 -0.00077 -0.00090 -0.00080 -0.00055 -0.00101 -0.00188 -0.00199 -0.00165
0.36000 -0.00074 -0.00046 -0.00070 -0.00082 -0.00067 -0.00102 -0.00072 -0.00053 -0.00087 -0.00200 -0.00247 -0.00160
0.37000 -0.00072 -0.00037 -0.00069 -0.00099 -0.00070 -0.00095 -0.00077 -0.00050 -0.00082 -0.00168 -0.00207 -0.00177
0.38000 -0.00083 -0.00045 -0.00068 -0.00092 -0.00082 -0.00099 -0.00081 -0.00059 -0.00106 -0.00201 -0.00233 -0.00163
0.39000 -0.00075 -0.00038 -0.00069 -0.00077 -0.00063 -0.00100 -0.00065 -0.00059 -0.00097 -0.00219 -0.00196 -0.00126
0.40000 -0.00078 -0.00049 -0.00077 -0.00087 -0.00065 -0.00097 -0.00082 -0.00053 -0.00087 -0.00224 -0.00230 -0.00141
0.41000 -0.00066 -0.00045 -0.00068 -0.00084 -0.00062 -0.00095 -0.00075 -0.00045 -0.00104 -0.00202 -0.00216 -0.00168
0.42000 -0.00076 -0.00041 -0.00069 -0.00096 -0.00069 -0.00092 -0.00074 -0.00049 -0.00091 -0.00220 -0.00245 -0.00131
0.43000 -0.00069 -0.00044 -0.00072 -0.00073 -0.00065 -0.00091 -0.00070 -0.00053 -0.00079 -0.00196 -0.00217 -0.00122
0.44000 -0.00079 -0.00040 -0.00069 -0.00085 -0.00062 -0.00103 -0.00082 -0.00050 -0.00105 -0.00167 -0.00231 -0.00149
0.45000 -0.00073 -0.00042 -0.00070 -0.00097 -0.00074 -0.00079 -0.00076 -0.00056 -0.00103 -0.00197 -0.00215 -0.00164
0.46000 -0.00069 -0.00041 -0.00071 -0.00084 -0.00070 -0.00083 -0.00076 -0.00055 -0.00076 -0.00181 -0.00198 -0.00139
0.47000 -0.00080 -0.00037 -0.00077 -0.00098 -0.00067 -0.00097 -0.00072 -0.00051 -0.00103 -0.00199 -0.00191 -0.00107
0.48000 -0.00066 -0.00042 -0.00073 -0.00094 -0.00063 -0.00089 -0.00078 -0.00047 -0.00088 -0.00176 -0.00235 -0.00151
0.49000 -0.00076 -0.00038 -0.00076 -0.00090 -0.00065 -0.00099 -0.00083 -0.00045 -0.00076 -0.00211 -0.00195 -0.00117
0.50000 -0.00077 -0.00037 -0.00059 -0.00089 -0.00077 -0.00078 -0.00075 -0.00054 -0.00092 -0.00181 -0.00240 -0.00153
0.51000 -0.00069 -0.00037 -0.00072 -0.00085 -0.00077 -0.00100 -0.00072 -0.00047 -0.00096 -0.00170 -0.00199 -0.00132
0.52000 -0.00077 -0.00037 -0.00061 -0.00085 -0.00069 -0.00091 -0.00067 -0.00056 -0.00098 -0.00212 -0.00219 -0.00131
0.53000 -0.00061 -0.00039 -0.00058 -0.00085 -0.00062 -0.00070 -0.00070 -0.00054 -0.00077 -0.00196 -0.00208 -0.00114
0.54000 -0.00076 -0.00041 -0.00068 -0.00075 -0.00067 -0.00070 -0.00073 -0.00049 -0.00093 -0.00177 -0.00222 -0.00097
0.55000 -0.00075 -0.00040 -0.00070 -0.00096 -0.00058 -0.00067 -0.00075 -0.00045 -0.00087 -0.00203 -0.00172 -0.00118
0.56000 -0.00071 -0.00037 -0.00072 -0.00085 -0.00061 -0.00073 -0.00068 -0.00052 -0.00092 -0.00200 -0.00209 -0.00134
0.57000 -0.00055 -0.00046 -0.00066 -0.00081 -0.00071 -0.00093 -0.00076 -0.00053 -0.00095 -0.00153 -0.00172 -0.00117
0.58000 -0.00062 -0.00047 -0.00060 -0.00072 -0.00063 -0.00089 -0.00077 -0.00039 -0.00077 -0.00148 -0.00175 -0.00096
0.59000 -0.00065 -0.00037 -0.00059 -0.00094 -0.00069 -0.00068 -0.00062 -0.00037 -0.00078 -0.00170 -0.00212 -0.00107
0.60000 -0.00059 -0.00046 -0.00073 -0.00070 -0.00075 -0.00082 -0.00074 -0.00045 -0.00082 -0.00147 -0.00164 -0.00109
0.61000 -0.00054 -0.00036 -0.00057 -0.00072 -0.00066 -0.00075 -0.00058 -0.00039 -0.00083 -0.00161 -0.00209 -0.00085
0.62000 -0.00064 -0.00044 -0.00069 -0.00083 -0.00056 -0.00077 -0.00063 -0.00047 -0.00076 -0.00156 -0.00170 -0.00113
0.63000 -0.00069 -0.00044 -0.00067 -0.00069 -0.00070 -0.00075 -0.00069 -0.00033 -0.00085 -0.00167 -0.00163 -0.00110
0.64000 -0.00066 -0.00043 -0.00051 -0.00078 -0.00060 -0.00073 -0.00054 -0.00032 -0.00058 -0.00156 -0.00166 -0.00070
0.65000 -0.00046 -0.00037 -0.00053 -0.00070 -0.00050 -0.00070 -0.00068 -0.00030 -0.00063 -0.00166 -0.00184 -0.00077
0.66000 -0.00049 -0.00041 -0.00044 -0.00072 -0.00051 -0.00060 -0.00066 -0.00034 -0.00066 -0.00155 -0.00165 -0.00050
0.67000 -0.00048 -0.00039 -0.00056 -0.00062 -0.00048 -0.00063 -0.00066 -0.00036 -0.00056 -0.00149 -0.00133 -0.00064
0.68000 -0.00042 -0.00033 -0.00051 -0.00059 -0.00044 -0.00062 -0.00062 -0.00036 -0.00063 -0.00151 -0.00125 -0.00089
0.69000 -0.00052 -0.00036 -0.00057 -0.00075 -0.00059 -0.00061 -0.00051 -0.00026 -0.00070 -0.00150 -0.00123 -0.00078
0.70000 -0.00048 -0.00032 -0.00044 -0.00075 -0.00043 -0.00043 -0.00048 -0.00034 -0.00047 -0.00119 -0.00130 -0.00069
0.71000 -0.00046 -0.00032 -0.00042 -0.00063 -0.00054 -0.00048 -0.00049 -0.00033 -0.00064 -0.00100 -0.00161 -0.00065
0.72000 -0.00027 -0.00027 -0.00037 -0.00063 -0.00033 -0.00040 -0.00049 -0.00020 -0.00043 -0.00075 -0.00145 -0.00059
0.73000 -0.00034 -0.00025 -0.00035 -0.00044 -0.00030 -0.00041 -0.00041 -0.00024 -0.00050 -0.00105 -0.00111 -0.00040
0.74000 -0.00033 -0.00027 -0.00024 -0.00036 -0.00033 -0.00024 -0.00031 -0.00026 -0.00037 -0.00094 -0.00127 -0.00051
0.75000 -0.00024 -0.00026 -0.00020 -0.00051 -0.00035 -0.00028 -0.00034 -0.00020 -0.00041 -0.00043 -0.00075 -0.00037
0.76000 -0.00021 -0.00021 -0.00029 -0.00039 -0.00031 -0.00012 -0.00037 -0.00009 -0.00037 -0.00060 -0.00073 -0.00053
0.77000 -0.00026 -0.00013 -0.00018 -0.00021 -0.00018 -0.00012 -0.00027 -0.00015 -0.00027 -0.00077 -0.00058 0.00001
0.78000 -0.00003 -0.00011 -0.00014 -0.00009 -0.00007 -0.00013 -0.00016 -0.00009 -0.00007 -0.00059 -0.00031 0.00001
0.79000 0.00001 -0.00010 0.00004 -0.00003 0.00000 -0.00006 0.00002 -0.00009 -0.00013 0.00010 -0.00043 -0.00029
0.80000 0.00003 -0.00003 -0.00006 0.00000 0.00000 -0.00013 -0.00000 0.00000 0.00006 -0.00014 -0.00001 -0.00016
0.81000 0.00017 0.00003 0.00008 0.00021 0.00016 0.00019 0.00011 -0.00000 0.00024 -0.00005 0.00046 0.00017
0.82000 0.00014 0.00016 0.00012 0.00039 0.00026 0.00019 0.00011 0.00002 0.00026 0.00070 0.00085 0.00020
0.83000 0.00033 0.00030 0.00034 0.00047 0.00039 0.00032 0.00029 0.00009 0.00032 0.00077 0.00066 0.00047
0.84000 0.00025 0.00041 0.00025 0.00060 0.00046 0.00034 0.00053 0.00024 0.00038 0.00107 0.00153 0.00003
0.85000 0.00044 0.00054 0.00051 0.00086 0.00054 0.00040 0.00070 0.00024 0.00042 0.00138 0.00128 0.00061
0.86000 0.00052 0.00069 0.00057 0.00114 0.00065 0.00059 0.00075 0.00039 0.00059 0.00137 0.00176 0.00027
0.87000 0.00072 0.00094 0.00059 0.00141 0.00085 0.00072 0.00107 0.00037 0.00086 0.00183 0.00242 0.00076
0.88000 0.00077 0.00123 0.00090 0.00165 0.00104 0.00075 0.00133 0.00055 0.00092 0.00226 0.00278 0.00089
0.89000 0.00093 0.00145 0.00104 0.00179 0.00126 0.00082 0.00145 0.00056 0.00113 0.00295 0.00378 0.00058
0.90000 0.00104 0.00192 0.00116 0.00237 0.00168 0.00093 0.00185 0.00066 0.00141 0.00302 0.00438 0.00097
0.91000 0.00127 0.00223 0.00126 0.00266 0.00181 0.00132 0.00223 0.00074 0.00156 0.00355 0.00464 0.00082
0.92000 0.00143 0.00281 0.00158 0.00313 0.00228 0.00148 0.00265 0.00079 0.00181 0.00439 0.00545 0.00125
0.93000 0.00165 0.00336 0.00171 0.00381 0.00256 0.00169 0.00310 0.00103 0.00196 0.00448 0.00610 0.00117
0.94000 0.00177 0.00405 0.00215 0.00443 0.00287 0.00182 0.00347 0.00114 0.00243 0.00550 0.00745 0.00114
0.95000 0.00211 0.00498 0.00235 0.00494 0.00345 0.00181 0.00408 0.00122 0.00250 0.00635 0.00826 0.00145
0.96000 0.00226 0.00587 0.00257 0.00574 0.00384 0.00205 0.00476 0.00142 0.00293 0.00682 0.00900 0.00132
0.97000 0.00252 0.00708 0.00294 0.00675 0.00437 0.00245 0.00552 0.00147 0.00330 0.00755 0.01080 0.00163
0.98000 0.00289 0.00848 0.00339 0.00784 0.00516 0.00267 0.00622 0.00174 0.00353 0.00848 0.01206 0.00189
0.99000 0.00334 0.01011 0.00376 0.00904 0.00588 0.00281 0.00728 0.00193 0.00411 0.00991 0.01371 0.00212
1.00000 0.00363 0.01207 0.00424 0.01011 0.00655 0.00312 0.00834 0.00203 0.00453 0.01103 0.01520 0.00217
