# Timestamp: 2014-10-08 10:13:00
# Operator: r.calvert
# Comments: There was a *small* crack in the filter.  Note that $I_{\mathrm{sc}}$ is actually$J_{\mathrm{sc}} = \frac{I_{\mathrm{sc}}}{A}$.
# Sample: 14S-002
# Layout: acme1
# Irradiation: BG7
# Temperature: 23.5
# Positions: 1A 1B 1C 2A 2C 2D 3A 3C 3D 4A 4B 4C 4D
# Areas: 0.06760000000000001 0.06760000000000001 0.06760000000000001 0.15209999999999999 0.15209999999999999 0.15209999999999999 0.06760000000000001 0.06760000000000001 0.06760000000000001 0.15209999999999999 0.15209999999999999 0.15209999999999999 0.15209999999999999
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
0.17000 -0.00019 -0.00008 -0.00024 -0.00021 -0.00057 -0.00031 -0.00017 -0.00012 -0.00017 -0.00034 -0.00051 -0.00029 -0.00047
0.18000 -0.00017 -0.00009 -0.00026 -0.00023 -0.00054 -0.00036 -0.00014 -0.00010 -0.00018 -0.00034 -0.00041 -0.00024 -0.00056
0.19000 -0.00019 -0.00009 -0.00024 -0.00022 -0.00055 -0.00038 -0.00016 -0.00012 -0.00016 -0.00029 -0.00048 -0.00029 -0.00046
0.20000 -0.00022 -0.00010 -0.00025 -0.00028 -0.00054 -0.00036 -0.00018 -0.00013 -0.00018 -0.00035 -0.00055 -0.00031 -0.00050
0.21000 -0.00023 -0.00009 -0.00018 -0.00026 -0.00053 -0.00035 -0.00019 -0.00013 -0.00014 -0.00043 -0.00056 -0.00029 -0.00049
0.22000 -0.00018 -0.00007 -0.00028 -0.00025 -0.00051 -0.00035 -0.00012 -0.00012 -0.00016 -0.00041 -0.00047 -0.00031 -0.00051
0.23000 -0.00018 -0.00008 -0.00022 -0.00026 -0.00051 -0.00034 -0.00018 -0.00015 -0.00014 -0.00029 -0.00046 -0.00024 -0.00053
0.24000 -0.00019 -0.00009 -0.00019 -0.00025 -0.00053 -0.00037 -0.00016 -0.00014 -0.00015 -0.00037 -0.00054 -0.00020 -0.00040
0.25000 -0.00019 -0.00009 -0.00020 -0.00021 -0.00050 -0.00032 -0.00015 -0.00013 -0.00020 -0.00035 -0.00040 -0.00027 -0.00052
0.26000 -0.00022 -0.00008 -0.00026 -0.00025 -0.00051 -0.00036 -0.00013 -0.00011 -0.00014 -0.00040 -0.00043 -0.00021 -0.00058
0.27000 -0.00025 -0.00009 -0.00024 -0.00023 -0.00044 -0.00037 -0.00015 -0.00012 -0.00016 -0.00041 -0.00051 -0.00023 -0.00056
0.28000 -0.00016 -0.00011 -0.00028 -0.00026 -0.00058 -0.00031 -0.00018 -0.00014 -0.00015 -0.00036 -0.00056 -0.00021 -0.00047
0.29000 -0.00023 -0.00010 -0.00023 -0.00025 -0.00063 -0.00031 -0.00016 -0.00015 -0.00019 -0.00038 -0.00052 -0.00022 -0.00043
0.30000 -0.00019 -0.00009 -0.00022 -0.00025 -0.00057 -0.00030 -0.00015 -0.00015 -0.00015 -0.00044 -0.00040 -0.00028 -0.00052
0.31000 -0.00021 -0.00009 -0.00022 -0.00022 -0.00058 -0.00031 -0.00015 -0.00013 -0.00014 -0.00031 -0.00050 -0.00022 -0.00046
0.32000 -0.00019 -0.00009 -0.00023 -0.00021 -0.00060 -0.00031 -0.00017 -0.00017 -0.00016 -0.00030 -0.00047 -0.00028 -0.00050
0.33000 -0.00024 -0.00008 -0.00026 -0.00021 -0.00048 -0.00027 -0.00017 -0.00015 -0.00017 -0.00036 -0.00046 -0.00021 -0.00059
0.34000 -0.00021 -0.00009 -0.00020 -0.00022 -0.00054 -0.00025 -0.00015 -0.00014 -0.00017 -0.00037 -0.00048 -0.00020 -0.00055
0.35000 -0.00019 -0.00007 -0.00022 -0.00024 -0.00048 -0.00037 -0.00017 -0.00011 -0.00016 -0.00031 -0.00043 -0.00022 -0.00056
0.36000 -0.00018 -0.00008 -0.00024 -0.00019 -0.00044 -0.00030 -0.00013 -0.00013 -0.00014 -0.00035 -0.00040 -0.00020 -0.00046
0.37000 -0.00019 -0.00008 -0.00026 -0.00021 -0.00056 -0.00032 -0.00014 -0.00014 -0.00016 -0.00037 -0.00053 -0.00024 -0.00047
0.38000 -0.00019 -0.00009 -0.00023 -0.00024 -0.00047 -0.00034 -0.00015 -0.00012 -0.00015 -0.00031 -0.00044 -0.00026 -0.00047
0.39000 -0.00020 -0.00008 -0.00024 -0.00021 -0.00049 -0.00030 -0.00017 -0.00015 -0.00015 -0.00041 -0.00047 -0.00025 -0.00047
0.40000 -0.00019 -0.00008 -0.00018 -0.00021 -0.00052 -0.00035 -0.00016 -0.00014 -0.00017 -0.00028 -0.00048 -0.00023 -0.00045
0.41000 -0.00021 -0.00008 -0.00024 -0.00024 -0.00052 -0.00027 -0.00015 -0.00015 -0.00014 -0.00041 -0.00050 -0.00028 -0.00057
0.42000 -0.00019 -0.00011 -0.00024 -0.00026 -0.00046 -0.00031 -0.00016 -0.00012 -0.00014 -0.00037 -0.00050 -0.00024 -0.00052
0.43000 -0.00017 -0.00008 -0.00021 -0.00019 -0.00054 -0.00035 -0.00016 -0.00012 -0.00014 -0.00029 -0.00044 -0.00025 -0.00045
0.44000 -0.00019 -0.00008 -0.00025 -0.00023 -0.00039 -0.00033 -0.00016 -0.00011 -0.00015 -0.00030 -0.00049 -0.00016 -0.00045
0.45000 -0.00024 -0.00009 -0.00029 -0.00025 -0.00053 -0.00034 -0.00014 -0.00013 -0.00014 -0.00035 -0.00056 -0.00017 -0.00045
0.46000 -0.00017 -0.00009 -0.00022 -0.00022 -0.00051 -0.00031 -0.00016 -0.00012 -0.00018 -0.00033 -0.00048 -0.00026 -0.00047
0.47000 -0.00019 -0.00007 -0.00020 -0.00022 -0.00044 -0.00031 -0.00014 -0.00013 -0.00016 -0.00034 -0.00050 -0.00016 -0.00045
0.48000 -0.00021 -0.00009 -0.00024 -0.00023 -0.00064 -0.00028 -0.00015 -0.00014 -0.00018 -0.00035 -0.00041 -0.00022 -0.00043
0.49000 -0.00020 -0.00007 -0.00021 -0.00026 -0.00062 -0.00033 -0.00016 -0.00014 -0.00016 -0.00033 -0.00043 -0.00021 -0.00057
0.50000 -0.00018 -0.00010 -0.00022 -0.00021 -0.00046 -0.00038 -0.00013 -0.00017 -0.00016 -0.00034 -0.00045 -0.00020 -0.00036
0.51000 -0.00016 -0.00009 -0.00022 -0.00024 -0.00050 -0.00028 -0.00017 -0.00014 -0.00013 -0.00029 -0.00035 -0.00020 -0.00056
0.52000 -0.00022 -0.00009 -0.00020 -0.00023 -0.00060 -0.00030 -0.00016 -0.00015 -0.00018 -0.00040 -0.00039 -0.00018 -0.00055
0.53000 -0.00017 -0.00009 -0.00019 -0.00024 -0.00053 -0.00030 -0.00019 -0.00014 -0.00016 -0.00029 -0.00049 -0.00017 -0.00046
0.54000 -0.00018 -0.00006 -0.00023 -0.00022 -0.00055 -0.00036 -0.00016 -0.00015 -0.00015 -0.00034 -0.00039 -0.00013 -0.00050
0.55000 -0.00018 -0.00009 -0.00024 -0.00018 -0.00045 -0.00034 -0.00013 -0.00011 -0.00018 -0.00031 -0.00031 -0.00016 -0.00042
0.56000 -0.00019 -0.00007 -0.00024 -0.00019 -0.00038 -0.00029 -0.00012 -0.00011 -0.00015 -0.00032 -0.00043 -0.00013 -0.00054
0.57000 -0.00015 -0.00007 -0.00022 -0.00021 -0.00047 -0.00031 -0.00016 -0.00013 -0.00016 -0.00026 -0.00039 -0.00020 -0.00041
0.58000 -0.00018 -0.00007 -0.00018 -0.00019 -0.00044 -0.00027 -0.00016 -0.00015 -0.00015 -0.00038 -0.00032 -0.00018 -0.00045
0.59000 -0.00017 -0.00006 -0.00025 -0.00021 -0.00040 -0.00032 -0.00016 -0.00011 -0.00014 -0.00034 -0.00043 -0.00014 -0.00046
0.60000 -0.00018 -0.00009 -0.00021 -0.00021 -0.00043 -0.00029 -0.00015 -0.00012 -0.00016 -0.00036 -0.00034 -0.00014 -0.00049
0.61000 -0.00018 -0.00008 -0.00020 -0.00021 -0.00045 -0.00026 -0.00013 -0.00013 -0.00016 -0.00037 -0.00043 -0.00016 -0.00049
0.62000 -0.00021 -0.00006 -0.00021 -0.00020 -0.00046 -0.00029 -0.00013 -0.00012 -0.00017 -0.00029 -0.00040 -0.00009 -0.00034
0.63000 -0.00018 -0.00007 -0.00017 -0.00019 -0.00040 -0.00023 -0.00015 -0.00013 -0.00015 -0.00034 -0.00045 -0.00012 -0.00031
0.64000 -0.00021 -0.00006 -0.00019 -0.00019 -0.00046 -0.00028 -0.00014 -0.00013 -0.00014 -0.00031 -0.00031 -0.00011 -0.00032
0.65000 -0.00017 -0.00008 -0.00019 -0.00016 -0.00031 -0.00025 -0.00012 -0.00012 -0.00012 -0.00028 -0.00032 -0.00009 -0.00040
0.66000 -0.00016 -0.00006 -0.00016 -0.00017 -0.00039 -0.00030 -0.00012 -0.00011 -0.00013 -0.00028 -0.00030 -0.00008 -0.00039
0.67000 -0.00015 -0.00006 -0.00016 -0.00017 -0.00027 -0.00026 -0.00015 -0.00010 -0.00014 -0.00030 -0.00030 -0.00014 -0.00042
0.68000 -0.00015 -0.00007 -0.00019 -0.00016 -0.00035 -0.00024 -0.00014 -0.00010 -0.00010 -0.00027 -0.00038 -0.00013 -0.00031
0.69000 -0.00015 -0.00007 -0.00021 -0.00013 -0.00028 -0.00018 -0.00012 -0.00009 -0.00012 -0.00020 -0.00024 -0.00010 -0.00036
0.70000 -0.00013 -0.00004 -0.00012 -0.00013 -0.00024 -0.00021 -0.00013 -0.00008 -0.00011 -0.00025 -0.00024 -0.00012 -0.00037
0.71000 -0.00012 -0.00006 -0.00011 -0.00013 -0.00030 -0.00016 -0.00009 -0.00010 -0.00012 -0.00025 -0.00018 -0.00006 -0.00035
0.72000 -0.00012 -0.00004 -0.00013 -0.00014 -0.00017 -0.00017 -0.00009 -0.00010 -0.00010 -0.00021 -0.00025 -0.00004 -0.00019
0.73000 -0.00009 -0.00004 -0.00014 -0.00008 -0.00029 -0.00014 -0.00008 -0.00010 -0.00011 -0.00021 -0.00027 -0.00002 -0.00031
0.74000 -0.00008 -0.00003 -0.00009 -0.00009 -0.00025 -0.00015 -0.00010 -0.00006 -0.00008 -0.00013 -0.00026 -0.00008 -0.00019
0.75000 -0.00008 -0.00002 -0.00011 -0.00010 -0.00011 -0.00014 -0.00010 -0.00007 -0.00009 -0.00018 -0.00025 -0.00003 -0.00015
0.76000 -0.00006 -0.00003 -0.00010 -0.00008 -0.00020 -0.00011 -0.00008 -0.00005 -0.00006 -0.00010 -0.00013 -0.00008 -0.00019
0.77000 -0.00006 -0.00002 -0.00007 -0.00004 -0.00017 -0.00013 -0.00006 -0.00007 -0.00005 -0.00012 -0.00012 -0.00003 -0.00008
0.78000 -0.00005 -0.00002 -0.00002 -0.00003 -0.00014 -0.00003 -0.00004 -0.00005 -0.00003 -0.00009 -0.00012 -0.00005 -0.00011
0.79000 -0.00001 -0.00002 -0.00002 -0.00003 -0.00009 -0.00003 -0.00000 -0.00002 -0.00004 -0.00007 0.00003 0.00003 -0.00003
0.80000 -0.00003 -0.00000 -0.00000 -0.00000 -0.00008 0.00001 -0.00001 -0.00001 -0.00002 -0.00000 -0.00002 0.00005 0.00000
0.81000 0.00000 0.00000 0.00003 0.00003 0.00012 0.00006 0.00003 0.00001 0.00002 0.00002 0.00004 -0.00003 0.00002
0.82000 0.00003 0.00001 0.00006 0.00003 0.00002 0.00007 0.00005 0.00006 0.00007 0.00011 0.00010 0.00005 0.00002
0.83000 0.00009 0.00003 0.00009 0.00007 0.00020 0.00006 0.00007 0.00008 0.00005 0.00022 0.00005 0.00007 0.00010
0.84000 0.00009 0.00004 0.00008 0.00013 0.00018 0.00012 0.00012 0.00010 0.00011 0.00022 0.00019 0.00001 0.00016
0.85000 0.00014 0.00005 0.00015 0.00016 0.00031 0.00023 0.00015 0.00011 0.00015 0.00025 0.00023 0.00002 0.00024
0.86000 0.00020 0.00006 0.00015 0.00016 0.00028 0.00029 0.00020 0.00019 0.00014 0.00030 0.00023 0.00002 0.00039
0.87000 0.00021 0.00008 0.00020 0.00019 0.00049 0.00036 0.00030 0.00023 0.00019 0.00049 0.00032 0.00010 0.00033
0.88000 0.00030 0.00009 0.00025 0.00023 0.00048 0.00038 0.00032 0.00025 0.00024 0.00057 0.00043 0.00012 0.00044
0.89000 0.00035 0.00011 0.00030 0.00029 0.00062 0.00047 0.00040 0.00035 0.00029 0.00068 0.00054 0.00012 0.00057
0.90000 0.00035 0.00012 0.00036 0.00034 0.00076 0.00054 0.00050 0.00039 0.00040 0.00069 0.00048 0.00012 0.00060
0.91000 0.00045 0.00015 0.00046 0.00038 0.00077 0.00063 0.00065 0.00047 0.00040 0.00094 0.00059 0.00010 0.00080
0.92000 0.00060 0.00016 0.00055 0.00050 0.00085 0.00071 0.00072 0.00057 0.00060 0.00113 0.00066 0.00018 0.00088
0.93000 0.00066 0.00019 0.00055 0.00050 0.00102 0.00091 0.00085 0.00070 0.00055 0.00117 0.00086 0.00014 0.00106
0.94000 0.00062 0.00026 0.00060 0.00059 0.00114 0.00098 0.00085 0.00084 0.00065 0.00144 0.00078 0.00019 0.00123
0.95000 0.00073 0.00026 0.00079 0.00067 0.00124 0.00124 0.00113 0.00080 0.00084 0.00178 0.00104 0.00021 0.00129
0.96000 0.00098 0.00029 0.00090 0.00070 0.00156 0.00125 0.00116 0.00105 0.00098 0.00187 0.00109 0.00026 0.00168
0.97000 0.00105 0.00033 0.00089 0.00093 0.00145 0.00137 0.00134 0.00131 0.00116 0.00216 0.00121 0.00022 0.00187
0.98000 0.00116 0.00034 0.00109 0.00096 0.00171 0.00176 0.00179 0.00132 0.00142 0.00239 0.00151 0.00021 0.00208
0.99000 0.00124 0.00042 0.00132 0.00107 0.00172 0.00167 0.00215 0.00155 0.00143 0.00302 0.00163 0.00031 0.00233
1.00000 0.00146 0.00050 0.00124 0.00110 0.00202 0.00199 0.00251 0.00178 0.00153 0.00278 0.00169 0.00028 0.00243
