# Timestamp: 2014-10-08 10:12:00
# Operator: r.calvert
# Comments: Click on cells to change data.
# Sample: 14S-002
# Layout: acme1
# Irradiation: AM1.5
# Temperature: 23.5
# Positions: 1A 1B 1C 2A 2C 2D 3A 3C 3D 4A 4B 4C 4D
# Areas: 0.06760000000000001 0.06760000000000001 0.06760000000000001 0.15209999999999999 0.15209999999999999 0.15209999999999999 0.06760000000000001 0.06760000000000001 0.06760000000000001 0.15209999999999999 0.15209999999999999 0.15209999999999999 0.15209999999999999
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
0.37000 -0.00093 -0.00039 -0.00114 -0.00090 -0.00253 -0.00132 -0.00066 -0.00060 -0.00076 -0.00151 -0.00246 -0.00104 -0.00192
0.38000 -0.00078 -0.00041 -0.00101 -0.00106 -0.00222 -0.00155 -0.00065 -0.00052 -0.00061 -0.00151 -0.00197 -0.00106 -0.00216
0.39000 -0.00099 -0.00040 -0.00112 -0.00093 -0.00230 -0.00137 -0.00074 -0.00064 -0.00064 -0.00179 -0.00220 -0.00117 -0.00233
0.40000 -0.00082 -0.00035 -0.00089 -0.00097 -0.00248 -0.00142 -0.00069 -0.00060 -0.00071 -0.00134 -0.00199 -0.00107 -0.00217
0.41000 -0.00087 -0.00033 -0.00096 -0.00109 -0.00257 -0.00128 -0.00076 -0.00061 -0.00070 -0.00169 -0.00234 -0.00114 -0.00239
0.42000 -0.00088 -0.00043 -0.00095 -0.00111 -0.00196 -0.00140 -0.00070 -0.00054 -0.00062 -0.00148 -0.00205 -0.00099 -0.00232
0.43000 -0.00081 -0.00035 -0.00091 -0.00093 -0.00260 -0.00162 -0.00070 -0.00056 -0.00067 -0.00138 -0.00214 -0.00112 -0.00180
0.44000 -0.00091 -0.00041 -0.00116 -0.00116 -0.00195 -0.00153 -0.00067 -0.00051 -0.00073 -0.00148 -0.00212 -0.00077 -0.00220
0.45000 -0.00097 -0.00042 -0.00117 -0.00104 -0.00247 -0.00164 -0.00059 -0.00064 -0.00065 -0.00167 -0.00227 -0.00079 -0.00217
0.46000 -0.00084 -0.00040 -0.00106 -0.00089 -0.00228 -0.00141 -0.00068 -0.00057 -0.00080 -0.00166 -0.00228 -0.00107 -0.00206
0.47000 -0.00086 -0.00033 -0.00086 -0.00088 -0.00187 -0.00135 -0.00060 -0.00052 -0.00065 -0.00145 -0.00205 -0.00073 -0.00191
0.48000 -0.00087 -0.00037 -0.00098 -0.00104 -0.00258 -0.00141 -0.00068 -0.00061 -0.00075 -0.00140 -0.00180 -0.00088 -0.00201
0.49000 -0.00091 -0.00032 -0.00094 -0.00109 -0.00253 -0.00157 -0.00075 -0.00060 -0.00074 -0.00163 -0.00201 -0.00095 -0.00233
0.50000 -0.00087 -0.00042 -0.00096 -0.00084 -0.00194 -0.00161 -0.00066 -0.00068 -0.00070 -0.00138 -0.00218 -0.00092 -0.00174
0.51000 -0.00073 -0.00035 -0.00097 -0.00110 -0.00214 -0.00140 -0.00074 -0.00056 -0.00061 -0.00139 -0.00166 -0.00087 -0.00235
0.52000 -0.00095 -0.00041 -0.00088 -0.00104 -0.00240 -0.00129 -0.00069 -0.00064 -0.00078 -0.00166 -0.00171 -0.00077 -0.00231
0.53000 -0.00076 -0.00037 -0.00087 -0.00105 -0.00226 -0.00134 -0.00075 -0.00063 -0.00072 -0.00134 -0.00206 -0.00070 -0.00219
0.54000 -0.00076 -0.00030 -0.00098 -0.00103 -0.00241 -0.00152 -0.00071 -0.00066 -0.00073 -0.00145 -0.00164 -0.00062 -0.00206
0.55000 -0.00079 -0.00035 -0.00098 -0.00081 -0.00206 -0.00139 -0.00058 -0.00052 -0.00073 -0.00137 -0.00156 -0.00069 -0.00171
0.56000 -0.00081 -0.00037 -0.00107 -0.00081 -0.00179 -0.00137 -0.00056 -0.00050 -0.00061 -0.00156 -0.00190 -0.00058 -0.00221
0.57000 -0.00073 -0.00031 -0.00096 -0.00102 -0.00212 -0.00131 -0.00068 -0.00062 -0.00076 -0.00125 -0.00196 -0.00089 -0.00194
0.58000 -0.00085 -0.00033 -0.00081 -0.00081 -0.00217 -0.00118 -0.00072 -0.00065 -0.00070 -0.00164 -0.00149 -0.00081 -0.00214
0.59000 -0.00083 -0.00030 -0.00103 -0.00095 -0.00189 -0.00144 -0.00074 -0.00053 -0.00062 -0.00143 -0.00181 -0.00066 -0.00187
0.60000 -0.00073 -0.00036 -0.00102 -0.00099 -0.00190 -0.00134 -0.00065 -0.00049 -0.00062 -0.00156 -0.00148 -0.00067 -0.00201
0.61000 -0.00088 -0.00035 -0.00091 -0.00094 -0.00187 -0.00115 -0.00060 -0.00052 -0.00073 -0.00154 -0.00180 -0.00078 -0.00207
0.62000 -0.00085 -0.00030 -0.00099 -0.00082 -0.00208 -0.00117 -0.00054 -0.00054 -0.00069 -0.00138 -0.00171 -0.00042 -0.00150
0.63000 -0.00083 -0.00029 -0.00082 -0.00077 -0.00163 -0.00111 -0.00064 -0.00055 -0.00062 -0.00144 -0.00186 -0.00060 -0.00157
0.64000 -0.00084 -0.00027 -0.00081 -0.00095 -0.00189 -0.00129 -0.00058 -0.00057 -0.00061 -0.00132 -0.00129 -0.00050 -0.00152
0.65000 -0.00070 -0.00031 -0.00090 -0.00080 -0.00144 -0.00124 -0.00056 -0.00056 -0.00059 -0.00114 -0.00137 -0.00042 -0.00168
0.66000 -0.00072 -0.00024 -0.00067 -0.00084 -0.00155 -0.00122 -0.00055 -0.00047 -0.00053 -0.00111 -0.00136 -0.00034 -0.00185
0.67000 -0.00066 -0.00024 -0.00072 -0.00080 -0.00124 -0.00120 -0.00067 -0.00043 -0.00063 -0.00124 -0.00123 -0.00061 -0.00182
0.68000 -0.00062 -0.00029 -0.00083 -0.00070 -0.00168 -0.00107 -0.00058 -0.00042 -0.00046 -0.00127 -0.00158 -0.00056 -0.00138
0.69000 -0.00068 -0.00028 -0.00084 -0.00055 -0.00131 -0.00091 -0.00060 -0.00038 -0.00058 -0.00089 -0.00108 -0.00041 -0.00158
0.70000 -0.00062 -0.00019 -0.00056 -0.00058 -0.00101 -0.00095 -0.00054 -0.00036 -0.00053 -0.00127 -0.00102 -0.00055 -0.00156
0.71000 -0.00052 -0.00025 -0.00049 -0.00062 -0.00119 -0.00076 -0.00041 -0.00041 -0.00052 -0.00120 -0.00078 -0.00028 -0.00148
0.72000 -0.00054 -0.00017 -0.00066 -0.00066 -0.00085 -0.00081 -0.00039 -0.00042 -0.00046 -0.00099 -0.00112 -0.00016 -0.00088
0.73000 -0.00042 -0.00021 -0.00067 -0.00034 -0.00120 -0.00066 -0.00036 -0.00043 -0.00045 -0.00087 -0.00108 -0.00011 -0.00133
0.74000 -0.00036 -0.00014 -0.00035 -0.00035 -0.00105 -0.00061 -0.00046 -0.00024 -0.00039 -0.00054 -0.00103 -0.00037 -0.00078
0.75000 -0.00034 -0.00009 -0.00055 -0.00047 -0.00055 -0.00066 -0.00042 -0.00033 -0.00042 -0.00084 -0.00104 -0.00012 -0.00062
0.76000 -0.00029 -0.00013 -0.00050 -0.00036 -0.00083 -0.00044 -0.00036 -0.00023 -0.00026 -0.00040 -0.00059 -0.00031 -0.00094
0.77000 -0.00031 -0.00007 -0.00033 -0.00019 -0.00070 -0.00055 -0.00029 -0.00028 -0.00025 -0.00061 -0.00056 -0.00017 -0.00034
0.78000 -0.00023 -0.00010 -0.00011 -0.00013 -0.00069 -0.00012 -0.00015 -0.00022 -0.00011 -0.00038 -0.00057 -0.00019 -0.00047
0.79000 -0.00004 -0.00007 -0.00010 -0.00012 -0.00042 -0.00013 -0.00001 -0.00011 -0.00017 -0.00031 0.00014 0.00013 -0.00013
0.80000 -0.00013 -0.00002 -0.00000 -0.00001 -0.00035 0.00006 -0.00005 -0.00005 -0.00008 -0.00001 -0.00008 0.00018 0.00001
0.81000 0.00001 0.00001 0.00015 0.00013 0.00050 0.00028 0.00014 0.00003 0.00007 0.00009 0.00016 -0.00014 0.00007
0.82000 0.00016 0.00004 0.00024 0.00016 0.00010 0.00027 0.00022 0.00026 0.00028 0.00053 0.00050 0.00025 0.00008
0.83000 0.00037 0.00012 0.00044 0.00029 0.00087 0.00028 0.00030 0.00035 0.00022 0.00090 0.00023 0.00031 0.00047
0.84000 0.00041 0.00016 0.00036 0.00060 0.00087 0.00054 0.00053 0.00044 0.00045 0.00101 0.00084 0.00004 0.00076
0.85000 0.00068 0.00022 0.00063 0.00070 0.00125 0.00112 0.00061 0.00052 0.00061 0.00117 0.00098 0.00006 0.00109
0.86000 0.00082 0.00030 0.00070 0.00075 0.00125 0.00124 0.00088 0.00085 0.00070 0.00138 0.00111 0.00011 0.00160
0.87000 0.00087 0.00033 0.00083 0.00080 0.00206 0.00156 0.00125 0.00096 0.00093 0.00211 0.00142 0.00041 0.00154
0.88000 0.00123 0.00043 0.00104 0.00104 0.00220 0.00186 0.00139 0.00116 0.00119 0.00255 0.00184 0.00053 0.00213
0.89000 0.00144 0.00052 0.00129 0.00127 0.00262 0.00224 0.00174 0.00142 0.00135 0.00287 0.00220 0.00057 0.00246
0.90000 0.00164 0.00053 0.00175 0.00161 0.00316 0.00266 0.00208 0.00181 0.00170 0.00342 0.00229 0.00051 0.00284
0.91000 0.00197 0.00071 0.00200 0.00180 0.00328 0.00278 0.00262 0.00214 0.00195 0.00396 0.00295 0.00044 0.00378
0.92000 0.00239 0.00081 0.00226 0.00216 0.00415 0.00350 0.00307 0.00251 0.00240 0.00487 0.00282 0.00086 0.00401
0.93000 0.00271 0.00089 0.00245 0.00229 0.00454 0.00384 0.00355 0.00304 0.00270 0.00538 0.00367 0.00066 0.00489
0.94000 0.00303 0.00107 0.00297 0.00254 0.00489 0.00414 0.00411 0.00348 0.00317 0.00625 0.00384 0.00092 0.00545
0.95000 0.00343 0.00115 0.00346 0.00299 0.00536 0.00510 0.00493 0.00401 0.00380 0.00742 0.00454 0.00092 0.00610
0.96000 0.00415 0.00128 0.00383 0.00348 0.00647 0.00563 0.00571 0.00475 0.00425 0.00828 0.00486 0.00105 0.00702
0.97000 0.00466 0.00151 0.00411 0.00374 0.00707 0.00618 0.00664 0.00555 0.00503 0.00927 0.00555 0.00098 0.00767
0.98000 0.00516 0.00168 0.00490 0.00420 0.00739 0.00717 0.00782 0.00651 0.00574 0.01099 0.00608 0.00104 0.00896
0.99000 0.00590 0.00183 0.00550 0.00484 0.00840 0.00810 0.00910 0.00747 0.00652 0.01236 0.00681 0.00127 0.00952
1.00000 0.00656 0.00207 0.00598 0.00535 0.00963 0.00913 0.01054 0.00869 0.00747 0.01374 0.00765 0.00137 0.01092
