# Timestamp: 2014-10-08 10:15:00
# Operator: r.calvert
# Comments: There was a *small* crack in the filter.  Note that $I_{\mathrm{sc}}$ is actually$J_{\mathrm{sc}} = \frac{I_{\mathrm{sc}}}{A}$.
# Sample: 14S-003
# Layout: acme1
# Irradiation: BG7
# Temperature: 23.5
# Positions: 1A 1B 1C 1D 2B 2C 2D 3A 3B 3C 3D 4A 4B 4D
# Areas: 0.06760000000000001 0.06760000000000001 0.06760000000000001 0.06760000000000001 0.15209999999999999 0.15209999999999999 0.15209999999999999 0.06760000000000001 0.06760000000000001 0.06760000000000001 0.06760000000000001 0.15209999999999999 0.15209999999999999 0.15209999999999999
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
0.38000 -0.00028 -0.00026 -0.00014 -0.00021 -0.00028 -0.00012 -0.00029 -0.00020 -0.00012 -0.00017 -0.00012 -0.00022 -0.00044 -0.00033
0.39000 -0.00026 -0.00025 -0.00017 -0.00020 -0.00022 -0.00011 -0.00037 -0.00020 -0.00015 -0.00022 -0.00015 -0.00024 -0.00037 -0.00033
0.40000 -0.00024 -0.00024 -0.00016 -0.00019 -0.00025 -0.00011 -0.00035 -0.00017 -0.00015 -0.00020 -0.00016 -0.00023 -0.00028 -0.00037
0.41000 -0.00032 -0.00029 -0.00016 -0.00019 -0.00024 -0.00008 -0.00034 -0.00019 -0.00014 -0.00020 -0.00015 -0.00020 -0.00031 -0.00031
0.42000 -0.00021 -0.00028 -0.00014 -0.00019 -0.00028 -0.00010 -0.00031 -0.00024 -0.00011 -0.00020 -0.00018 -0.00023 -0.00042 -0.00029
0.43000 -0.00027 -0.00025 -0.00016 -0.00021 -0.00019 -0.00011 -0.00029 -0.00023 -0.00015 -0.00018 -0.00014 -0.00019 -0.00027 -0.00026
0.44000 -0.00023 -0.00027 -0.00015 -0.00024 -0.00028 -0.00012 -0.00033 -0.00024 -0.00011 -0.00022 -0.00014 -0.00025 -0.00037 -0.00031
0.45000 -0.00025 -0.00026 -0.00015 -0.00020 -0.00023 -0.00011 -0.00037 -0.00018 -0.00013 -0.00019 -0.00013 -0.00020 -0.00032 -0.00034
0.46000 -0.00030 -0.00020 -0.00015 -0.00017 -0.00023 -0.00010 -0.00031 -0.00021 -0.00015 -0.00020 -0.00017 -0.00026 -0.00027 -0.00031
0.47000 -0.00030 -0.00025 -0.00015 -0.00022 -0.00024 -0.00010 -0.00033 -0.00023 -0.00011 -0.00022 -0.00014 -0.00022 -0.00034 -0.00026
0.48000 -0.00032 -0.00021 -0.00015 -0.00017 -0.00029 -0.00010 -0.00034 -0.00023 -0.00015 -0.00019 -0.00013 -0.00022 -0.00025 -0.00023
0.49000 -0.00023 -0.00025 -0.00016 -0.00015 -0.00021 -0.00010 -0.00029 -0.00024 -0.00015 -0.00019 -0.00017 -0.00023 -0.00026 -0.00031
0.50000 -0.00028 -0.00027 -0.00016 -0.00018 -0.00027 -0.00011 -0.00027 -0.00020 -0.00011 -0.00018 -0.00013 -0.00019 -0.00029 -0.00035
0.51000 -0.00030 -0.00027 -0.00016 -0.00018 -0.00021 -0.00013 -0.00035 -0.00020 -0.00012 -0.00016 -0.00013 -0.00023 -0.00029 -0.00030
0.52000 -0.00027 -0.00022 -0.00012 -0.00017 -0.00031 -0.00009 -0.00030 -0.00023 -0.00013 -0.00017 -0.00015 -0.00024 -0.00023 -0.00030
0.53000 -0.00024 -0.00021 -0.00018 -0.00016 -0.00028 -0.00010 -0.00032 -0.00021 -0.00014 -0.00015 -0.00017 -0.00020 -0.00025 -0.00034
0.54000 -0.00024 -0.00024 -0.00016 -0.00017 -0.00021 -0.00010 -0.00027 -0.00020 -0.00011 -0.00019 -0.00015 -0.00019 -0.00032 -0.00029
0.55000 -0.00024 -0.00027 -0.00014 -0.00018 -0.00021 -0.00011 -0.00028 -0.00020 -0.00011 -0.00019 -0.00016 -0.00017 -0.00024 -0.00031
0.56000 -0.00029 -0.00027 -0.00012 -0.00015 -0.00022 -0.00010 -0.00034 -0.00023 -0.00014 -0.00017 -0.00018 -0.00023 -0.00031 -0.00026
0.57000 -0.00029 -0.00025 -0.00014 -0.00017 -0.00023 -0.00009 -0.00024 -0.00018 -0.00010 -0.00016 -0.00015 -0.00023 -0.00025 -0.00031
0.58000 -0.00026 -0.00027 -0.00013 -0.00017 -0.00027 -0.00011 -0.00022 -0.00021 -0.00014 -0.00017 -0.00016 -0.00023 -0.00032 -0.00027
0.59000 -0.00027 -0.00025 -0.00012 -0.00018 -0.00026 -0.00008 -0.00032 -0.00021 -0.00012 -0.00016 -0.00015 -0.00026 -0.00031 -0.00024
0.60000 -0.00021 -0.00024 -0.00015 -0.00018 -0.00025 -0.00009 -0.00024 -0.00021 -0.00014 -0.00019 -0.00014 -0.00022 -0.00025 -0.00031
0.61000 -0.00021 -0.00025 -0.00014 -0.00020 -0.00021 -0.00010 -0.00028 -0.00020 -0.00013 -0.00017 -0.00015 -0.00023 -0.00026 -0.00030
0.62000 -0.00020 -0.00027 -0.00011 -0.00018 -0.00023 -0.00012 -0.00021 -0.00021 -0.00010 -0.00017 -0.00012 -0.00024 -0.00026 -0.00030
0.63000 -0.00024 -0.00018 -0.00012 -0.00017 -0.00026 -0.00010 -0.00020 -0.00020 -0.00011 -0.00019 -0.00014 -0.00018 -0.00017 -0.00024
0.64000 -0.00027 -0.00026 -0.00012 -0.00016 -0.00023 -0.00009 -0.00024 -0.00020 -0.00012 -0.00019 -0.00017 -0.00018 -0.00024 -0.00023
0.65000 -0.00021 -0.00023 -0.00011 -0.00015 -0.00025 -0.00011 -0.00027 -0.00019 -0.00009 -0.00014 -0.00018 -0.00020 -0.00022 -0.00019
0.66000 -0.00022 -0.00018 -0.00016 -0.00018 -0.00024 -0.00009 -0.00021 -0.00018 -0.00012 -0.00015 -0.00015 -0.00017 -0.00021 -0.00025
0.67000 -0.00024 -0.00021 -0.00011 -0.00017 -0.00019 -0.00008 -0.00019 -0.00020 -0.00010 -0.00014 -0.00012 -0.00016 -0.00018 -0.00021
0.68000 -0.00022 -0.00021 -0.00011 -0.00016 -0.00021 -0.00008 -0.00016 -0.00013 -0.00010 -0.00016 -0.00016 -0.00017 -0.00020 -0.00019
0.69000 -0.00025 -0.00019 -0.00011 -0.00016 -0.00017 -0.00007 -0.00015 -0.00018 -0.00010 -0.00011 -0.00012 -0.00018 -0.00018 -0.00021
0.70000 -0.00015 -0.00022 -0.00009 -0.00018 -0.00017 -0.00007 -0.00020 -0.00015 -0.00011 -0.00010 -0.00012 -0.00015 -0.00015 -0.00019
0.71000 -0.00017 -0.00023 -0.00010 -0.00014 -0.00018 -0.00009 -0.00017 -0.00017 -0.00011 -0.00015 -0.00012 -0.00014 -0.00009 -0.00020
0.72000 -0.00013 -0.00016 -0.00010 -0.00011 -0.00020 -0.00006 -0.00017 -0.00015 -0.00007 -0.00010 -0.00012 -0.00010 -0.00015 -0.00017
0.73000 -0.00018 -0.00014 -0.00008 -0.00015 -0.00018 -0.00008 -0.00012 -0.00012 -0.00008 -0.00012 -0.00012 -0.00014 -0.00010 -0.00010
0.74000 -0.00015 -0.00014 -0.00007 -0.00008 -0.00012 -0.00006 -0.00009 -0.00011 -0.00007 -0.00007 -0.00009 -0.00008 -0.00001 -0.00013
0.75000 -0.00009 -0.00016 -0.00006 -0.00013 -0.00011 -0.00005 -0.00010 -0.00014 -0.00004 -0.00010 -0.00007 -0.00009 -0.00007 -0.00014
0.76000 -0.00006 -0.00015 -0.00007 -0.00006 -0.00011 -0.00006 -0.00010 -0.00007 -0.00004 -0.00005 -0.00008 -0.00006 -0.00008 -0.00012
0.77000 -0.00011 -0.00008 -0.00004 -0.00008 -0.00008 -0.00004 -0.00007 -0.00006 -0.00005 -0.00004 -0.00005 -0.00004 0.00001 -0.00011
0.78000 -0.00009 -0.00003 -0.00002 -0.00005 -0.00008 -0.00004 -0.00007 -0.00003 -0.00003 -0.00007 -0.00004 -0.00002 -0.00005 -0.00002
0.79000 -0.00000 -0.00003 -0.00002 -0.00002 -0.00006 -0.00002 -0.00007 -0.00005 0.00001 -0.00004 -0.00001 -0.00006 0.00004 -0.00002
0.80000 -0.00001 0.00004 0.00002 -0.00002 0.00001 -0.00001 0.00004 0.00002 -0.00001 0.00001 0.00002 0.00001 0.00005 0.00001
0.81000 0.00002 0.00007 0.00003 0.00005 0.00003 0.00000 0.00003 0.00004 0.00001 0.00004 0.00004 0.00005 -0.00003 -0.00001
0.82000 0.00006 0.00008 0.00006 0.00005 0.00004 0.00002 0.00003 0.00004 0.00003 0.00007 0.00007 0.00008 0.00003 0.00010
0.83000 0.00006 0.00016 0.00008 0.00011 0.00013 0.00004 0.00012 0.00013 0.00007 0.00006 0.00010 0.00009 0.00011 0.00007
0.84000 0.00009 0.00023 0.00009 0.00014 0.00016 0.00008 0.00011 0.00019 0.00010 0.00012 0.00011 0.00015 0.00013 0.00010
0.85000 0.00020 0.00025 0.00012 0.00019 0.00022 0.00009 0.00013 0.00018 0.00011 0.00015 0.00015 0.00019 0.00014 0.00013
0.86000 0.00022 0.00035 0.00012 0.00022 0.00032 0.00013 0.00021 0.00029 0.00014 0.00022 0.00021 0.00023 0.00011 0.00026
0.87000 0.00030 0.00045 0.00017 0.00032 0.00038 0.00018 0.00021 0.00033 0.00016 0.00025 0.00027 0.00032 0.00021 0.00025
0.88000 0.00033 0.00055 0.00021 0.00038 0.00047 0.00019 0.00027 0.00048 0.00018 0.00030 0.00035 0.00035 0.00014 0.00032
0.89000 0.00036 0.00065 0.00027 0.00042 0.00066 0.00026 0.00032 0.00059 0.00026 0.00037 0.00040 0.00036 0.00011 0.00040
0.90000 0.00054 0.00083 0.00033 0.00058 0.00079 0.00033 0.00034 0.00074 0.00026 0.00045 0.00047 0.00041 0.00015 0.00049
0.91000 0.00060 0.00088 0.00037 0.00061 0.00078 0.00041 0.00043 0.00080 0.00034 0.00059 0.00056 0.00045 0.00017 0.00059
0.92000 0.00077 0.00117 0.00042 0.00071 0.00096 0.00054 0.00045 0.00108 0.00043 0.00056 0.00073 0.00063 0.00025 0.00056
0.93000 0.00089 0.00136 0.00044 0.00101 0.00126 0.00055 0.00048 0.00135 0.00049 0.00071 0.00088 0.00066 0.00019 0.00065
0.94000 0.00095 0.00146 0.00055 0.00102 0.00146 0.00068 0.00058 0.00141 0.00051 0.00090 0.00098 0.00086 0.00026 0.00093
0.95000 0.00111 0.00204 0.00064 0.00146 0.00163 0.00081 0.00072 0.00157 0.00065 0.00090 0.00120 0.00100 0.00027 0.00092
0.96000 0.00127 0.00210 0.00068 0.00162 0.00208 0.00096 0.00070 0.00217 0.00077 0.00101 0.00120 0.00102 0.00036 0.00111
0.97000 0.00141 0.00235 0.00081 0.00187 0.00234 0.00120 0.00082 0.00244 0.00079 0.00114 0.00162 0.00133 0.00036 0.00110
0.98000 0.00153 0.00301 0.00094 0.00215 0.00294 0.00126 0.00096 0.00282 0.00103 0.00152 0.00179 0.00151 0.00030 0.00129
0.99000 0.00162 0.00312 0.00119 0.00222 0.00355 0.00160 0.00102 0.00356 0.00109 0.00159 0.00194 0.00144 0.00039 0.00140
1.00000 0.00213 0.00428 0.00125 0.00300 0.00415 0.00206 0.00118 0.00403 0.00114 0.00201 0.00223 0.00192 0.00046 0.00157
