# Timestamp: 2014-10-08 10:02:00
# Operator: h.griffin
# Comments:
# Sample: 14-JS-2
# Layout: inm standard
# Irradiation: AM1.5
# Temperature: 23.5
# Positions: 1 2 3 9 13 15 21 22 24 26 27 29 34 35
# Areas: 1.0 1.0 1.0 0.1 0.5 1.0 0.1 0.1 0.1 0.5 1.0 1.0 1.0 1.0
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
0.53000 -0.01340 -0.00366 -0.00867 -0.00086 -0.00227 -0.00888 -0.00058 -0.00043 -0.00111 -0.00315 -0.00786 -0.00713 -0.00721 -0.00951
0.54000 -0.01325 -0.00291 -0.00748 -0.00072 -0.00213 -0.01140 -0.00056 -0.00054 -0.00100 -0.00340 -0.00930 -0.00707 -0.00787 -0.00874
0.55000 -0.01247 -0.00279 -0.00776 -0.00074 -0.00271 -0.00846 -0.00061 -0.00049 -0.00108 -0.00285 -0.00933 -0.00867 -0.00633 -0.00794
0.56000 -0.01316 -0.00331 -0.00847 -0.00083 -0.00272 -0.00937 -0.00057 -0.00045 -0.00132 -0.00272 -0.00988 -0.00679 -0.00630 -0.00819
0.57000 -0.01224 -0.00298 -0.00658 -0.00072 -0.00218 -0.00988 -0.00068 -0.00041 -0.00130 -0.00374 -0.00966 -0.00855 -0.00724 -0.00792
0.58000 -0.01080 -0.00311 -0.00722 -0.00071 -0.00267 -0.01097 -0.00053 -0.00054 -0.00097 -0.00316 -0.00789 -0.00840 -0.00736 -0.00666
0.59000 -0.01168 -0.00319 -0.00628 -0.00067 -0.00241 -0.00988 -0.00049 -0.00050 -0.00128 -0.00317 -0.00913 -0.00824 -0.00700 -0.00804
0.60000 -0.00959 -0.00357 -0.00750 -0.00060 -0.00238 -0.00829 -0.00057 -0.00043 -0.00091 -0.00323 -0.00903 -0.00736 -0.00716 -0.00731
0.61000 -0.00979 -0.00339 -0.00767 -0.00064 -0.00236 -0.00866 -0.00050 -0.00051 -0.00119 -0.00339 -0.00972 -0.00847 -0.00633 -0.00812
0.62000 -0.00890 -0.00300 -0.00639 -0.00080 -0.00216 -0.01049 -0.00053 -0.00045 -0.00102 -0.00292 -0.00865 -0.00869 -0.00678 -0.00584
0.63000 -0.01189 -0.00294 -0.00665 -0.00076 -0.00238 -0.00806 -0.00053 -0.00043 -0.00094 -0.00309 -0.00778 -0.00774 -0.00597 -0.00588
0.64000 -0.00901 -0.00248 -0.00733 -0.00060 -0.00192 -0.00922 -0.00059 -0.00038 -0.00117 -0.00268 -0.00847 -0.00759 -0.00741 -0.00603
0.65000 -0.01038 -0.00278 -0.00762 -0.00072 -0.00243 -0.00861 -0.00052 -0.00040 -0.00098 -0.00274 -0.00618 -0.00681 -0.00584 -0.00541
0.66000 -0.01040 -0.00307 -0.00484 -0.00056 -0.00240 -0.00816 -0.00045 -0.00038 -0.00095 -0.00278 -0.00655 -0.00571 -0.00639 -0.00662
0.67000 -0.01118 -0.00242 -0.00545 -0.00063 -0.00188 -0.00872 -0.00050 -0.00042 -0.00092 -0.00302 -0.00575 -0.00731 -0.00672 -0.00705
0.68000 -0.00966 -0.00251 -0.00599 -0.00069 -0.00217 -0.00756 -0.00050 -0.00042 -0.00102 -0.00272 -0.00624 -0.00601 -0.00466 -0.00582
0.69000 -0.00844 -0.00266 -0.00412 -0.00049 -0.00188 -0.00769 -0.00041 -0.00043 -0.00081 -0.00261 -0.00731 -0.00578 -0.00567 -0.00617
0.70000 -0.00656 -0.00256 -0.00453 -0.00050 -0.00169 -0.00438 -0.00037 -0.00040 -0.00060 -0.00179 -0.00444 -0.00409 -0.00430 -0.00519
0.71000 -0.00629 -0.00181 -0.00525 -0.00045 -0.00204 -0.00522 -0.00039 -0.00039 -0.00085 -0.00253 -0.00412 -0.00386 -0.00424 -0.00426
0.72000 -0.00831 -0.00246 -0.00554 -0.00047 -0.00200 -0.00371 -0.00034 -0.00031 -0.00071 -0.00235 -0.00448 -0.00422 -0.00359 -0.00319
0.73000 -0.00657 -0.00166 -0.00442 -0.00034 -0.00153 -0.00640 -0.00027 -0.00020 -0.00076 -0.00203 -0.00499 -0.00328 -0.00296 -0.00516
0.74000 -0.00697 -0.00213 -0.00219 -0.00039 -0.00129 -0.00290 -0.00019 -0.00023 -0.00067 -0.00112 -0.00385 -0.00508 -0.00257 -0.00219
0.75000 -0.00486 -0.00128 -0.00185 -0.00041 -0.00138 -0.00501 -0.00014 -0.00025 -0.00046 -0.00081 -0.00239 -0.00369 -0.00389 -0.00275
0.76000 -0.00449 -0.00078 -0.00276 -0.00031 -0.00105 -0.00224 -0.00015 -0.00017 -0.00021 -0.00111 -0.00140 -0.00203 -0.00156 -0.00155
0.77000 -0.00485 -0.00084 -0.00251 -0.00017 -0.00062 -0.00145 -0.00010 -0.00015 -0.00042 -0.00121 -0.00212 -0.00250 -0.00145 -0.00065
0.78000 -0.00114 -0.00105 -0.00128 -0.00006 -0.00075 -0.00298 -0.00018 -0.00016 -0.00008 -0.00005 -0.00067 -0.00285 -0.00147 -0.00026
0.79000 -0.00125 -0.00034 0.00045 -0.00019 -0.00005 0.00111 -0.00014 0.00002 -0.00025 0.00017 0.00049 -0.00059 -0.00004 0.00061
0.80000 0.00154 -0.00030 -0.00112 0.00005 0.00034 0.00093 -0.00011 -0.00008 -0.00016 -0.00000 -0.00119 0.00086 0.00037 0.00030
0.81000 0.00190 0.00036 0.00156 0.00014 0.00063 0.00200 -0.00002 0.00013 0.00016 0.00018 0.00080 0.00152 0.00170 0.00121
0.82000 0.00478 0.00134 0.00288 0.00009 0.00090 0.00160 0.00012 0.00020 0.00022 0.00043 0.00080 0.00202 0.00205 0.00055
0.83000 0.00439 0.00126 0.00106 0.00023 0.00120 0.00270 0.00014 0.00015 0.00048 0.00050 0.00249 0.00288 0.00332 0.00229
0.84000 0.00533 0.00177 0.00256 0.00035 0.00179 0.00617 0.00017 0.00032 0.00076 0.00188 0.00543 0.00279 0.00446 0.00395
0.85000 0.00980 0.00284 0.00341 0.00041 0.00220 0.00583 0.00042 0.00041 0.00075 0.00196 0.00424 0.00579 0.00523 0.00476
0.86000 0.01140 0.00363 0.00594 0.00077 0.00331 0.00825 0.00037 0.00039 0.00105 0.00247 0.00630 0.00633 0.00728 0.00528
0.87000 0.01286 0.00412 0.00674 0.00092 0.00409 0.00946 0.00044 0.00053 0.00099 0.00274 0.00950 0.00932 0.00865 0.00832
0.88000 0.01759 0.00584 0.00681 0.00090 0.00466 0.00979 0.00063 0.00074 0.00127 0.00359 0.01079 0.00914 0.00977 0.00765
0.89000 0.02068 0.00674 0.00713 0.00107 0.00554 0.01093 0.00073 0.00075 0.00179 0.00440 0.01215 0.01141 0.01282 0.00862
0.90000 0.02459 0.00754 0.01054 0.00140 0.00692 0.01310 0.00095 0.00090 0.00174 0.00466 0.01299 0.01485 0.01617 0.01013
0.91000 0.02844 0.00882 0.01106 0.00165 0.00782 0.01747 0.00111 0.00116 0.00204 0.00554 0.01471 0.01621 0.01726 0.01325
0.92000 0.03346 0.01081 0.01360 0.00176 0.00950 0.01683 0.00113 0.00131 0.00234 0.00604 0.01696 0.01795 0.02129 0.01536
0.93000 0.04159 0.01277 0.01553 0.00209 0.01083 0.01930 0.00132 0.00142 0.00280 0.00657 0.02132 0.02134 0.02374 0.01730
0.94000 0.04542 0.01478 0.01546 0.00236 0.01313 0.02095 0.00145 0.00174 0.00337 0.00733 0.02219 0.02393 0.02858 0.01855
0.95000 0.05175 0.01625 0.01758 0.00280 0.01517 0.02537 0.00179 0.00186 0.00382 0.00920 0.02625 0.02702 0.03143 0.02095
0.96000 0.06006 0.01874 0.02069 0.00307 0.01740 0.02879 0.00190 0.00220 0.00414 0.01029 0.03029 0.02922 0.03648 0.02167
0.97000 0.06793 0.02151 0.02276 0.00349 0.02042 0.03235 0.00219 0.00239 0.00476 0.01080 0.03368 0.03300 0.04204 0.02556
0.98000 0.07892 0.02561 0.02350 0.00416 0.02373 0.03310 0.00238 0.00280 0.00530 0.01257 0.03835 0.03835 0.04851 0.02916
0.99000 0.09040 0.02848 0.02658 0.00444 0.02679 0.03701 0.00266 0.00306 0.00581 0.01351 0.04115 0.04216 0.05388 0.02948
1.00000 0.10343 0.03283 0.03137 0.00511 0.03080 0.04219 0.00295 0.00347 0.00628 0.01540 0.04654 0.04548 0.06204 0.03251
