# Timestamp: 2014-10-08 10:04:00
# Operator: h.griffin
# Comments:
# Sample: 14-JS-3
# Layout: inm standard
# Irradiation: AM1.5
# Temperature: 23.5
# Positions: 3 6 7 10 17 20 25 26 27 29 30 32 33 34 35
# Areas: 1.0 1.0 0.5 0.1 1.0 0.5 1.0 0.5 1.0 1.0 1.0 1.0 0.5 1.0 1.0
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
0.24000 -0.01148 -0.01349 -0.00394 -0.00095 -0.00543 -0.00384 -0.00826 -0.00647 -0.00293 -0.00903 -0.01868 -0.00866 -0.00851 -0.01344 -0.00979
0.25000 -0.01094 -0.01451 -0.00393 -0.00084 -0.00672 -0.00436 -0.01006 -0.00607 -0.00308 -0.00833 -0.01925 -0.00898 -0.00840 -0.01359 -0.00962
0.26000 -0.01426 -0.01466 -0.00373 -0.00091 -0.00621 -0.00367 -0.00855 -0.00570 -0.00294 -0.00824 -0.01569 -0.00897 -0.00852 -0.01347 -0.00981
0.27000 -0.01191 -0.01495 -0.00371 -0.00091 -0.00598 -0.00367 -0.00770 -0.00563 -0.00382 -0.00856 -0.01537 -0.00778 -0.00797 -0.01043 -0.01160
0.28000 -0.01346 -0.01545 -0.00432 -0.00074 -0.00652 -0.00418 -0.00798 -0.00628 -0.00356 -0.00979 -0.02037 -0.00823 -0.00756 -0.01328 -0.00957
0.29000 -0.01157 -0.01578 -0.00384 -0.00099 -0.00639 -0.00357 -0.00754 -0.00586 -0.00372 -0.00954 -0.02026 -0.00839 -0.00798 -0.01148 -0.01154
0.30000 -0.01376 -0.01327 -0.00426 -0.00091 -0.00531 -0.00347 -0.00723 -0.00552 -0.00302 -0.00949 -0.01567 -0.00868 -0.00803 -0.01260 -0.00970
0.31000 -0.01140 -0.01424 -0.00448 -0.00085 -0.00663 -0.00405 -0.00861 -0.00624 -0.00301 -0.00756 -0.01906 -0.00780 -0.00733 -0.01111 -0.00948
0.32000 -0.01238 -0.01453 -0.00429 -0.00093 -0.00605 -0.00444 -0.00966 -0.00546 -0.00314 -0.00866 -0.01735 -0.00693 -0.00670 -0.01148 -0.01228
0.33000 -0.01055 -0.01600 -0.00432 -0.00076 -0.00522 -0.00381 -0.00721 -0.00626 -0.00295 -0.00939 -0.02016 -0.00773 -0.00862 -0.01295 -0.01020
0.34000 -0.01222 -0.01502 -0.00493 -0.00095 -0.00608 -0.00420 -0.00758 -0.00571 -0.00390 -0.00760 -0.01542 -0.00708 -0.00849 -0.01089 -0.01245
0.35000 -0.01411 -0.01417 -0.00479 -0.00080 -0.00537 -0.00387 -0.00770 -0.00601 -0.00301 -0.00814 -0.01987 -0.00843 -0.00653 -0.01319 -0.01008
0.36000 -0.01102 -0.01526 -0.00412 -0.00082 -0.00523 -0.00399 -0.00831 -0.00546 -0.00327 -0.00898 -0.01735 -0.00890 -0.00849 -0.01143 -0.01052
0.37000 -0.01047 -0.01379 -0.00421 -0.00097 -0.00516 -0.00378 -0.00798 -0.00601 -0.00360 -0.00907 -0.01888 -0.00738 -0.00798 -0.01201 -0.00938
0.38000 -0.01104 -0.01463 -0.00454 -0.00097 -0.00645 -0.00334 -0.00692 -0.00669 -0.00325 -0.01002 -0.02026 -0.00881 -0.00849 -0.01326 -0.00952
0.39000 -0.01162 -0.01595 -0.00453 -0.00074 -0.00654 -0.00329 -0.00913 -0.00624 -0.00294 -0.00944 -0.01505 -0.00642 -0.00812 -0.01289 -0.01141
0.40000 -0.01174 -0.01238 -0.00479 -0.00080 -0.00627 -0.00339 -0.00910 -0.00515 -0.00313 -0.00917 -0.01737 -0.00707 -0.00698 -0.01103 -0.01069
0.41000 -0.01021 -0.01561 -0.00454 -0.00079 -0.00549 -0.00390 -0.00856 -0.00537 -0.00382 -0.00979 -0.01524 -0.00645 -0.00850 -0.01352 -0.00920
0.42000 -0.01342 -0.01194 -0.00395 -0.00072 -0.00654 -0.00405 -0.00748 -0.00540 -0.00293 -0.00918 -0.01512 -0.00803 -0.00776 -0.01309 -0.01129
0.43000 -0.01070 -0.01429 -0.00423 -0.00074 -0.00544 -0.00407 -0.00901 -0.00578 -0.00366 -0.00777 -0.01967 -0.00747 -0.00631 -0.01150 -0.00947
0.44000 -0.01207 -0.01279 -0.00440 -0.00079 -0.00508 -0.00399 -0.00754 -0.00605 -0.00379 -0.00926 -0.01760 -0.00723 -0.00758 -0.01249 -0.00992
0.45000 -0.01188 -0.01178 -0.00411 -0.00084 -0.00550 -0.00348 -0.00691 -0.00574 -0.00388 -0.00741 -0.01834 -0.00709 -0.00747 -0.01093 -0.01128
0.46000 -0.01297 -0.01562 -0.00493 -0.00072 -0.00604 -0.00398 -0.00845 -0.00583 -0.00377 -0.00807 -0.01852 -0.00817 -0.00828 -0.01149 -0.00926
0.47000 -0.01345 -0.01334 -0.00434 -0.00093 -0.00505 -0.00416 -0.00668 -0.00649 -0.00334 -0.00748 -0.01493 -0.00674 -0.00760 -0.01273 -0.01191
0.48000 -0.01052 -0.01476 -0.00381 -0.00084 -0.00600 -0.00350 -0.00737 -0.00644 -0.00291 -0.00904 -0.01797 -0.00615 -0.00612 -0.01345 -0.01097
0.49000 -0.01023 -0.01475 -0.00382 -0.00091 -0.00465 -0.00395 -0.00756 -0.00543 -0.00294 -0.00974 -0.01947 -0.00788 -0.00742 -0.01185 -0.00920
0.50000 -0.00957 -0.01463 -0.00485 -0.00075 -0.00471 -0.00423 -0.00854 -0.00591 -0.00309 -0.00954 -0.01541 -0.00591 -0.00607 -0.01061 -0.01143
0.51000 -0.01290 -0.01172 -0.00486 -0.00069 -0.00483 -0.00429 -0.00689 -0.00646 -0.00338 -0.00896 -0.01933 -0.00655 -0.00741 -0.01315 -0.01056
0.52000 -0.01267 -0.01453 -0.00482 -0.00075 -0.00511 -0.00311 -0.00794 -0.00542 -0.00315 -0.00891 -0.01557 -0.00602 -0.00628 -0.01097 -0.00893
0.53000 -0.01231 -0.01446 -0.00430 -0.00073 -0.00481 -0.00369 -0.00770 -0.00605 -0.00326 -0.00873 -0.01891 -0.00656 -0.00565 -0.01146 -0.01093
0.54000 -0.01076 -0.01413 -0.00357 -0.00074 -0.00548 -0.00413 -0.00548 -0.00461 -0.00328 -0.00796 -0.01688 -0.00699 -0.00684 -0.01208 -0.01117
0.55000 -0.01114 -0.01124 -0.00412 -0.00074 -0.00513 -0.00338 -0.00723 -0.00612 -0.00284 -0.00795 -0.01644 -0.00665 -0.00768 -0.00975 -0.01097
0.56000 -0.01186 -0.01034 -0.00382 -0.00088 -0.00485 -0.00316 -0.00621 -0.00606 -0.00344 -0.00837 -0.01520 -0.00731 -0.00630 -0.01129 -0.00851
0.57000 -0.00940 -0.01107 -0.00344 -0.00076 -0.00565 -0.00411 -0.00619 -0.00615 -0.00297 -0.00850 -0.01603 -0.00577 -0.00572 -0.01050 -0.01059
0.58000 -0.00965 -0.01272 -0.00458 -0.00079 -0.00499 -0.00305 -0.00553 -0.00488 -0.00341 -0.00857 -0.01537 -0.00691 -0.00714 -0.01192 -0.00979
0.59000 -0.00897 -0.00990 -0.00421 -0.00085 -0.00404 -0.00297 -0.00570 -0.00502 -0.00339 -0.00936 -0.01678 -0.00660 -0.00570 -0.01248 -0.01036
0.60000 -0.00919 -0.01072 -0.00331 -0.00063 -0.00558 -0.00351 -0.00471 -0.00451 -0.00330 -0.00938 -0.01482 -0.00511 -0.00603 -0.01072 -0.00814
0.61000 -0.01150 -0.01047 -0.00416 -0.00064 -0.00394 -0.00299 -0.00596 -0.00473 -0.00253 -0.00770 -0.01735 -0.00658 -0.00547 -0.01201 -0.00855
0.62000 -0.00841 -0.01259 -0.00361 -0.00061 -0.00462 -0.00342 -0.00414 -0.00413 -0.00288 -0.00798 -0.01660 -0.00562 -0.00528 -0.01188 -0.00908
0.63000 -0.00776 -0.00890 -0.00410 -0.00057 -0.00472 -0.00282 -0.00654 -0.00443 -0.00249 -0.00722 -0.01344 -0.00459 -0.00533 -0.00994 -0.00862
0.64000 -0.00862 -0.01197 -0.00314 -0.00078 -0.00358 -0.00346 -0.00642 -0.00511 -0.00256 -0.00683 -0.01099 -0.00535 -0.00528 -0.01168 -0.00842
0.65000 -0.01020 -0.01081 -0.00405 -0.00066 -0.00336 -0.00276 -0.00472 -0.00483 -0.00281 -0.00724 -0.01576 -0.00470 -0.00469 -0.00918 -0.00810
0.66000 -0.00794 -0.00810 -0.00399 -0.00056 -0.00417 -0.00276 -0.00441 -0.00385 -0.00243 -0.00696 -0.01043 -0.00521 -0.00548 -0.00899 -0.00674
0.67000 -0.00690 -0.00849 -0.00285 -0.00048 -0.00344 -0.00269 -0.00381 -0.00511 -0.00223 -0.00847 -0.01270 -0.00440 -0.00473 -0.00903 -0.00719
0.68000 -0.00600 -0.00729 -0.00298 -0.00053 -0.00312 -0.00287 -0.00411 -0.00484 -0.00253 -0.00666 -0.01304 -0.00333 -0.00371 -0.00813 -0.00699
0.69000 -0.00792 -0.00787 -0.00255 -0.00063 -0.00322 -0.00307 -0.00301 -0.00376 -0.00276 -0.00644 -0.01325 -0.00313 -0.00398 -0.00860 -0.00889
0.70000 -0.00703 -0.00827 -0.00260 -0.00050 -0.00380 -0.00252 -0.00239 -0.00349 -0.00267 -0.00617 -0.01121 -0.00264 -0.00306 -0.00950 -0.00851
0.71000 -0.00540 -0.00623 -0.00226 -0.00058 -0.00237 -0.00191 -0.00438 -0.00403 -0.00212 -0.00514 -0.00726 -0.00272 -0.00404 -0.00810 -0.00544
0.72000 -0.00761 -0.00589 -0.00286 -0.00045 -0.00237 -0.00263 -0.00228 -0.00274 -0.00183 -0.00649 -0.01018 -0.00289 -0.00235 -0.00794 -0.00559
0.73000 -0.00695 -0.00808 -0.00256 -0.00031 -0.00164 -0.00195 -0.00176 -0.00201 -0.00218 -0.00596 -0.00966 -0.00159 -0.00228 -0.00621 -0.00456
0.74000 -0.00478 -0.00704 -0.00183 -0.00042 -0.00142 -0.00154 -0.00295 -0.00323 -0.00189 -0.00632 -0.00793 -0.00203 -0.00157 -0.00477 -0.00353
0.75000 -0.00419 -0.00355 -0.00230 -0.00022 -0.00153 -0.00179 -0.00307 -0.00228 -0.00150 -0.00540 -0.00407 -0.00170 -0.00147 -0.00654 -0.00371
0.76000 -0.00296 -0.00178 -0.00136 -0.00023 -0.00083 -0.00082 -0.00046 -0.00167 -0.00136 -0.00355 -0.00571 -0.00079 -0.00159 -0.00546 -0.00272
0.77000 -0.00296 -0.00381 -0.00139 -0.00011 -0.00098 -0.00149 -0.00226 -0.00109 -0.00106 -0.00288 -0.00468 -0.00191 -0.00030 -0.00265 -0.00262
0.78000 -0.00149 -0.00251 -0.00082 -0.00017 -0.00035 -0.00080 0.00028 -0.00129 -0.00080 -0.00134 -0.00505 -0.00171 -0.00214 -0.00366 -0.00108
0.79000 -0.00167 -0.00027 -0.00034 -0.00015 -0.00033 -0.00039 0.00077 -0.00037 -0.00072 -0.00206 -0.00113 -0.00097 -0.00131 -0.00156 0.00043
0.80000 -0.00006 -0.00069 0.00008 0.00000 0.00078 0.00032 0.00083 0.00007 -0.00015 -0.00031 0.00276 -0.00107 -0.00009 -0.00050 -0.00055
0.81000 -0.00017 0.00273 0.00102 0.00022 -0.00044 0.00086 0.00052 -0.00002 0.00077 0.00198 0.00039 0.00107 0.00139 0.00050 0.00125
0.82000 0.00208 0.00082 0.00146 0.00023 0.00118 0.00066 0.00217 0.00133 0.00117 0.00162 0.00472 -0.00034 0.00228 0.00417 0.00328
0.83000 0.00429 0.00524 0.00180 0.00025 0.00143 0.00184 0.00278 0.00273 0.00091 0.00524 0.00343 0.00191 0.00287 0.00592 0.00395
0.84000 0.00338 0.00367 0.00301 0.00051 0.00203 0.00149 0.00130 0.00256 0.00164 0.00742 0.00957 0.00254 0.00268 0.00629 0.00586
0.85000 0.00465 0.00859 0.00384 0.00062 0.00274 0.00322 0.00315 0.00400 0.00223 0.00768 0.00983 0.00267 0.00314 0.01032 0.00559
0.86000 0.00840 0.00943 0.00473 0.00054 0.00330 0.00376 0.00266 0.00519 0.00252 0.01094 0.01511 0.00273 0.00359 0.01302 0.00853
0.87000 0.00787 0.01296 0.00605 0.00091 0.00372 0.00443 0.00520 0.00576 0.00386 0.01405 0.01503 0.00268 0.00515 0.01826 0.01236
0.88000 0.00963 0.01195 0.00704 0.00086 0.00567 0.00464 0.00462 0.00664 0.00490 0.01930 0.01808 0.00477 0.00716 0.02217 0.01343
0.89000 0.01234 0.01672 0.00829 0.00122 0.00652 0.00622 0.00414 0.00906 0.00558 0.02322 0.02149 0.00634 0.00696 0.02606 0.01501
0.90000 0.01308 0.01954 0.00980 0.00128 0.00707 0.00737 0.00730 0.00981 0.00618 0.02616 0.02488 0.00504 0.00811 0.03075 0.01773
0.91000 0.01877 0.01991 0.01229 0.00151 0.00814 0.00809 0.00599 0.01183 0.00693 0.03173 0.02826 0.00801 0.00865 0.03583 0.02382
0.92000 0.01740 0.02376 0.01319 0.00173 0.00954 0.00979 0.00732 0.01340 0.00801 0.03894 0.03713 0.00699 0.01188 0.04453 0.02680
0.93000 0.02146 0.02665 0.01651 0.00211 0.01069 0.01136 0.00801 0.01481 0.00964 0.04575 0.03864 0.00917 0.01139 0.04971 0.02984
0.94000 0.02438 0.03237 0.01857 0.00232 0.01067 0.01244 0.01023 0.01607 0.01126 0.05471 0.04454 0.00943 0.01470 0.05768 0.03465
0.95000 0.02728 0.03574 0.02114 0.00250 0.01287 0.01492 0.01049 0.01822 0.01323 0.06454 0.05341 0.01049 0.01535 0.06840 0.03897
0.96000 0.03112 0.04112 0.02493 0.00279 0.01365 0.01601 0.01253 0.02176 0.01438 0.07636 0.05706 0.01060 0.01589 0.08166 0.04628
0.97000 0.03596 0.04332 0.02898 0.00326 0.01493 0.01853 0.01391 0.02511 0.01610 0.08777 0.06555 0.01359 0.01861 0.09165 0.05038
0.98000 0.03680 0.04683 0.03203 0.00360 0.01775 0.02162 0.01291 0.02640 0.01877 0.10304 0.06946 0.01368 0.02151 0.10835 0.05600
0.99000 0.04196 0.05439 0.03717 0.00396 0.01971 0.02415 0.01435 0.03049 0.02064 0.12200 0.07962 0.01589 0.02259 0.12147 0.06576
1.00000 0.04564 0.05953 0.04194 0.00453 0.02031 0.02666 0.01710 0.03391 0.02320 0.14136 0.08809 0.01575 0.02411 0.13977 0.07215
