# Timestamp: 2014-10-08 10:06:00
# Operator: h.griffin
# Comments:
# Sample: 14-JS-4
# Layout: inm standard
# Irradiation: AM1.5
# Temperature: 23.5
# Positions: 1 6 8 10 11 12 16 19 20 21 22 23 25 27 31 32 35 36
# Areas: 1.0 1.0 1.0 0.1 0.1 0.1 1.0 1.0 0.5 0.1 0.1 0.1 1.0 1.0 1.0 1.0 1.0 0.5
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
0.24000 -0.00567 -0.01005 -0.01052 -0.00141 -0.00122 -0.00091 -0.01302 -0.00193 -0.00537 -0.00141 -0.00098 -0.00058 -0.00938 -0.00829 -0.01124 -0.01334 -0.00709 -0.00569
0.25000 -0.00624 -0.00822 -0.01095 -0.00134 -0.00135 -0.00102 -0.01284 -0.00184 -0.00556 -0.00129 -0.00079 -0.00070 -0.01202 -0.00992 -0.00986 -0.01175 -0.00691 -0.00451
0.26000 -0.00707 -0.00918 -0.01010 -0.00140 -0.00118 -0.00081 -0.01410 -0.00197 -0.00486 -0.00119 -0.00084 -0.00062 -0.01003 -0.01065 -0.01033 -0.01181 -0.00689 -0.00515
0.27000 -0.00559 -0.00978 -0.00934 -0.00155 -0.00112 -0.00104 -0.01252 -0.00197 -0.00481 -0.00119 -0.00095 -0.00060 -0.00938 -0.01067 -0.01062 -0.01180 -0.00738 -0.00468
0.28000 -0.00619 -0.00822 -0.01071 -0.00131 -0.00120 -0.00100 -0.01388 -0.00194 -0.00538 -0.00131 -0.00102 -0.00058 -0.01177 -0.01025 -0.01175 -0.01037 -0.00688 -0.00474
0.29000 -0.00648 -0.00772 -0.00983 -0.00127 -0.00127 -0.00086 -0.01248 -0.00204 -0.00449 -0.00134 -0.00099 -0.00069 -0.01012 -0.01001 -0.01011 -0.01230 -0.00697 -0.00487
0.30000 -0.00708 -0.00898 -0.01048 -0.00140 -0.00132 -0.00087 -0.01405 -0.00193 -0.00496 -0.00152 -0.00098 -0.00069 -0.01163 -0.00822 -0.01192 -0.01293 -0.00792 -0.00490
0.31000 -0.00626 -0.00882 -0.01005 -0.00123 -0.00108 -0.00090 -0.01211 -0.00214 -0.00440 -0.00135 -0.00080 -0.00059 -0.01101 -0.00974 -0.01175 -0.01335 -0.00791 -0.00548
0.32000 -0.00708 -0.01009 -0.00903 -0.00138 -0.00104 -0.00085 -0.01505 -0.00180 -0.00480 -0.00122 -0.00094 -0.00057 -0.00951 -0.00871 -0.01100 -0.01231 -0.00674 -0.00442
0.33000 -0.00665 -0.00782 -0.01186 -0.00129 -0.00131 -0.00098 -0.01306 -0.00179 -0.00561 -0.00137 -0.00099 -0.00059 -0.01214 -0.00972 -0.01192 -0.01006 -0.00735 -0.00490
0.34000 -0.00607 -0.00835 -0.01009 -0.00117 -0.00116 -0.00100 -0.01236 -0.00176 -0.00464 -0.00125 -0.00105 -0.00058 -0.00969 -0.01025 -0.01164 -0.01042 -0.00767 -0.00540
0.35000 -0.00580 -0.01001 -0.00984 -0.00150 -0.00119 -0.00081 -0.01511 -0.00167 -0.00509 -0.00137 -0.00105 -0.00056 -0.00968 -0.00904 -0.01002 -0.01123 -0.00697 -0.00448
0.36000 -0.00545 -0.00869 -0.00957 -0.00119 -0.00120 -0.00085 -0.01533 -0.00215 -0.00481 -0.00139 -0.00085 -0.00060 -0.00968 -0.00920 -0.01091 -0.00966 -0.00695 -0.00511
0.37000 -0.00542 -0.00840 -0.01187 -0.00128 -0.00130 -0.00079 -0.01410 -0.00202 -0.00422 -0.00123 -0.00082 -0.00052 -0.01259 -0.01005 -0.00983 -0.01312 -0.00751 -0.00470
0.38000 -0.00593 -0.00812 -0.00884 -0.00128 -0.00108 -0.00095 -0.01219 -0.00163 -0.00497 -0.00124 -0.00095 -0.00052 -0.01230 -0.00849 -0.01073 -0.00963 -0.00781 -0.00438
0.39000 -0.00599 -0.00781 -0.00892 -0.00112 -0.00112 -0.00079 -0.01223 -0.00172 -0.00535 -0.00151 -0.00080 -0.00068 -0.01229 -0.01039 -0.01095 -0.00954 -0.00739 -0.00475
0.40000 -0.00667 -0.00837 -0.01196 -0.00122 -0.00113 -0.00091 -0.01573 -0.00188 -0.00490 -0.00149 -0.00099 -0.00064 -0.01247 -0.00828 -0.00955 -0.01107 -0.00754 -0.00429
0.41000 -0.00686 -0.00950 -0.00886 -0.00115 -0.00105 -0.00077 -0.01215 -0.00187 -0.00486 -0.00115 -0.00093 -0.00052 -0.00947 -0.00943 -0.01179 -0.00981 -0.00639 -0.00436
0.42000 -0.00574 -0.00791 -0.00915 -0.00111 -0.00108 -0.00100 -0.01436 -0.00165 -0.00467 -0.00142 -0.00098 -0.00053 -0.01025 -0.00999 -0.01012 -0.01100 -0.00728 -0.00557
0.43000 -0.00706 -0.00866 -0.01009 -0.00141 -0.00133 -0.00093 -0.01180 -0.00195 -0.00537 -0.00118 -0.00093 -0.00059 -0.01117 -0.00816 -0.00994 -0.01282 -0.00616 -0.00468
0.44000 -0.00618 -0.00819 -0.01015 -0.00128 -0.00122 -0.00083 -0.01448 -0.00193 -0.00440 -0.00134 -0.00098 -0.00067 -0.01117 -0.00874 -0.01146 -0.00962 -0.00680 -0.00426
0.45000 -0.00549 -0.00978 -0.01182 -0.00117 -0.00117 -0.00087 -0.01366 -0.00178 -0.00496 -0.00124 -0.00099 -0.00060 -0.01238 -0.00834 -0.00999 -0.01102 -0.00605 -0.00425
0.46000 -0.00686 -0.00976 -0.01011 -0.00112 -0.00131 -0.00076 -0.01421 -0.00200 -0.00541 -0.00123 -0.00078 -0.00061 -0.01013 -0.00985 -0.00974 -0.01044 -0.00796 -0.00528
0.47000 -0.00687 -0.00885 -0.01149 -0.00118 -0.00103 -0.00099 -0.01179 -0.00208 -0.00529 -0.00118 -0.00094 -0.00065 -0.01223 -0.00844 -0.01136 -0.01109 -0.00671 -0.00524
0.48000 -0.00591 -0.00966 -0.01185 -0.00129 -0.00114 -0.00101 -0.01332 -0.00180 -0.00533 -0.00144 -0.00082 -0.00064 -0.01106 -0.00801 -0.01092 -0.01080 -0.00716 -0.00473
0.49000 -0.00681 -0.00856 -0.01129 -0.00118 -0.00100 -0.00075 -0.01408 -0.00166 -0.00490 -0.00126 -0.00098 -0.00058 -0.01196 -0.00919 -0.00805 -0.00952 -0.00617 -0.00507
0.50000 -0.00529 -0.00863 -0.00874 -0.00097 -0.00102 -0.00091 -0.01322 -0.00187 -0.00405 -0.00140 -0.00083 -0.00053 -0.00964 -0.00782 -0.01022 -0.01143 -0.00741 -0.00528
0.51000 -0.00646 -0.00875 -0.00885 -0.00094 -0.00100 -0.00091 -0.01155 -0.00190 -0.00427 -0.00128 -0.00098 -0.00063 -0.00957 -0.01010 -0.01100 -0.01088 -0.00754 -0.00424
0.52000 -0.00584 -0.00973 -0.01048 -0.00105 -0.00099 -0.00074 -0.01258 -0.00151 -0.00428 -0.00119 -0.00091 -0.00055 -0.01221 -0.00841 -0.01023 -0.00984 -0.00668 -0.00466
0.53000 -0.00642 -0.00762 -0.01023 -0.00102 -0.00102 -0.00099 -0.01268 -0.00180 -0.00411 -0.00148 -0.00086 -0.00059 -0.00981 -0.00812 -0.00893 -0.00860 -0.00689 -0.00376
0.54000 -0.00584 -0.01004 -0.01130 -0.00105 -0.00108 -0.00074 -0.01102 -0.00174 -0.00518 -0.00127 -0.00078 -0.00046 -0.01015 -0.00823 -0.00822 -0.00907 -0.00612 -0.00383
0.55000 -0.00480 -0.00922 -0.00984 -0.00083 -0.00127 -0.00077 -0.01116 -0.00170 -0.00375 -0.00115 -0.00083 -0.00056 -0.00988 -0.00922 -0.00798 -0.00964 -0.00709 -0.00397
0.56000 -0.00538 -0.00753 -0.01150 -0.00111 -0.00103 -0.00074 -0.01355 -0.00171 -0.00390 -0.00123 -0.00084 -0.00058 -0.00968 -0.00686 -0.00930 -0.00895 -0.00647 -0.00475
0.57000 -0.00498 -0.00938 -0.00854 -0.00080 -0.00092 -0.00077 -0.01427 -0.00176 -0.00394 -0.00119 -0.00091 -0.00057 -0.00997 -0.00653 -0.00887 -0.00818 -0.00643 -0.00390
0.58000 -0.00489 -0.00788 -0.00872 -0.00096 -0.00120 -0.00094 -0.01432 -0.00190 -0.00486 -0.00146 -0.00090 -0.00049 -0.00948 -0.00891 -0.00951 -0.00738 -0.00692 -0.00430
0.59000 -0.00447 -0.00894 -0.01111 -0.00096 -0.00103 -0.00084 -0.01074 -0.00186 -0.00478 -0.00129 -0.00083 -0.00056 -0.01018 -0.00654 -0.00736 -0.00929 -0.00573 -0.00412
0.60000 -0.00451 -0.00912 -0.00984 -0.00092 -0.00117 -0.00081 -0.01404 -0.00139 -0.00476 -0.00130 -0.00090 -0.00045 -0.01023 -0.00777 -0.00763 -0.00674 -0.00570 -0.00362
0.61000 -0.00465 -0.00938 -0.01084 -0.00095 -0.00105 -0.00086 -0.01178 -0.00169 -0.00335 -0.00109 -0.00095 -0.00052 -0.00929 -0.00872 -0.00818 -0.00667 -0.00685 -0.00452
0.62000 -0.00419 -0.00849 -0.01095 -0.00104 -0.00105 -0.00072 -0.01268 -0.00150 -0.00394 -0.00126 -0.00090 -0.00038 -0.01055 -0.00619 -0.00672 -0.00931 -0.00651 -0.00444
0.63000 -0.00467 -0.00747 -0.00766 -0.00103 -0.00079 -0.00075 -0.01338 -0.00160 -0.00338 -0.00130 -0.00085 -0.00047 -0.01123 -0.00812 -0.00737 -0.00655 -0.00606 -0.00446
0.64000 -0.00357 -0.00849 -0.00854 -0.00101 -0.00082 -0.00074 -0.01079 -0.00162 -0.00310 -0.00100 -0.00069 -0.00049 -0.00920 -0.00574 -0.00848 -0.00698 -0.00603 -0.00389
0.65000 -0.00363 -0.00815 -0.00831 -0.00061 -0.00086 -0.00064 -0.01213 -0.00143 -0.00392 -0.00130 -0.00076 -0.00053 -0.01049 -0.00652 -0.00578 -0.00549 -0.00550 -0.00303
0.66000 -0.00403 -0.00740 -0.00924 -0.00081 -0.00090 -0.00062 -0.00999 -0.00128 -0.00317 -0.00133 -0.00085 -0.00047 -0.00800 -0.00653 -0.00579 -0.00550 -0.00647 -0.00292
0.67000 -0.00376 -0.00753 -0.00817 -0.00067 -0.00075 -0.00068 -0.01159 -0.00148 -0.00380 -0.00092 -0.00081 -0.00033 -0.00930 -0.00481 -0.00599 -0.00665 -0.00623 -0.00255
0.68000 -0.00370 -0.00781 -0.00953 -0.00074 -0.00093 -0.00067 -0.00896 -0.00126 -0.00329 -0.00092 -0.00061 -0.00035 -0.00698 -0.00548 -0.00701 -0.00741 -0.00490 -0.00376
0.69000 -0.00366 -0.00579 -0.00640 -0.00045 -0.00077 -0.00060 -0.00872 -0.00145 -0.00334 -0.00110 -0.00075 -0.00045 -0.00668 -0.00455 -0.00699 -0.00501 -0.00511 -0.00327
0.70000 -0.00392 -0.00528 -0.00717 -0.00064 -0.00078 -0.00064 -0.00694 -0.00147 -0.00269 -0.00119 -0.00074 -0.00035 -0.00961 -0.00427 -0.00533 -0.00716 -0.00401 -0.00236
0.71000 -0.00336 -0.00613 -0.00605 -0.00055 -0.00078 -0.00069 -0.00637 -0.00089 -0.00257 -0.00090 -0.00050 -0.00025 -0.00608 -0.00533 -0.00615 -0.00494 -0.00363 -0.00204
0.72000 -0.00233 -0.00503 -0.00772 -0.00056 -0.00058 -0.00062 -0.00917 -0.00116 -0.00311 -0.00107 -0.00063 -0.00026 -0.00564 -0.00398 -0.00423 -0.00499 -0.00437 -0.00211
0.73000 -0.00265 -0.00660 -0.00607 -0.00043 -0.00045 -0.00043 -0.00622 -0.00099 -0.00248 -0.00104 -0.00063 -0.00031 -0.00611 -0.00382 -0.00422 -0.00376 -0.00377 -0.00260
0.74000 -0.00181 -0.00465 -0.00444 -0.00058 -0.00035 -0.00055 -0.00430 -0.00097 -0.00204 -0.00057 -0.00039 -0.00030 -0.00485 -0.00241 -0.00232 -0.00444 -0.00271 -0.00150
0.75000 -0.00124 -0.00534 -0.00515 -0.00045 -0.00039 -0.00039 -0.00543 -0.00071 -0.00138 -0.00052 -0.00043 -0.00017 -0.00547 -0.00191 -0.00259 -0.00356 -0.00176 -0.00172
0.76000 -0.00225 -0.00475 -0.00361 -0.00039 -0.00050 -0.00020 -0.00285 -0.00087 -0.00185 -0.00058 -0.00048 -0.00011 -0.00528 -0.00376 -0.00338 -0.00122 -0.00145 -0.00181
0.77000 -0.00217 -0.00333 -0.00325 -0.00010 -0.00039 -0.00014 -0.00218 -0.00064 -0.00151 -0.00046 -0.00029 -0.00006 -0.00222 -0.00154 -0.00204 -0.00106 -0.00205 -0.00139
0.78000 -0.00137 -0.00198 -0.00357 -0.00002 -0.00036 -0.00030 -0.00165 -0.00014 -0.00142 -0.00033 -0.00019 -0.00005 -0.00168 -0.00209 -0.00124 -0.00273 -0.00234 -0.00128
0.79000 0.00048 0.00016 -0.00011 0.00003 -0.00017 -0.00003 -0.00308 -0.00030 -0.00013 -0.00022 -0.00015 -0.00002 -0.00116 -0.00143 -0.00025 -0.00063 -0.00128 -0.00111
0.80000 -0.00084 0.00076 0.00077 -0.00003 0.00008 0.00012 0.00086 0.00015 0.00063 0.00010 -0.00005 0.00005 -0.00025 -0.00027 -0.00019 -0.00112 -0.00003 0.00070
0.81000 0.00065 0.00030 0.00029 -0.00014 0.00008 0.00004 -0.00013 0.00030 0.00042 0.00039 0.00026 0.00007 0.00359 0.00202 0.00038 0.00111 0.00004 -0.00004
0.82000 0.00037 0.00143 0.00389 -0.00006 0.00010 0.00019 0.00487 0.00013 0.00115 0.00033 0.00021 0.00006 0.00337 0.00148 0.00202 0.00190 0.00153 0.00095
0.83000 0.00146 0.00510 0.00588 0.00012 0.00050 0.00023 0.00500 0.00032 0.00176 0.00082 0.00050 0.00024 0.00419 0.00336 0.00152 0.00122 0.00340 0.00143
0.84000 0.00139 0.00574 0.00825 0.00030 0.00037 0.00041 0.00870 0.00107 0.00240 0.00120 0.00071 0.00018 0.00946 0.00313 0.00233 0.00127 0.00327 0.00146
0.85000 0.00375 0.00688 0.00862 0.00024 0.00080 0.00060 0.00895 0.00131 0.00358 0.00126 0.00074 0.00034 0.01211 0.00512 0.00525 0.00546 0.00610 0.00261
0.86000 0.00443 0.01023 0.01156 0.00072 0.00090 0.00088 0.01241 0.00155 0.00339 0.00204 0.00092 0.00033 0.01311 0.00508 0.00441 0.00519 0.00601 0.00258
0.87000 0.00363 0.01263 0.01461 0.00081 0.00096 0.00098 0.01301 0.00184 0.00458 0.00223 0.00130 0.00053 0.01752 0.00608 0.00688 0.00456 0.00714 0.00460
0.88000 0.00564 0.01601 0.02015 0.00078 0.00129 0.00132 0.01699 0.00199 0.00526 0.00299 0.00161 0.00054 0.02262 0.00627 0.00829 0.00601 0.00882 0.00443
0.89000 0.00608 0.01967 0.02495 0.00071 0.00131 0.00148 0.01901 0.00253 0.00663 0.00373 0.00182 0.00070 0.02457 0.00771 0.00912 0.00923 0.01041 0.00501
0.90000 0.00705 0.02389 0.02895 0.00113 0.00168 0.00190 0.02390 0.00294 0.00738 0.00435 0.00218 0.00065 0.03146 0.01056 0.00960 0.00943 0.01237 0.00662
0.91000 0.00688 0.02814 0.03291 0.00112 0.00216 0.00203 0.02848 0.00338 0.00848 0.00521 0.00277 0.00087 0.03533 0.01142 0.01153 0.01139 0.01538 0.00767
0.92000 0.00912 0.03324 0.03818 0.00109 0.00230 0.00242 0.03199 0.00417 0.01010 0.00608 0.00310 0.00103 0.04393 0.01237 0.01471 0.01030 0.01764 0.00826
0.93000 0.00974 0.03720 0.04551 0.00150 0.00272 0.00288 0.03381 0.00480 0.01163 0.00743 0.00374 0.00112 0.04989 0.01602 0.01700 0.01431 0.02129 0.00904
0.94000 0.01209 0.04492 0.05492 0.00150 0.00309 0.00323 0.04016 0.00515 0.01353 0.00863 0.00424 0.00120 0.05965 0.01779 0.01921 0.01517 0.02290 0.01053
0.95000 0.01193 0.05123 0.06359 0.00163 0.00334 0.00376 0.04675 0.00631 0.01463 0.01010 0.00492 0.00143 0.06891 0.01802 0.01836 0.01740 0.02685 0.01209
0.96000 0.01306 0.06145 0.07269 0.00200 0.00393 0.00443 0.05171 0.00695 0.01614 0.01208 0.00575 0.00160 0.07931 0.02252 0.02151 0.01789 0.03134 0.01296
0.97000 0.01603 0.07051 0.08438 0.00182 0.00434 0.00495 0.05999 0.00794 0.01920 0.01387 0.00647 0.00171 0.09213 0.02452 0.02300 0.01980 0.03505 0.01532
0.98000 0.01745 0.08102 0.09684 0.00228 0.00494 0.00566 0.06740 0.00873 0.02146 0.01641 0.00747 0.00203 0.10582 0.02534 0.02723 0.02057 0.03892 0.01689
0.99000 0.01813 0.09346 0.11174 0.00256 0.00538 0.00629 0.07651 0.01010 0.02354 0.01895 0.00843 0.00216 0.12354 0.02953 0.02926 0.02250 0.04506 0.01906
1.00000 0.02091 0.10616 0.13120 0.00250 0.00597 0.00714 0.08208 0.01140 0.02556 0.02198 0.00968 0.00229 0.14179 0.03115 0.03215 0.02430 0.05034 0.02082
