# Timestamp: 2014-10-08 10:08:00
# Operator: h.griffin
# Comments:
# Sample: 14-JS-5
# Layout: inm standard
# Irradiation: AM1.5
# Temperature: 23.5
# Positions: 3 6 9 10 11 12 13 14 16 17 18 22 24 28 32
# Areas: 1.0 1.0 0.1 0.1 0.1 0.1 0.5 1.0 1.0 1.0 1.0 0.1 0.1 1.0 1.0
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
0.35000 -0.00904 -0.01010 -0.00130 -0.00028 -0.00089 -0.00071 -0.00508 -0.00444 -0.01265 -0.00802 -0.01491 -0.00063 -0.00052 -0.00882 -0.01150
0.36000 -0.01071 -0.01290 -0.00098 -0.00033 -0.00078 -0.00074 -0.00556 -0.00526 -0.01320 -0.00791 -0.01314 -0.00049 -0.00067 -0.00982 -0.01015
0.37000 -0.00814 -0.01100 -0.00102 -0.00029 -0.00070 -0.00077 -0.00508 -0.00440 -0.01071 -0.00796 -0.01192 -0.00054 -0.00060 -0.01068 -0.00920
0.38000 -0.00995 -0.01298 -0.00128 -0.00034 -0.00081 -0.00089 -0.00520 -0.00466 -0.01105 -0.00852 -0.01481 -0.00060 -0.00051 -0.01000 -0.01113
0.39000 -0.00828 -0.00995 -0.00129 -0.00032 -0.00089 -0.00070 -0.00439 -0.00540 -0.01048 -0.00803 -0.01196 -0.00053 -0.00059 -0.01015 -0.00915
0.40000 -0.00877 -0.01330 -0.00113 -0.00036 -0.00076 -0.00071 -0.00518 -0.00538 -0.01244 -0.00865 -0.01529 -0.00047 -0.00067 -0.00991 -0.00960
0.41000 -0.00992 -0.01191 -0.00126 -0.00032 -0.00073 -0.00078 -0.00487 -0.00489 -0.01112 -0.00886 -0.01346 -0.00050 -0.00050 -0.00858 -0.01186
0.42000 -0.00943 -0.01189 -0.00114 -0.00029 -0.00085 -0.00077 -0.00499 -0.00564 -0.01128 -0.00804 -0.01421 -0.00044 -0.00052 -0.00860 -0.00945
0.43000 -0.01001 -0.01161 -0.00124 -0.00028 -0.00074 -0.00068 -0.00547 -0.00535 -0.01012 -0.00845 -0.01512 -0.00056 -0.00063 -0.01015 -0.01040
0.44000 -0.00988 -0.01085 -0.00123 -0.00030 -0.00081 -0.00078 -0.00567 -0.00556 -0.01144 -0.00715 -0.01193 -0.00052 -0.00064 -0.01092 -0.01008
0.45000 -0.00984 -0.01088 -0.00101 -0.00034 -0.00087 -0.00084 -0.00584 -0.00459 -0.01231 -0.00924 -0.01402 -0.00041 -0.00065 -0.00945 -0.01161
0.46000 -0.01026 -0.01212 -0.00096 -0.00032 -0.00074 -0.00080 -0.00583 -0.00506 -0.01051 -0.00705 -0.01349 -0.00054 -0.00065 -0.00921 -0.00915
0.47000 -0.00854 -0.01143 -0.00102 -0.00034 -0.00060 -0.00084 -0.00503 -0.00450 -0.01089 -0.00864 -0.01501 -0.00040 -0.00062 -0.00981 -0.01194
0.48000 -0.00789 -0.01159 -0.00093 -0.00032 -0.00080 -0.00079 -0.00434 -0.00457 -0.01202 -0.00708 -0.01144 -0.00051 -0.00054 -0.01045 -0.01039
0.49000 -0.00924 -0.00960 -0.00111 -0.00035 -0.00078 -0.00079 -0.00490 -0.00491 -0.01007 -0.00902 -0.01306 -0.00049 -0.00050 -0.00906 -0.01027
0.50000 -0.00833 -0.01255 -0.00100 -0.00036 -0.00068 -0.00064 -0.00540 -0.00547 -0.01138 -0.00647 -0.01211 -0.00037 -0.00052 -0.01103 -0.00946
0.51000 -0.00724 -0.01175 -0.00079 -0.00034 -0.00057 -0.00071 -0.00513 -0.00467 -0.01189 -0.00841 -0.01341 -0.00041 -0.00053 -0.00841 -0.01129
0.52000 -0.00800 -0.01281 -0.00091 -0.00030 -0.00057 -0.00064 -0.00445 -0.00513 -0.01254 -0.00846 -0.01149 -0.00053 -0.00062 -0.01091 -0.01111
0.53000 -0.00887 -0.01245 -0.00096 -0.00026 -0.00061 -0.00069 -0.00543 -0.00512 -0.01049 -0.00656 -0.01153 -0.00043 -0.00050 -0.00884 -0.01115
0.54000 -0.00887 -0.01162 -0.00091 -0.00033 -0.00072 -0.00085 -0.00433 -0.00513 -0.01220 -0.00792 -0.01233 -0.00049 -0.00061 -0.00982 -0.00982
0.55000 -0.00855 -0.00955 -0.00083 -0.00029 -0.00076 -0.00073 -0.00468 -0.00477 -0.01157 -0.00845 -0.01457 -0.00040 -0.00044 -0.00853 -0.01073
0.56000 -0.00778 -0.01148 -0.00094 -0.00033 -0.00062 -0.00067 -0.00480 -0.00481 -0.01275 -0.00604 -0.01420 -0.00043 -0.00052 -0.01005 -0.01141
0.57000 -0.00886 -0.01040 -0.00068 -0.00029 -0.00062 -0.00066 -0.00426 -0.00521 -0.01253 -0.00670 -0.01440 -0.00032 -0.00042 -0.00995 -0.00955
0.58000 -0.00703 -0.01161 -0.00089 -0.00025 -0.00071 -0.00067 -0.00513 -0.00450 -0.01014 -0.00755 -0.01312 -0.00048 -0.00055 -0.00892 -0.00957
0.59000 -0.00578 -0.00897 -0.00084 -0.00027 -0.00059 -0.00060 -0.00452 -0.00496 -0.01024 -0.00763 -0.01125 -0.00033 -0.00056 -0.00930 -0.01150
0.60000 -0.00700 -0.00942 -0.00065 -0.00024 -0.00053 -0.00063 -0.00464 -0.00466 -0.01081 -0.00678 -0.01134 -0.00042 -0.00051 -0.00977 -0.00833
0.61000 -0.00694 -0.01106 -0.00067 -0.00029 -0.00061 -0.00055 -0.00448 -0.00376 -0.01095 -0.00559 -0.01093 -0.00042 -0.00046 -0.00935 -0.00959
0.62000 -0.00721 -0.01099 -0.00070 -0.00023 -0.00048 -0.00068 -0.00509 -0.00449 -0.01045 -0.00577 -0.01316 -0.00037 -0.00040 -0.00808 -0.00929
0.63000 -0.00549 -0.01021 -0.00082 -0.00030 -0.00039 -0.00055 -0.00390 -0.00434 -0.00986 -0.00527 -0.01140 -0.00024 -0.00045 -0.00935 -0.01061
0.64000 -0.00511 -0.01016 -0.00088 -0.00026 -0.00044 -0.00057 -0.00494 -0.00365 -0.00951 -0.00683 -0.00942 -0.00021 -0.00045 -0.00879 -0.00822
0.65000 -0.00644 -0.00723 -0.00066 -0.00021 -0.00051 -0.00059 -0.00480 -0.00398 -0.01048 -0.00525 -0.01237 -0.00020 -0.00031 -0.00981 -0.00826
0.66000 -0.00432 -0.00784 -0.00048 -0.00027 -0.00040 -0.00055 -0.00338 -0.00356 -0.01104 -0.00490 -0.01215 -0.00031 -0.00034 -0.00797 -0.01013
0.67000 -0.00516 -0.00683 -0.00050 -0.00026 -0.00054 -0.00056 -0.00325 -0.00418 -0.01067 -0.00629 -0.01176 -0.00025 -0.00038 -0.00775 -0.00839
0.68000 -0.00602 -0.00748 -0.00071 -0.00020 -0.00054 -0.00043 -0.00363 -0.00303 -0.00752 -0.00558 -0.00840 -0.00031 -0.00034 -0.00723 -0.00854
0.69000 -0.00596 -0.00715 -0.00069 -0.00018 -0.00048 -0.00039 -0.00374 -0.00362 -0.00898 -0.00399 -0.00844 -0.00022 -0.00043 -0.00643 -0.00653
0.70000 -0.00357 -0.00578 -0.00034 -0.00018 -0.00042 -0.00045 -0.00335 -0.00266 -0.00847 -0.00454 -0.00958 -0.00014 -0.00035 -0.00608 -0.00903
0.71000 -0.00408 -0.00550 -0.00058 -0.00018 -0.00033 -0.00031 -0.00252 -0.00365 -0.00775 -0.00388 -0.00893 -0.00013 -0.00026 -0.00657 -0.00585
0.72000 -0.00400 -0.00570 -0.00021 -0.00013 -0.00032 -0.00032 -0.00331 -0.00332 -0.00635 -0.00349 -0.00717 -0.00018 -0.00029 -0.00623 -0.00525
0.73000 -0.00286 -0.00472 -0.00051 -0.00014 -0.00019 -0.00039 -0.00345 -0.00288 -0.00811 -0.00416 -0.00780 -0.00010 -0.00021 -0.00720 -0.00533
0.74000 -0.00205 -0.00484 -0.00030 -0.00017 -0.00010 -0.00042 -0.00262 -0.00191 -0.00680 -0.00203 -0.00462 -0.00018 -0.00027 -0.00555 -0.00504
0.75000 -0.00310 -0.00405 -0.00048 -0.00015 -0.00017 -0.00027 -0.00283 -0.00218 -0.00431 -0.00348 -0.00540 -0.00019 -0.00017 -0.00560 -0.00495
0.76000 -0.00190 -0.00350 -0.00040 -0.00015 -0.00023 -0.00018 -0.00170 -0.00119 -0.00441 -0.00296 -0.00288 -0.00000 -0.00019 -0.00321 -0.00371
0.77000 -0.00281 -0.00120 -0.00009 -0.00011 -0.00023 -0.00012 -0.00086 -0.00123 -0.00506 -0.00266 -0.00325 -0.00005 -0.00014 -0.00346 -0.00235
0.78000 -0.00262 -0.00165 -0.00002 -0.00003 -0.00019 -0.00015 -0.00146 -0.00156 -0.00262 -0.00178 -0.00180 -0.00011 -0.00002 -0.00174 -0.00291
0.79000 -0.00083 0.00019 -0.00010 0.00000 -0.00003 -0.00008 -0.00093 -0.00073 0.00016 0.00050 -0.00041 -0.00011 -0.00001 -0.00009 -0.00148
0.80000 0.00033 0.00179 -0.00006 0.00003 0.00010 -0.00011 0.00052 -0.00017 -0.00156 -0.00016 0.00089 0.00008 0.00005 0.00031 -0.00063
0.81000 -0.00097 0.00163 0.00001 0.00003 -0.00000 0.00012 0.00045 0.00054 0.00283 0.00115 -0.00013 0.00005 0.00008 0.00074 0.00261
0.82000 -0.00045 0.00330 0.00011 0.00003 0.00016 0.00004 0.00129 0.00064 0.00255 0.00274 0.00305 0.00001 0.00009 0.00299 0.00320
0.83000 0.00300 0.00556 -0.00002 0.00007 0.00019 0.00012 0.00207 0.00149 0.00395 0.00325 0.00647 0.00013 0.00006 0.00525 0.00450
0.84000 0.00199 0.00616 0.00027 0.00016 0.00031 0.00031 0.00374 0.00207 0.00716 0.00384 0.00511 0.00005 0.00021 0.00590 0.00787
0.85000 0.00323 0.00650 0.00014 0.00017 0.00038 0.00049 0.00364 0.00342 0.01205 0.00360 0.00710 0.00026 0.00030 0.00888 0.00759
0.86000 0.00437 0.00988 0.00040 0.00031 0.00029 0.00051 0.00584 0.00431 0.01276 0.00403 0.01025 0.00019 0.00032 0.01244 0.01108
0.87000 0.00616 0.01081 0.00043 0.00030 0.00045 0.00066 0.00645 0.00424 0.01577 0.00762 0.01292 0.00026 0.00044 0.01603 0.01475
0.88000 0.00516 0.01195 0.00055 0.00043 0.00039 0.00078 0.00773 0.00608 0.02191 0.00675 0.01773 0.00022 0.00051 0.01830 0.01912
0.89000 0.00763 0.01564 0.00052 0.00045 0.00039 0.00076 0.00880 0.00635 0.02485 0.00854 0.01850 0.00025 0.00047 0.02277 0.02116
0.90000 0.00681 0.02003 0.00065 0.00053 0.00071 0.00103 0.01040 0.00720 0.03012 0.01093 0.02220 0.00027 0.00073 0.02834 0.02687
0.91000 0.00758 0.02230 0.00069 0.00061 0.00074 0.00102 0.01265 0.00896 0.03505 0.01175 0.02651 0.00035 0.00083 0.03160 0.03181
0.92000 0.01008 0.02274 0.00081 0.00075 0.00059 0.00137 0.01538 0.01054 0.04262 0.01409 0.02837 0.00046 0.00082 0.03831 0.03754
0.93000 0.01134 0.02865 0.00110 0.00086 0.00076 0.00153 0.01700 0.01221 0.04867 0.01409 0.03422 0.00046 0.00088 0.04467 0.04387
0.94000 0.01144 0.03360 0.00109 0.00093 0.00087 0.00164 0.01960 0.01284 0.05425 0.01608 0.03822 0.00053 0.00097 0.05363 0.04923
0.95000 0.01320 0.03683 0.00112 0.00115 0.00092 0.00178 0.02248 0.01555 0.06472 0.02018 0.04510 0.00053 0.00111 0.06343 0.05576
0.96000 0.01254 0.03906 0.00129 0.00122 0.00101 0.00191 0.02624 0.01688 0.07512 0.02258 0.04895 0.00065 0.00128 0.07173 0.06654
0.97000 0.01460 0.04614 0.00128 0.00138 0.00124 0.00236 0.03021 0.01891 0.08541 0.02396 0.05698 0.00066 0.00146 0.08548 0.07526
0.98000 0.01705 0.05158 0.00156 0.00160 0.00131 0.00252 0.03462 0.02164 0.09855 0.02678 0.06560 0.00060 0.00164 0.09828 0.08744
0.99000 0.01782 0.05680 0.00168 0.00182 0.00134 0.00288 0.03824 0.02368 0.11537 0.02839 0.07093 0.00066 0.00182 0.11236 0.09898
1.00000 0.01939 0.06342 0.00196 0.00200 0.00155 0.00315 0.04467 0.02655 0.13123 0.03288 0.07835 0.00081 0.00201 0.12925 0.11383
