# Timestamp: 2014-10-08 10:10:00
# Operator: h.griffin
# Comments:
# Sample: 14-JS-6
# Layout: inm standard
# Irradiation: BG7
# Temperature: 23.5
# Positions: 1 2 4 6 13 16 17 18 22 24 26 29 32
# Areas: 1.0 1.0 1.0 1.0 0.5 1.0 1.0 1.0 0.1 0.1 0.5 1.0 1.0
# ----------------------------------------------------------------------
# U/V  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A  I/A
0.03000 -0.00206 -0.00169 -0.00179 -0.00123 -0.00070 -0.00157 -0.00197 -0.00082 -0.00041 -0.00014 -0.00111 -0.00174 -0.00253
0.04000 -0.00264 -0.00154 -0.00172 -0.00128 -0.00075 -0.00176 -0.00246 -0.00094 -0.00036 -0.00015 -0.00124 -0.00194 -0.00253
0.05000 -0.00219 -0.00128 -0.00156 -0.00121 -0.00068 -0.00123 -0.00202 -0.00119 -0.00037 -0.00015 -0.00142 -0.00164 -0.00243
0.06000 -0.00217 -0.00145 -0.00190 -0.00120 -0.00075 -0.00160 -0.00175 -0.00085 -0.00040 -0.00015 -0.00103 -0.00179 -0.00269
0.07000 -0.00227 -0.00161 -0.00170 -0.00154 -0.00072 -0.00148 -0.00191 -0.00086 -0.00047 -0.00020 -0.00146 -0.00187 -0.00262
0.08000 -0.00233 -0.00153 -0.00199 -0.00127 -0.00076 -0.00140 -0.00240 -0.00110 -0.00033 -0.00014 -0.00125 -0.00150 -0.00244
0.09000 -0.00212 -0.00147 -0.00156 -0.00111 -0.00076 -0.00155 -0.00180 -0.00094 -0.00040 -0.00018 -0.00119 -0.00181 -0.00297
0.10000 -0.00265 -0.00173 -0.00189 -0.00122 -0.00063 -0.00145 -0.00199 -0.00107 -0.00038 -0.00017 -0.00140 -0.00192 -0.00243
0.11000 -0.00197 -0.00148 -0.00174 -0.00118 -0.00080 -0.00187 -0.00251 -0.00095 -0.00044 -0.00021 -0.00150 -0.00198 -0.00211
0.12000 -0.00239 -0.00169 -0.00209 -0.00131 -0.00076 -0.00158 -0.00213 -0.00093 -0.00035 -0.00019 -0.00133 -0.00203 -0.00280
0.13000 -0.00221 -0.00163 -0.00163 -0.00114 -0.00085 -0.00140 -0.00213 -0.00108 -0.00036 -0.00016 -0.00125 -0.00183 -0.00283
0.14000 -0.00244 -0.00149 -0.00171 -0.00130 -0.00080 -0.00148 -0.00165 -0.00092 -0.00040 -0.00016 -0.00136 -0.00208 -0.00193
0.15000 -0.00212 -0.00130 -0.00160 -0.00116 -0.00078 -0.00139 -0.00195 -0.00090 -0.00036 -0.00018 -0.00116 -0.00199 -0.00296
0.16000 -0.00214 -0.00143 -0.00163 -0.00118 -0.00079 -0.00169 -0.00200 -0.00083 -0.00038 -0.00017 -0.00153 -0.00173 -0.00246
0.17000 -0.00227 -0.00146 -0.00184 -0.00120 -0.00078 -0.00127 -0.00201 -0.00100 -0.00034 -0.00017 -0.00144 -0.00183 -0.00276
0.18000 -0.00213 -0.00163 -0.00199 -0.00099 -0.00079 -0.00148 -0.00196 -0.00110 -0.00038 -0.00015 -0.00131 -0.00198 -0.00253
0.19000 -0.00261 -0.00151 -0.00156 -0.00143 -0.00073 -0.00161 -0.00209 -0.00082 -0.00036 -0.00014 -0.00151 -0.00191 -0.00215
0.20000 -0.00236 -0.00146 -0.00155 -0.00125 -0.00076 -0.00138 -0.00217 -0.00073 -0.00031 -0.00018 -0.00137 -0.00176 -0.00267
0.21000 -0.00212 -0.00128 -0.00168 -0.00149 -0.00071 -0.00146 -0.00205 -0.00102 -0.00037 -0.00017 -0.00147 -0.00166 -0.00256
0.22000 -0.00230 -0.00133 -0.00197 -0.00107 -0.00066 -0.00141 -0.00238 -0.00100 -0.00036 -0.00020 -0.00123 -0.00183 -0.00246
0.23000 -0.00249 -0.00161 -0.00135 -0.00142 -0.00060 -0.00144 -0.00180 -0.00107 -0.00044 -0.00018 -0.00148 -0.00216 -0.00234
0.24000 -0.00258 -0.00138 -0.00173 -0.00113 -0.00068 -0.00176 -0.00237 -0.00086 -0.00038 -0.00015 -0.00115 -0.00160 -0.00225
0.25000 -0.00187 -0.00155 -0.00158 -0.00099 -0.00069 -0.00174 -0.00178 -0.00087 -0.00044 -0.00020 -0.00122 -0.00198 -0.00206
0.26000 -0.00267 -0.00147 -0.00161 -0.00118 -0.00064 -0.00155 -0.00162 -0.00081 -0.00037 -0.00017 -0.00103 -0.00202 -0.00216
0.27000 -0.00227 -0.00144 -0.00165 -0.00112 -0.00077 -0.00145 -0.00185 -0.00082 -0.00037 -0.00014 -0.00131 -0.00188 -0.00297
0.28000 -0.00209 -0.00128 -0.00156 -0.00136 -0.00075 -0.00145 -0.00190 -0.00080 -0.00035 -0.00015 -0.00134 -0.00228 -0.00214
0.29000 -0.00263 -0.00150 -0.00164 -0.00110 -0.00068 -0.00155 -0.00181 -0.00073 -0.00035 -0.00018 -0.00122 -0.00163 -0.00266
0.30000 -0.00259 -0.00154 -0.00136 -0.00120 -0.00077 -0.00163 -0.00162 -0.00098 -0.00035 -0.00019 -0.00144 -0.00163 -0.00221
0.31000 -0.00255 -0.00147 -0.00171 -0.00116 -0.00071 -0.00125 -0.00178 -0.00092 -0.00038 -0.00018 -0.00127 -0.00168 -0.00224
0.32000 -0.00228 -0.00125 -0.00175 -0.00109 -0.00092 -0.00151 -0.00212 -0.00074 -0.00038 -0.00020 -0.00135 -0.00166 -0.00228
0.33000 -0.00276 -0.00166 -0.00147 -0.00119 -0.00070 -0.00172 -0.00179 -0.00074 -0.00033 -0.00019 -0.00107 -0.00196 -0.00210
0.34000 -0.00265 -0.00147 -0.00204 -0.00123 -0.00066 -0.00142 -0.00179 -0.00099 -0.00040 -0.00017 -0.00128 -0.00172 -0.00226
0.35000 -0.00212 -0.00175 -0.00166 -0.00137 -0.00086 -0.00146 -0.00192 -0.00098 -0.00033 -0.00016 -0.00110 -0.00189 -0.00216
0.36000 -0.00215 -0.00138 -0.00157 -0.00116 -0.00082 -0.00130 -0.00167 -0.00083 -0.00031 -0.00015 -0.00115 -0.00202 -0.00254
0.37000 -0.00260 -0.00139 -0.00177 -0.00110 -0.00077 -0.00137 -0.00202 -0.00083 -0.00029 -0.00018 -0.00120 -0.00240 -0.00232
0.38000 -0.00223 -0.00138 -0.00170 -0.00134 -0.00075 -0.00145 -0.00194 -0.00097 -0.00041 -0.00013 -0.00138 -0.00170 -0.00191
0.39000 -0.00251 -0.00134 -0.00147 -0.00127 -0.00077 -0.00133 -0.00210 -0.00080 -0.00036 -0.00015 -0.00126 -0.00169 -0.00292
0.40000 -0.00250 -0.00158 -0.00172 -0.00108 -0.00080 -0.00118 -0.00177 -0.00089 -0.00043 -0.00017 -0.00120 -0.00187 -0.00209
0.41000 -0.00216 -0.00141 -0.00192 -0.00111 -0.00072 -0.00145 -0.00184 -0.00065 -0.00033 -0.00018 -0.00133 -0.00162 -0.00240
0.42000 -0.00220 -0.00135 -0.00145 -0.00147 -0.00086 -0.00154 -0.00169 -0.00091 -0.00035 -0.00019 -0.00122 -0.00168 -0.00208
0.43000 -0.00206 -0.00151 -0.00148 -0.00136 -0.00071 -0.00137 -0.00230 -0.00082 -0.00036 -0.00017 -0.00114 -0.00186 -0.00192
0.44000 -0.00242 -0.00123 -0.00164 -0.00116 -0.00074 -0.00161 -0.00157 -0.00071 -0.00028 -0.00014 -0.00110 -0.00197 -0.00221
0.45000 -0.00220 -0.00140 -0.00173 -0.00129 -0.00080 -0.00133 -0.00228 -0.00061 -0.00035 -0.00014 -0.00115 -0.00220 -0.00195
0.46000 -0.00224 -0.00139 -0.00190 -0.00115 -0.00065 -0.00169 -0.00186 -0.00070 -0.00034 -0.00015 -0.00105 -0.00167 -0.00205
0.47000 -0.00265 -0.00161 -0.00142 -0.00140 -0.00068 -0.00131 -0.00178 -0.00087 -0.00037 -0.00014 -0.00123 -0.00230 -0.00201
0.48000 -0.00212 -0.00136 -0.00147 -0.00105 -0.00073 -0.00136 -0.00187 -0.00090 -0.00032 -0.00017 -0.00120 -0.00172 -0.00236
0.49000 -0.00198 -0.00139 -0.00153 -0.00125 -0.00069 -0.00171 -0.00181 -0.00055 -0.00037 -0.00019 -0.00126 -0.00192 -0.00225
0.50000 -0.00183 -0.00135 -0.00145 -0.00104 -0.00078 -0.00158 -0.00159 -0.00055 -0.00044 -0.00013 -0.00127 -0.00172 -0.00176
0.51000 -0.00218 -0.00169 -0.00182 -0.00131 -0.00070 -0.00153 -0.00173 -0.00061 -0.00032 -0.00016 -0.00119 -0.00166 -0.00205
0.52000 -0.00251 -0.00168 -0.00183 -0.00124 -0.00073 -0.00170 -0.00180 -0.00081 -0.00036 -0.00015 -0.00107 -0.00188 -0.00211
0.53000 -0.00218 -0.00125 -0.00192 -0.00143 -0.00069 -0.00165 -0.00214 -0.00051 -0.00031 -0.00015 -0.00136 -0.00202 -0.00261
0.54000 -0.00178 -0.00146 -0.00199 -0.00112 -0.00073 -0.00125 -0.00178 -0.00072 -0.00040 -0.00013 -0.00121 -0.00207 -0.00171
0.55000 -0.00247 -0.00130 -0.00192 -0.00145 -0.00057 -0.00144 -0.00185 -0.00058 -0.00026 -0.00015 -0.00129 -0.00189 -0.00165
0.56000 -0.00274 -0.00135 -0.00160 -0.00105 -0.00074 -0.00170 -0.00162 -0.00061 -0.00028 -0.00015 -0.00158 -0.00186 -0.00176
0.57000 -0.00240 -0.00121 -0.00150 -0.00133 -0.00068 -0.00128 -0.00163 -0.00044 -0.00024 -0.00017 -0.00135 -0.00195 -0.00204
0.58000 -0.00194 -0.00145 -0.00185 -0.00130 -0.00069 -0.00161 -0.00148 -0.00045 -0.00030 -0.00015 -0.00114 -0.00162 -0.00219
0.59000 -0.00265 -0.00110 -0.00156 -0.00107 -0.00070 -0.00140 -0.00167 -0.00062 -0.00025 -0.00013 -0.00121 -0.00197 -0.00197
0.60000 -0.00232 -0.00147 -0.00160 -0.00109 -0.00065 -0.00161 -0.00135 -0.00059 -0.00031 -0.00012 -0.00117 -0.00187 -0.00192
0.61000 -0.00260 -0.00152 -0.00167 -0.00103 -0.00067 -0.00142 -0.00145 -0.00041 -0.00023 -0.00012 -0.00126 -0.00148 -0.00190
0.62000 -0.00231 -0.00100 -0.00119 -0.00124 -0.00068 -0.00128 -0.00136 -0.00053 -0.00025 -0.00010 -0.00133 -0.00174 -0.00135
0.63000 -0.00195 -0.00138 -0.00163 -0.00105 -0.00062 -0.00167 -0.00184 -0.00043 -0.00025 -0.00011 -0.00134 -0.00171 -0.00193
0.64000 -0.00216 -0.00113 -0.00129 -0.00107 -0.00057 -0.00138 -0.00134 -0.00030 -0.00031 -0.00013 -0.00097 -0.00151 -0.00196
0.65000 -0.00207 -0.00097 -0.00169 -0.00124 -0.00063 -0.00136 -0.00137 -0.00042 -0.00029 -0.00014 -0.00114 -0.00150 -0.00156
0.66000 -0.00167 -0.00111 -0.00148 -0.00086 -0.00062 -0.00156 -0.00129 -0.00031 -0.00025 -0.00012 -0.00089 -0.00161 -0.00135
0.67000 -0.00203 -0.00107 -0.00153 -0.00112 -0.00060 -0.00140 -0.00103 -0.00047 -0.00027 -0.00008 -0.00109 -0.00173 -0.00128
0.68000 -0.00194 -0.00090 -0.00112 -0.00091 -0.00062 -0.00129 -0.00105 -0.00033 -0.00023 -0.00011 -0.00101 -0.00143 -0.00111
0.69000 -0.00166 -0.00099 -0.00137 -0.00086 -0.00047 -0.00124 -0.00085 -0.00017 -0.00019 -0.00011 -0.00090 -0.00156 -0.00112
0.70000 -0.00187 -0.00110 -0.00100 -0.00099 -0.00058 -0.00114 -0.00120 -0.00042 -0.00016 -0.00007 -0.00111 -0.00163 -0.00105
0.71000 -0.00149 -0.00088 -0.00109 -0.00060 -0.00053 -0.00111 -0.00068 -0.00043 -0.00025 -0.00009 -0.00080 -0.00110 -0.00138
0.72000 -0.00174 -0.00105 -0.00092 -0.00066 -0.00045 -0.00105 -0.00100 -0.00017 -0.00019 -0.00009 -0.00075 -0.00142 -0.00121
0.73000 -0.00165 -0.00097 -0.00100 -0.00075 -0.00038 -0.00115 -0.00099 -0.00027 -0.00020 -0.00004 -0.00058 -0.00117 -0.00084
0.74000 -0.00109 -0.00078 -0.00093 -0.00077 -0.00047 -0.00112 -0.00073 -0.00013 -0.00020 -0.00009 -0.00079 -0.00115 -0.00088
0.75000 -0.00123 -0.00048 -0.00070 -0.00040 -0.00032 -0.00111 -0.00051 -0.00014 -0.00007 -0.00007 -0.00067 -0.00124 -0.00049
0.76000 -0.00098 -0.00042 -0.00065 -0.00046 -0.00020 -0.00072 -0.00070 -0.00005 -0.00013 -0.00002 -0.00061 -0.00085 -0.00051
0.77000 -0.00111 -0.00036 -0.00073 -0.00032 -0.00021 -0.00057 -0.00055 -0.00011 -0.00013 -0.00004 -0.00052 -0.00054 -0.00087
0.78000 -0.00065 -0.00024 -0.00049 -0.00027 -0.00016 -0.00055 0.00010 -0.00016 -0.00003 -0.00004 -0.00050 -0.00050 -0.00009
0.79000 0.00001 0.00002 -0.00007 0.00003 -0.00005 -0.00047 -0.00031 -0.00002 -0.00003 -0.00003 -0.00023 -0.00001 -0.00023
0.80000 -0.00016 -0.00023 -0.00022 0.00020 -0.00010 -0.00002 0.00032 0.00014 -0.00003 -0.00001 -0.00013 -0.00014 0.00032
0.81000 0.00063 0.00031 0.00035 0.00016 0.00009 0.00022 0.00020 0.00007 0.00007 0.00001 0.00015 0.00037 0.00059
0.82000 0.00052 0.00020 0.00042 0.00053 0.00028 0.00080 0.00008 -0.00003 0.00009 0.00004 0.00017 0.00068 0.00046
0.83000 0.00125 0.00066 0.00045 0.00060 0.00041 0.00117 0.00063 0.00021 0.00014 0.00006 0.00073 0.00086 0.00089
0.84000 0.00129 0.00066 0.00081 0.00058 0.00058 0.00149 0.00060 0.00002 0.00015 0.00008 0.00079 0.00094 0.00066
0.85000 0.00242 0.00121 0.00105 0.00098 0.00063 0.00214 0.00113 0.00027 0.00017 0.00008 0.00095 0.00146 0.00156
0.86000 0.00265 0.00108 0.00166 0.00143 0.00075 0.00332 0.00082 0.00012 0.00021 0.00009 0.00151 0.00191 0.00130
0.87000 0.00354 0.00165 0.00193 0.00159 0.00097 0.00372 0.00150 0.00011 0.00032 0.00009 0.00183 0.00278 0.00217
0.88000 0.00384 0.00184 0.00259 0.00190 0.00119 0.00471 0.00130 0.00032 0.00030 0.00015 0.00228 0.00307 0.00211
0.89000 0.00550 0.00197 0.00324 0.00254 0.00134 0.00560 0.00217 0.00039 0.00044 0.00015 0.00293 0.00368 0.00283
0.90000 0.00616 0.00270 0.00352 0.00339 0.00170 0.00665 0.00224 0.00048 0.00047 0.00018 0.00321 0.00433 0.00277
0.91000 0.00751 0.00352 0.00392 0.00362 0.00191 0.00957 0.00225 0.00029 0.00048 0.00022 0.00364 0.00509 0.00296
0.92000 0.00872 0.00388 0.00460 0.00385 0.00243 0.01016 0.00303 0.00056 0.00064 0.00024 0.00488 0.00677 0.00358
0.93000 0.01105 0.00489 0.00527 0.00540 0.00267 0.01383 0.00298 0.00037 0.00070 0.00026 0.00508 0.00740 0.00440
0.94000 0.01397 0.00469 0.00636 0.00553 0.00330 0.01550 0.00341 0.00063 0.00081 0.00033 0.00592 0.00909 0.00508
0.95000 0.01562 0.00570 0.00738 0.00670 0.00385 0.01949 0.00343 0.00054 0.00088 0.00037 0.00685 0.00885 0.00531
0.96000 0.01709 0.00630 0.00843 0.00779 0.00461 0.02476 0.00418 0.00060 0.00094 0.00039 0.00876 0.01085 0.00606
0.97000 0.01759 0.00809 0.00850 0.00771 0.00472 0.02728 0.00503 0.00072 0.00098 0.00041 0.01038 0.01344 0.00667
0.98000 0.02339 0.00787 0.01137 0.00924 0.00544 0.03589 0.00463 0.00078 0.00132 0.00047 0.01069 0.01419 0.00714
0.99000 0.02604 0.00889 0.01157 0.01006 0.00684 0.04072 0.00619 0.00077 0.00134 0.00051 0.01163 0.01613 0.00753
1.00000 0.02757 0.01042 0.01465 0.01449 0.00847 0.04514 0.00620 0.00098 0.00136 0.00055 0.01612 0.01837 0.00950
